#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	108687910	108710398	IR	945	.	108698968	0.945	0.981	840	24065	108687910	108693171	108705140	108710398	126849458	108507230	108757230	840	3198	5258	11969	spaced
SUPER_1	28513476	28519010	IR	922	.	28516243	0.922	0.948	217	6128	28513476	28515885	28516601	28519010	126849458	28297072	28547072	217	3652	2409	716	immediate
SUPER_1	47640179	47642657	IR	838	.	47641418	0.838	0.994	193	2627	47640179	47641076	47641760	47642658	126849458	47634530	47884530	201	114	897	684	immediate
SUPER_1	16764014	16774955	IR	823	.	16769347	0.823	0.966	361	11386	16764014	16766862	16772124	16774955	126849458	16743103	16993103	361	439	2831	5262	spaced
SUPER_1	74546678	74553433	IR	768	.	74550061	0.768	0.893	105	6978	74546678	74549575	74550547	74553433	126849458	74406723	74656723	105	2388	2886	972	immediate
SUPER_1	69019122	69021024	IR	756	.	69020073	0.756	0.985	107	2118	69019122	69019772	69020375	69021024	126849458	68839130	69089130	107	3015	649	603	immediate
SUPER_1	26202724	26215013	IR	679	.	26208887	0.679	0.963	691	13173	26202724	26208022	26209752	26215013	126849458	25971906	26221906	691	3949	5261	1730	immediate
SUPER_1	106096902	106113264	IR	668	.	106105091	0.668	0.902	334	17867	106096902	106104075	106106108	106113264	126849458	105923232	106173232	334	3030	7156	2033	spaced
SUPER_1	59251075	59254679	IR	632	.	59252877	0.632	0.999	257	3882	59251075	59252279	59253475	59254679	126849458	59008704	59258704	257	4069	1204	1196	immediate
SUPER_1	22783322	22788714	IR	613	.	22786018	0.613	0.956	267	5792	22783322	22785585	22786451	22788716	126849458	22690312	22940312	267	1594	2263	866	immediate
SUPER_1	36138572	36140515	IR	612	.	36139543	0.612	0.978	112	2182	36138572	36139377	36139710	36140515	126849458	36003351	36253351	112	2269	805	333	immediate
SUPER_1	36729824	36734014	IR	611	.	36731919	0.611	0.870	42	4701	36729824	36731428	36732410	36734033	126849458	36503351	36753351	42	3809	1604	982	immediate
SUPER_1	44433315	44435880	IR	607	.	44434611	0.607	0.913	48	2886	44433315	44434198	44435024	44435880	126849458	44348519	44598519	48	1434	856	826	immediate
SUPER_1	52417949	52421215	IR	586	.	52419582	0.586	0.975	213	3498	52417949	52419093	52420071	52421234	126849458	52384485	52634485	213	584	1144	978	immediate
SUPER_1	111015330	111018843	IR	585	.	111017093	0.585	0.908	91	3712	111015330	111016664	111017509	111018858	126849458	111001340	111251340	91	262	1334	845	immediate
SUPER_1	50871900	50877603	IR	552	.	50874752	0.552	0.963	298	6576	50871900	50874438	50875065	50877604	126849458	50665435	50915435	298	3488	2538	627	immediate
SUPER_1	29027411	29029339	IR	541	.	29028375	0.541	0.951	87	2068	29027411	29028231	29028520	29029339	126849458	28897072	29147072	87	2188	819	289	immediate
SUPER_1	996378	1002203	IR	535	.	999308	0.535	0.946	252	6078	996378	998905	999711	1002203	126849458	800000	1050000	252	3321	2492	806	immediate
SUPER_1	23154968	23163792	IR	532	.	23159380	0.532	0.869	179	9247	23154968	23158582	23160178	23163864	126849458	23040312	23290312	179	1984	3614	1596	immediate
SUPER_1	12299967	12314799	IR	529	.	12307383	0.529	0.968	822	16532	12299967	12305908	12308858	12314840	126849458	12284429	12534429	822	382	5941	2950	spaced
SUPER_1	99502439	99505727	IR	522	.	99504083	0.522	0.916	142	3821	99502439	99503843	99504323	99505734	126849458	99497684	99747684	142	106	1404	480	immediate
SUPER_1	86336397	86345113	IR	520	.	86340755	0.520	0.917	207	9738	86336397	86340012	86341498	86345118	126849458	86291268	86541268	207	824	3615	1486	immediate
SUPER_1	110341350	110431019	IR	515	.	110386205	0.515	0.861	77	89607	110341350	110341412	110430957	110431029	126849458	110201340	110451340	1225	3080	62	89545	spaced
SUPER_1	21967306	21969686	IR	505	.	21968495	0.505	0.950	64	2459	21967306	21967881	21969111	21969693	126849458	21940312	22190312	64	469	575	1230	immediate
SUPER_1	116235775	116243895	IR	504	.	116239835	0.504	0.969	611	8889	116235775	116239334	116240336	116243928	126849458	116162759	116412759	612	1284	3559	1002	immediate
SUPER_1	892786	898473	IR	480	.	895617	0.480	0.935	114	6029	892786	894710	896549	898490	126849458	750000	1000000	114	2427	1924	1839	immediate
SUPER_1	52562331	52564319	IR	477	.	52563353	0.477	0.807	75	2505	52562331	52563127	52563601	52564319	126849458	52434485	52684485	77	2147	718	474	immediate
SUPER_1	6408701	6422374	IR	476	.	6415526	0.476	0.985	1006	14996	6408701	6414819	6416256	6422375	126849458	6329042	6579042	1009	1441	6118	1437	immediate
SUPER_1	69423591	69427426	IR	472	.	69425510	0.472	0.953	133	4112	69423591	69425113	69425904	69427427	126849458	69418522	69668522	133	116	1522	791	immediate
SUPER_1	18893880	18898069	IR	458	.	18895975	0.458	0.928	91	4572	18893880	18895313	18896638	18898069	126849458	18693324	18943324	91	3377	1431	1325	immediate
