#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	24677431	24715028	IR	914	.	24696224	0.914	0.995	3779	42107	24677431	24694024	24698435	24715030	56400807	24500000	24750000	3786	3270	16593	4411	spaced
SUPER_1	14203248	14206132	IR	884	.	14204690	0.884	0.874	170	3207	14203248	14204495	14204885	14206156	56400807	14000000	14250000	170	3411	1247	390	immediate
SUPER_1	24351441	24353610	IR	718	.	24352093	0.718	0.950	46	2142	24351441	24352066	24352985	24353610	56400807	24350000	24600000	0	41	625	919	immediate
SUPER_1	25502994	25509822	IR	602	.	25506408	0.602	1.000	551	7298	25502994	25505629	25507187	25509822	56400807	25400000	25650000	567	1773	2635	1558	immediate
SUPER_1	43408347	43410239	IR	600	.	43409293	0.600	0.974	96	2066	43408347	43408987	43409601	43410239	56400807	43200000	43450000	96	3488	638	614	immediate
SUPER_1	9797167	9799094	IR	574	.	9798136	0.574	0.870	24	2014	9797167	9797753	9798519	9799094	56400807	9550000	9800000	24	4135	575	766	immediate
SUPER_1	55557223	55559567	IR	568	.	55558395	0.568	0.952	67	2437	55557223	55557904	55558887	55559567	56400807	55350000	55600000	67	3473	680	983	immediate
SUPER_1	20590611	20592815	IR	560	.	20591713	0.560	0.901	29	2206	20590611	20591265	20592161	20592817	56400807	20350000	20600000	29	4028	654	896	immediate
SUPER_1	8899472	8904672	IR	555	.	8902070	0.555	0.994	386	5635	8899472	8901221	8902923	8904673	56400807	8700000	8950000	386	3367	1749	1702	immediate
SUPER_1	42767080	42769097	IR	550	.	42768090	0.550	0.924	51	2149	42767080	42767735	42768442	42769109	56400807	42550000	42800000	51	3634	655	707	immediate
SUPER_1	35609296	35651965	IR	532	.	35630638	0.532	0.409	35	43392	35609296	35630110	35631160	35651965	56400807	35450000	35700000	35	3010	20805	1050	immediate
SUPER_1	55779357	55782066	IR	519	.	55780712	0.519	0.861	48	2785	55779357	55780097	55781327	55782066	56400807	55550000	55800000	48	3845	739	1230	immediate
SUPER_1	14475628	14478936	IR	485	.	14477282	0.485	0.996	270	3572	14475628	14476909	14477659	14478936	56400807	14300000	14550000	270	2954	1277	750	immediate
SUPER_1	48708533	48710961	IR	485	.	48709747	0.485	0.862	53	2505	48708533	48708941	48710553	48711017	56400807	48550000	48800000	53	2662	408	1612	immediate
SUPER_1	54873208	54877917	IR	477	.	54875571	0.477	0.991	385	126330	54873208	54875215	54875927	54877917	56400807	54750000	55000000	385	2092	1990	712	immediate
SUPER_1	34177636	34198762	IR	473	.	34188199	0.473	1.000	2014	23657	34177636	34186549	34189849	34198762	56400807	34000000	34250000	2014	3136	8913	3300	spaced
SUPER_1	19343944	19363549	IR	460	.	19353467	0.460	0.956	63	19580	19343944	19344654	19362839	19363549	56400807	19150000	19400000	0	3395	710	18185	spaced
SUPER_1	44389019	44391425	IR	454	.	44390223	0.454	0.957	71	2574	44389019	44389650	44390796	44391425	56400807	44150000	44400000	71	4003	629	1146	immediate
SUPER_1	42836292	42838756	IR	445	.	42837524	0.445	1.000	80	2519	42836292	42836676	42838372	42838756	56400807	42600000	42850000	80	3958	384	1696	immediate
SUPER_1	5278776	5286972	IR	444	.	5282874	0.444	0.999	689	9104	5278776	5281803	5283945	5286972	56400807	5050000	5300000	689	3881	3027	2142	spaced
SUPER_1	18293868	18294758	IR	434	.	18294313	0.434	0.945	22	30781	18293868	18294157	18294470	18294758	56400807	18100000	18350000	22	3238	288	313	immediate
