#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	17206075	17219725	IR	855	.	17212904	0.855	0.989	1059	15181	17206075	17211927	17213881	17219725	30238875	17016568	17266568	1059	3272	5844	1954	immediate
SUPER_1	18431309	18449406	IR	644	.	18440360	0.644	0.959	890	130949	18431309	18438922	18441793	18449407	30238875	18266568	18516568	890	2896	7613	2871	spaced
SUPER_1	23986218	23988518	IR	507	.	23987368	0.507	0.789	57	2525	23986218	23986800	23987936	23988594	30238875	23908693	24158693	58	1311	582	1136	immediate
SUPER_1	18161048	18212341	IR	482	.	18186696	0.482	0.998	4978	82190	18161048	18183439	18189950	18212355	30238875	18116568	18366568	5033	1168	22391	6511	spaced
SUPER_1	3801612	3804215	IR	458	.	3802915	0.458	0.989	139	2765	3801612	3802327	3803503	3804215	30238875	3576547	3826547	139	3772	712	1176	immediate
SUPER_1	2834212	2836352	IR	453	.	2835248	0.453	0.846	36	2133	2834212	2834264	2836308	2836352	30238875	2748466	2998466	161	1446	44	2044	spaced
SUPER_1	29136030	29140556	IR	439	.	29138295	0.439	0.915	40	4563	29136030	29137341	29139249	29140556	30238875	28945541	29175450	40	3212	1307	1908	immediate
SUPER_1	27007435	27027307	IR	437	.	27017126	0.437	0.912	180	20990	27007435	27010411	27024334	27027307	30238875	26978613	27223970	128	645	2973	13923	spaced
SUPER_1	13774280	13817422	IR	418	.	13795832	0.418	0.883	70	44387	13774280	13776493	13815209	13817425	30238875	13654026	13873488	72	2363	2213	38716	spaced
SUPER_1	5197252	5378513	IR	415	.	5288035	0.415	0.118	42	181211	5197252	5197290	5378475	5378576	30238875	5165756	5415756	411	2035	38	181185	wide
SUPER_1	16985315	16997165	IR	414	.	16991132	0.414	0.901	102	12157	16985315	16986362	16996145	16997165	30238875	16766568	17016568	102	3744	1020	9783	spaced
SUPER_1	727932	949236	IR	404	.	838359	0.404	0.700	25	221254	727932	727974	949194	949254	30238875	726835	976835	168	1862	42	221220	wide
SUPER_1	18508876	18594746	IR	403	.	18551602	0.403	0.993	1127	149711	18508876	18514359	18589263	18594758	30238875	18466568	18716568	1127	1420	5483	74904	spaced
SUPER_1	15473144	15574880	IR	403	.	15523866	0.403	0.876	87	102202	15473144	15474096	15574008	15574880	30238875	15441378	15691378	87	1377	872	99912	spaced
SUPER_1	11254463	11260370	IR	402	.	11257436	0.402	0.917	183	6659	11254463	11256729	11258154	11260370	30238875	11068463	11318463	183	3149	2216	1425	immediate
SUPER_1	21056415	21088084	IR	400	.	21072568	0.400	0.974	42	31638	21056415	21056753	21087746	21088088	30238875	20926798	21152907	0	2424	338	30993	spaced
SUPER_1	23291243	23371042	IR	398	.	23330920	0.398	0.854	25	79984	23291243	23292128	23370157	23371054	30238875	23222684	23472684	25	1807	885	78029	spaced
