#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	31060366	31063438	IR	985	.	31061904	0.985	0.989	271	3557	31060366	31061753	31062055	31063438	41512012	30850000	31100000	271	3531	1383	302	immediate
SUPER_Z	24845357	24848043	IR	969	.	24846700	0.969	0.989	198	3086	24845357	24846551	24846849	24848043	41512012	24600000	24850000	198	4111	1194	298	immediate
SUPER_Z	12933700	12939598	IR	946	.	12936602	0.946	0.990	298	6268	12933700	12935273	12938025	12939601	41512012	12700000	12950000	298	3944	1573	2752	spaced
SUPER_Z	8370788	8372820	IR	921	.	8371810	0.921	0.980	175	2208	8370788	8371716	8371892	8372832	41512012	8200000	8450000	202	2863	928	176	immediate
SUPER_Z	27216456	27219392	IR	912	.	27217924	0.912	1.000	268	3245	27216456	27217640	27218208	27219392	41512012	27000000	27250000	268	3631	1184	568	immediate
SUPER_Z	15589075	15591679	IR	902	.	15590377	0.902	0.985	205	2908	15589075	15590236	15590518	15591681	41512012	15350000	15600000	205	4006	1161	282	immediate
SUPER_Z	27887740	27889520	IR	867	.	27888630	0.867	0.991	122	2034	27887740	27888392	27888868	27889520	41512012	27800000	28050000	122	1477	652	476	immediate
SUPER_Z	6322972	6324908	IR	853	.	6323939	0.853	0.976	150	2164	6322972	6323884	6324005	6324908	41512012	6100000	6350000	180	3732	903	121	immediate
SUPER_Z	37006454	37009691	IR	828	.	37008073	0.828	0.999	254	103070	37006454	37007601	37008545	37009691	41512012	36850000	37100000	254	2634	1146	944	immediate
SUPER_Z	25132284	25135265	IR	803	.	25133775	0.803	0.994	251	3395	25132284	25133466	25134084	25135265	41512012	24950000	25200000	251	3062	1181	618	immediate
SUPER_Z	15986517	15988745	IR	795	.	15987631	0.795	0.996	180	2405	15986517	15987247	15988015	15988745	41512012	15750000	16000000	180	3960	730	768	immediate
SUPER_Z	15781232	15783630	IR	776	.	15782431	0.776	0.996	145	2551	15781232	15781978	15782884	15783630	41512012	15550000	15800000	145	3873	746	906	immediate
SUPER_Z	37044215	37047568	IR	776	.	37045477	0.776	0.976	115	3326	37044215	37045299	37046484	37047573	41512012	36800000	37050000	0	4098	1084	1185	immediate
SUPER_Z	4443911	4446927	IR	723	.	4445419	0.723	0.991	248	3361	4443911	4445174	4445666	4446927	41512012	4200000	4450000	248	4090	1261	492	immediate
