#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	19737342	19749122	IR	1000	.	19743232	1.000	1.000	1192	13166	19737342	19742539	19743925	19749122	91301842	19736634	19986634	1315	109	5197	1386	immediate
SUPER_1	19728759	19735969	IR	999	.	19732364	0.999	1.000	764	8095	19728759	19731897	19732831	19735970	91301842	19535745	19736434	831	3276	3138	934	immediate
SUPER_1	48170575	48173449	IR	983	.	48172012	0.983	1.000	291	3184	48170575	48171822	48172202	48173449	91301842	47954330	48204330	291	3627	1247	380	immediate
SUPER_1	79763368	79946100	IR	691	.	79854734	0.691	0.389	167	182924	79763368	79854187	79855281	79946125	91301842	79723439	79973439	341	2188	90819	1094	immediate
SUPER_1	56831132	56836171	IR	671	.	56833671	0.671	0.863	155	5619	56831132	56833528	56833814	56836171	91301842	56704330	56954330	171	2155	2357	286	immediate
SUPER_1	81800593	81804919	IR	635	.	81802759	0.635	0.809	171	42704	81800593	81802566	81802952	81804919	91301842	81623439	81873439	172	2988	1967	386	immediate
SUPER_1	89937670	90101413	IR	597	.	90019820	0.597	0.401	127	163755	89937670	90004751	90034332	90101448	91301842	89852944	90102944	0	2776	67081	29581	spaced
SUPER_1	46336594	46344127	IR	527	.	46340364	0.527	0.926	195	7821	46336594	46339646	46341082	46344127	91301842	46104330	46354330	195	3933	3045	1436	immediate
SUPER_1	47444562	47454245	IR	520	.	47449403	0.520	0.891	190	10870	47444562	47448866	47449941	47454262	91301842	47354330	47604330	190	1584	4304	1075	immediate
SUPER_1	45683737	45687787	IR	499	.	45685764	0.499	0.959	178	4415	45683737	45685254	45686274	45687787	91301842	45454330	45704330	178	3857	1513	1020	immediate
SUPER_1	67319260	67353322	IR	497	.	67336407	0.497	0.916	455	37405	67319260	67326859	67345724	67353322	91301842	67246441	67496441	455	1497	7598	18865	spaced
SUPER_1	72812203	72814813	IR	485	.	72813508	0.485	0.916	78	3189	72812203	72813313	72813717	72814813	91301842	72596441	72846441	78	3617	1096	404	immediate
SUPER_1	49788912	49792312	IR	484	.	49790615	0.484	0.911	106	3613	49788912	49790178	49791046	49792329	91301842	49554330	49804330	106	3937	1266	868	immediate
SUPER_1	15087222	15091809	IR	478	.	15089535	0.478	0.844	77	5044	15087222	15088747	15090323	15091809	91301842	15035745	15285745	77	896	1486	1576	immediate
SUPER_1	36116685	36121878	IR	465	.	36119284	0.465	0.835	80	6640	36116685	36118799	36119770	36121878	91301842	36104330	36354330	80	249	2108	971	immediate
SUPER_1	32060300	32063490	IR	460	.	32061895	0.460	0.908	65	4425	32060300	32061064	32062726	32063501	91301842	31836634	32086634	67	3754	764	1662	immediate
SUPER_1	45817990	45851225	IR	454	.	45834823	0.454	0.677	24	33176	45817990	45818034	45851181	45851246	91301842	45654330	45904330	304	3004	44	33147	spaced
SUPER_1	76969443	76974791	IR	438	.	76972117	0.438	0.618	27	5364	76969443	76971179	76973055	76974792	91301842	76796441	77046441	27	2927	1736	1876	immediate
SUPER_1	65188479	65195201	IR	437	.	65191840	0.437	0.862	99	7692	65188479	65190900	65192780	65195240	91301842	65104330	65354330	109	1458	2421	1880	immediate
SUPER_1	70531607	70566736	IR	434	.	70549061	0.434	0.849	349	36058	70531607	70546478	70551865	70566751	91301842	70396441	70646441	349	2545	14871	5387	spaced
SUPER_1	70838300	70880680	IR	432	.	70859271	0.432	0.929	56	42603	70838300	70839215	70879777	70880680	91301842	70746441	70996441	54	1884	903	40562	spaced
SUPER_1	81093984	81210675	IR	427	.	81151846	0.427	0.889	38	116627	81093984	81094048	81210611	81210683	91301842	80973439	81223439	0	2981	64	116563	wide
SUPER_1	49965669	49984690	IR	424	.	49975372	0.424	0.610	40	18971	49965669	49965770	49984631	49984690	91301842	49804330	50054330	735	2847	59	18861	spaced
SUPER_1	68711680	68721756	IR	422	.	68716798	0.422	0.918	274	10455	68711680	68714717	68718768	68721756	91301842	68496441	68746441	291	3671	2988	4051	spaced
SUPER_1	17328677	17332986	IR	421	.	17330832	0.421	0.950	194	5030	17328677	17330012	17331651	17333019	91301842	17085745	17335745	194	4084	1335	1639	immediate
SUPER_1	84219413	84222264	IR	421	.	84220838	0.421	0.863	85	2924	84219413	84220367	84221310	84222279	91301842	84054198	84304198	85	2777	954	943	immediate
SUPER_1	6459466	6465841	IR	419	.	6463127	0.419	0.898	129	6359	6459466	6461474	6463833	6465843	91301842	6285745	6535745	0	2948	2008	2359	spaced
SUPER_1	16334359	16522230	IR	416	.	16428781	0.416	0.847	132	187849	16334359	16339007	16517595	16522230	91301842	16285745	16535745	0	2375	4635	178588	wide
SUPER_1	20506226	20719679	IR	412	.	20612899	0.412	0.625	42	106917	20506226	20506378	20719578	20719679	91301842	20486634	20736634	331	2105	101	213200	wide
SUPER_1	51255159	51478846	IR	411	.	51366615	0.411	0.858	78	223658	51255159	51260909	51473104	51478846	91301842	51254330	51504330	0	1877	5742	212195	wide
SUPER_1	81340299	81391145	IR	406	.	81366148	0.406	0.738	30	50826	81340299	81340379	81391086	81391145	91301842	81173439	81423439	0	3204	59	50707	spaced
SUPER_1	51540573	51573633	IR	404	.	51557093	0.404	0.449	136	33640	51540573	51556459	51557747	51573697	91301842	51354330	51604330	136	3379	15886	1288	immediate
SUPER_1	82676654	82678457	IR	403	.	82677556	0.403	0.955	70	2055	82676654	82677317	82677795	82678457	91301842	82573439	82823439	70	1735	662	478	immediate
SUPER_1	78273814	78396520	IR	399	.	78334995	0.399	0.898	134	122869	78273814	78275536	78394798	78396528	91301842	78246441	78496441	134	1478	1722	119262	wide
SUPER_1	55812009	56045197	IR	399	.	55928129	0.399	0.629	25	233162	55812009	55812121	56045085	56045252	91301842	55804330	56054330	0	2071	112	232964	wide
SUPER_1	75405837	75459110	IR	398	.	75432725	0.398	0.944	115	53237	75405837	75407459	75457488	75459119	91301842	75246441	75496441	0	3100	1622	50029	spaced
