#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	53597139	53603744	IR	843	.	53600451	0.843	0.935	523	7279	53597139	53599937	53600965	53603744	224086093	53400000	53650000	523	3340	2779	1028	immediate
SUPER_1	81564507	81749926	IR	676	.	81657593	0.676	0.970	500	185396	81564507	81656520	81658002	81749926	224086093	81500000	81750000	0	2620	91924	1482	immediate
SUPER_1	53492509	53495185	IR	580	.	53493847	0.580	0.997	149	2956	53492509	53493235	53494459	53495185	224086093	53300000	53550000	149	3230	726	1224	immediate
SUPER_1	78750061	78789848	IR	541	.	78770417	0.541	0.922	317	38695	78750061	78769365	78770571	78789848	224086093	78750000	79000000	0	332	19277	1206	immediate
SUPER_1	53546575	53552827	IR	499	.	53549701	0.499	1.000	481	6803	53546575	53548729	53550673	53552827	224086093	53350000	53600000	481	3328	2154	1944	immediate
SUPER_1	75592523	75616469	IR	495	.	75604474	0.495	0.985	254	24275	75592523	75593749	75615243	75616481	224086093	75400000	75650000	254	3408	1226	21494	spaced
SUPER_1	220529668	220535510	IR	473	.	220532589	0.473	0.996	404	6505	220529668	220531583	220533595	220535510	224086093	220300000	220550000	404	3876	1915	2012	spaced
SUPER_1	212562710	212596953	IR	426	.	212580060	0.426	0.966	63	34319	212562710	212563151	212596512	212596953	224086093	212350000	212600000	63	3830	441	33361	spaced
SUPER_1	212061585	212204123	IR	409	.	212132943	0.409	0.978	74	142768	212061585	212062087	212203621	212204123	224086093	212000000	212250000	74	2214	502	141534	wide
SUPER_1	172422004	172558395	IR	402	.	172490363	0.402	0.838	28	136339	172422004	172422072	172558338	172558395	224086093	172350000	172600000	400	2336	57	136266	wide
SUPER_1	1365500	1405197	IR	393	.	1385385	0.393	0.979	74	39840	1365500	1365978	1404719	1405197	224086093	1200000	1450000	74	3089	478	38741	spaced
SUPER_1	77566924	77749507	IR	390	.	77658239	0.390	0.935	315	183469	77566924	77573807	77742624	77749520	224086093	77500000	77750000	315	2636	6883	168817	wide
SUPER_1	1299651	1335736	IR	390	.	1317847	0.390	0.979	39	36122	1299651	1299932	1335455	1335736	224086093	1150000	1400000	39	2794	281	35523	spaced
SUPER_1	213088855	213090897	IR	387	.	213089876	0.387	0.966	64	2178	213088855	213089300	213090452	213090898	224086093	212950000	213200000	64	2331	445	1152	immediate
