#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	12807799	12813026	IR	864	.	12810412	0.864	0.996	476	5824	12807799	12809951	12810874	12813033	26162968	12600000	12850000	476	3506	2152	923	immediate
SUPER_1	3854844	3857006	IR	538	.	3855925	0.538	0.980	59	2260	3854844	3855246	3856604	3857006	26162968	3650000	3900000	59	3431	402	1358	immediate
SUPER_1	26081959	26086949	IR	474	.	26084177	0.474	1.000	263	4961	26081959	26083455	26085453	26086949	26162968	25850000	26100000	0	3907	1496	1998	immediate
SUPER_1	1109519	1112935	IR	473	.	1111227	0.473	0.973	142	3704	1109519	1110525	1111929	1112937	26162968	900000	1150000	142	3520	1006	1404	immediate
SUPER_1	9522180	9524648	IR	418	.	9523415	0.418	0.949	69	2534	9522180	9522692	9524136	9524650	26162968	9300000	9550000	69	3723	512	1444	immediate
SUPER_1	12389875	12393575	IR	400	.	12391260	0.400	0.990	121	3675	12389875	12390710	12392741	12393575	26162968	12150000	12400000	0	4028	834	2031	spaced
SUPER_1	25248190	25252422	IR	400	.	25250183	0.400	0.989	118	4354	25248190	25248834	25251779	25252422	26162968	25050000	25300000	118	3338	643	2945	spaced
SUPER_1	10934580	10938216	IR	394	.	10936399	0.394	0.973	139	3781	10934580	10935673	10937124	10938216	26162968	10700000	10950000	139	3939	1092	1451	immediate
SUPER_1	1856747	1860425	IR	366	.	1858586	0.366	0.974	141	3804	1856747	1857861	1859311	1860425	26162968	1650000	1900000	141	3476	1114	1450	immediate
SUPER_1	21718525	21863734	IR	346	.	21791613	0.346	0.793	20	145173	21718525	21718583	21863688	21863734	26162968	21650000	21900000	0	2352	46	145105	wide
SUPER_1	26091149	26147364	IR	341	.	26119254	0.341	0.999	823	57451	26091149	26094749	26143765	26147364	26162968	25950000	26162968	823	2820	3599	49016	spaced
SUPER_1	23444972	23649695	IR	341	.	23547589	0.341	0.378	20	204703	23444972	23463838	23630846	23649695	26162968	23400000	23650000	0	2455	18849	167008	wide
SUPER_1	235849	304133	IR	334	.	270113	0.334	0.768	33	68300	235849	236355	303627	304133	26162968	100000	350000	33	2833	506	67272	spaced
SUPER_1	18516904	18521954	IR	331	.	18519627	0.331	0.960	200	5631	18516904	18518233	18520649	18521954	26162968	18300000	18550000	200	3657	1305	2416	spaced
SUPER_1	8019131	8191873	IR	325	.	8105909	0.325	0.793	194	172104	8019131	8030958	8180046	8191903	26162968	7950000	8200000	0	2591	11827	149088	wide
SUPER_1	1916856	2124674	IR	325	.	2020940	0.325	0.828	29	207813	1916856	1916914	2124626	2124674	26162968	1900000	2150000	326	2012	48	207712	wide
SUPER_1	497356	509843	IR	321	.	503358	0.321	0.996	475	12968	497356	498245	508956	509843	26162968	300000	550000	188	3393	887	10711	spaced
SUPER_1	7431352	7534598	IR	321	.	7482583	0.321	0.382	22	103209	7431352	7431433	7534560	7534598	26162968	7300000	7550000	0	3049	38	103127	wide
