#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	309096145	309098875	IR	998	.	309097505	0.998	0.981	266	52801	309096145	309097355	309097665	309098876	332497885	308972757	309221215	266	2078	1210	310	immediate
SUPER_1	111315777	111322543	IR	997	.	111319160	0.997	0.998	681	7560	111315777	111318758	111319562	111322547	332497885	111117984	111367984	681	3352	2981	804	immediate
SUPER_1	47710260	47716433	IR	997	.	47713347	0.997	0.999	609	26193	47710260	47712945	47713749	47716433	332497885	47557472	47807472	609	2597	2684	804	immediate
SUPER_1	129791498	129796668	IR	997	.	129794085	0.997	0.997	510	5743	129791498	129793799	129794371	129796668	332497885	129690252	129940252	511	1730	2297	572	immediate
SUPER_1	109659990	109662863	IR	997	.	109661421	0.997	0.980	196	3179	109659990	109661257	109661596	109662867	332497885	109512834	109762834	386	2476	1267	339	immediate
SUPER_1	232057770	232059824	IR	997	.	232058797	0.997	1.000	191	2277	232057770	232058667	232058927	232059824	332497885	231934302	232184302	191	2074	897	260	immediate
SUPER_1	122207748	122214637	IR	996	.	122211187	0.996	0.990	676	7644	122207748	122210828	122211557	122214643	332497885	122011304	122261304	676	3331	3080	729	immediate
SUPER_1	157302867	157310515	IR	996	.	157306691	0.996	0.645	241	7963	157302867	157306482	157306900	157310529	332497885	157154098	157404098	330	2543	3615	418	immediate
SUPER_1	141865578	141870472	IR	995	.	141868025	0.995	0.998	468	10359	141865578	141867748	141868302	141870472	332497885	141703353	141953353	473	2744	2170	554	immediate
SUPER_1	225440650	225446060	IR	993	.	225443355	0.993	1.000	572	223864	225440650	225443057	225443653	225446060	332497885	225308550	225558550	572	2246	2407	596	immediate
SUPER_1	223311288	223315930	IR	992	.	223313609	0.992	0.988	419	5117	223311288	223313323	223313895	223315946	332497885	223158363	223408363	421	2587	2035	572	immediate
SUPER_1	73734331	73736168	IR	992	.	73735249	0.992	0.997	176	2012	73734331	73735125	73735374	73736168	332497885	73525287	73775287	176	3499	794	249	immediate
SUPER_1	175557282	175559464	IR	991	.	175558555	0.991	0.975	81	222037	175557282	175558104	175558642	175559478	332497885	175429513	175679513	303	2147	822	538	immediate
SUPER_1	305842408	305845052	IR	990	.	305843730	0.990	1.000	283	2900	305842408	305843577	305843883	305845052	332497885	305793865	306016824	283	830	1169	306	immediate
SUPER_1	216902782	216905218	IR	990	.	216903752	0.990	0.999	191	82455	216902782	216903616	216904384	216905218	332497885	216816417	217066417	188	1459	834	768	immediate
SUPER_1	132961990	132968312	IR	990	.	132965571	0.990	0.972	128	6302	132961990	132964760	132965612	132968312	332497885	132794003	133028730	0	2852	2700	852	immediate
SUPER_1	315277545	315282017	IR	989	.	315279781	0.989	0.988	375	5054	315277545	315279535	315280047	315282017	332497885	315196060	315446060	496	1395	1970	512	immediate
SUPER_1	309921922	309928122	IR	988	.	309925022	0.988	1.000	626	6842	309921922	309924592	309925452	309928122	332497885	309734615	309984615	628	3173	2670	860	immediate
SUPER_1	144687409	144689989	IR	987	.	144688699	0.987	0.998	241	183902	144687409	144688555	144688843	144689990	332497885	144586657	144836657	241	1700	1146	288	immediate
SUPER_1	71174323	71176395	IR	987	.	71175359	0.987	1.000	203	2305	71174323	71175204	71175514	71176395	332497885	71048617	71298617	203	2112	881	310	immediate
SUPER_1	171176236	171184193	IR	985	.	171180217	0.985	0.990	737	9143	171176236	171179966	171180488	171184193	332497885	170944929	171184801	1028	3921	3705	522	immediate
SUPER_1	141355583	141357609	IR	984	.	141356596	0.984	0.998	194	2221	141355583	141356465	141356727	141357609	332497885	141214182	141464182	194	2373	882	262	immediate
SUPER_1	11169112	11172161	IR	982	.	11170891	0.982	1.000	221	3028	11169112	11170357	11170916	11172161	332497885	10970032	11220032	0	3343	1245	559	immediate
SUPER_1	301173124	301175918	IR	981	.	301174521	0.981	0.999	272	3105	301173124	301174347	301174695	301175918	332497885	300938616	301188616	272	3931	1223	348	immediate
SUPER_1	150022721	150055672	IR	981	.	150038940	0.981	0.434	206	32965	150022721	150038956	150039437	150055714	332497885	149862367	150112367	0	2947	16235	481	immediate
SUPER_1	260308641	260310393	IR	979	.	260309517	0.979	0.948	140	2011	260308641	260309372	260309697	260310393	332497885	260197292	260447292	353	1870	696	325	immediate
SUPER_1	173739372	173748371	IR	976	.	173743873	0.976	0.998	897	10040	173739372	173743345	173744401	173748371	332497885	173509165	173755657	897	3911	3970	1056	immediate
SUPER_1	132879109	132883293	IR	976	.	132881449	0.976	1.000	329	4165	132879109	132880979	132881423	132883293	332497885	132644003	132894003	0	3953	1870	444	immediate
SUPER_1	60136447	60138246	IR	976	.	60137341	0.976	0.933	133	2019	60136447	60137201	60137516	60138246	332497885	59944361	60194361	330	3216	730	315	immediate
SUPER_1	76891805	76893447	IR	976	.	76892653	0.976	0.934	107	2024	76891805	76892450	76892802	76893447	332497885	76705027	76955027	371	3126	645	352	immediate
SUPER_1	265536511	265557582	IR	975	.	265546655	0.975	0.467	56	21109	265536511	265546639	265547454	265557646	332497885	265310565	265560565	0	3941	10128	815	immediate
SUPER_1	242122983	242124875	IR	974	.	242123919	0.974	0.920	145	152159	242122983	242123775	242124098	242124875	332497885	242013256	242263256	338	1844	777	323	immediate
SUPER_1	157719062	157720874	IR	974	.	157719959	0.974	0.930	128	2063	157719062	157719784	157720162	157720874	332497885	157554098	157804098	337	2764	712	378	immediate
SUPER_1	168543248	168545892	IR	973	.	168544555	0.973	0.879	145	79789	168543248	168544375	168544777	168545892	332497885	168432879	168682879	277	1861	1115	402	immediate
SUPER_1	97293837	97295599	IR	973	.	97294713	0.973	0.954	129	2024	97293837	97294522	97294914	97295607	332497885	97088114	97338114	316	3443	685	392	immediate
SUPER_1	179521583	179523302	IR	973	.	179522445	0.973	0.981	116	2024	179521583	179522270	179522615	179523307	332497885	179325478	179575478	342	3282	687	345	immediate
SUPER_1	320759170	320761612	IR	972	.	320760391	0.972	1.000	229	2680	320759170	320760221	320760561	320761612	332497885	320533037	320783037	229	3789	1051	340	immediate
SUPER_1	272873807	272876284	IR	969	.	272875316	0.969	1.000	179	2450	272873807	272874813	272875278	272876284	332497885	272629340	272879340	0	4094	1006	465	immediate
SUPER_1	149795173	149797184	IR	968	.	149796178	0.968	0.992	176	2197	149795173	149796001	149796360	149797184	332497885	149562367	149812367	176	3896	824	359	immediate
SUPER_1	97344088	97347298	IR	966	.	97345693	0.966	1.000	308	3538	97344088	97345463	97345923	97347298	332497885	97138114	97388114	308	3459	1375	460	immediate
SUPER_1	175220175	175229121	IR	966	.	175224652	0.966	0.550	74	6263	175220175	175224525	175224782	175229121	332497885	175052179	175287596	234	2874	4339	257	immediate
SUPER_1	27003597	27124025	IR	965	.	27063512	0.965	0.436	554	87188	27003597	27061213	27066471	27124025	332497885	26910673	27160673	0	2552	57554	5258	spaced
SUPER_1	325983665	325987653	IR	963	.	325985929	0.963	1.000	300	3968	325983665	325985333	325985985	325987653	332497885	325746817	325996817	0	3980	1668	652	immediate
SUPER_1	261702840	261706300	IR	962	.	261704844	0.962	1.000	262	3433	261702840	261704340	261704800	261706300	332497885	261543696	261710365	0	2681	1500	460	immediate
SUPER_1	318362370	318413846	IR	961	.	318388403	0.961	0.416	102	51459	318362370	318387922	318388387	318413846	332497885	318283037	318533037	0	1751	25459	465	immediate
SUPER_1	228481382	228483522	IR	959	.	228482452	0.959	1.000	198	85514	228481382	228482270	228482634	228483522	332497885	228326022	228576022	200	2607	888	364	immediate
SUPER_1	304912676	304915212	IR	959	.	304913696	0.959	0.999	194	2714	304912676	304913528	304914360	304915212	332497885	304691463	304941463	194	3707	852	832	immediate
SUPER_1	225233664	225237321	IR	957	.	225235238	0.957	0.982	267	3662	225233664	225235289	225235696	225237343	332497885	225008550	225258550	0	3782	1625	407	immediate
SUPER_1	289883551	289885649	IR	953	.	289884600	0.953	0.999	191	45622	289883551	289884430	289884770	289885649	332497885	289761791	290011791	191	2046	879	340	immediate
SUPER_1	204305239	204310567	IR	952	.	204307904	0.952	0.999	532	7820	204305239	204307563	204308245	204310567	332497885	204101531	204351531	532	3439	2322	682	immediate
SUPER_1	70074985	70079315	IR	952	.	70077150	0.952	1.000	414	4767	70074985	70076868	70077432	70079315	332497885	69876232	70096069	414	3348	1883	564	immediate
SUPER_1	201776146	201777973	IR	949	.	201777057	0.949	0.947	102	2026	201776146	201776907	201777212	201777982	332497885	201541764	201782691	309	3921	761	305	immediate
SUPER_1	120537208	120539688	IR	946	.	120538448	0.946	0.998	229	2653	120537208	120538226	120538670	120539688	332497885	120453217	120703217	229	1420	1018	444	immediate
SUPER_1	131154011	131157487	IR	944	.	131155501	0.944	0.998	258	3798	131154011	131155235	131156263	131157487	332497885	130944003	131194003	258	3528	1224	1028	immediate
SUPER_1	114778	278153	IR	943	.	196211	0.943	0.414	164	163355	114778	196214	196723	278153	332497885	100000	350000	0	1607	81430	509	immediate
SUPER_1	170386782	170388927	IR	943	.	170387914	0.943	0.966	113	2290	170386782	170387638	170388071	170388934	332497885	170165876	170415876	404	3699	856	433	immediate
SUPER_1	320808404	320810903	IR	942	.	320809653	0.942	0.997	216	2687	320808404	320809446	320809861	320810903	332497885	320783037	321033037	216	443	1042	415	immediate
SUPER_1	139861168	139864717	IR	941	.	139862722	0.941	1.000	292	3849	139861168	139862471	139863414	139864717	332497885	139659825	139909825	292	3385	1303	943	immediate
SUPER_1	20707943	20716109	IR	932	.	20712026	0.932	1.000	810	30916	20707943	20711545	20712507	20716109	332497885	20558818	20808818	810	2553	3602	962	immediate
SUPER_1	275183943	275187036	IR	931	.	275185490	0.931	0.999	279	3384	275183943	275185227	275185753	275187036	332497885	274937965	275187965	279	4125	1283	526	immediate
SUPER_1	35460239	35462267	IR	931	.	35461253	0.931	0.966	155	2293	35460239	35461142	35461385	35462267	332497885	35289451	35539451	257	2863	882	243	immediate
SUPER_1	23915294	23917154	IR	930	.	23916224	0.930	0.998	147	65136	23915294	23915955	23916493	23917154	332497885	23758818	24008818	147	2623	661	538	immediate
SUPER_1	169892411	169894635	IR	929	.	169893523	0.929	1.000	205	2419	169892411	169893308	169893738	169894635	332497885	169765876	170015876	205	2127	897	430	immediate
SUPER_1	279590402	279593600	IR	927	.	279592001	0.927	0.999	298	3502	279590402	279591732	279592270	279593600	332497885	279346120	279596120	298	4097	1330	538	immediate
SUPER_1	1458074	1478803	IR	927	.	1468740	0.927	0.479	239	18371	1458074	1468084	1468849	1478803	332497885	1250000	1500000	0	3640	9954	765	immediate
SUPER_1	210754678	210756872	IR	927	.	210755775	0.927	0.983	153	2358	210754678	210755571	210755979	210756872	332497885	210541038	210791038	153	3578	893	408	immediate
SUPER_1	99365398	99369423	IR	926	.	99367410	0.926	0.997	396	4462	99365398	99367110	99367714	99369423	332497885	99311277	99561277	396	935	1709	604	immediate
SUPER_1	77349831	77352403	IR	922	.	77351117	0.922	1.000	232	2764	77349831	77350865	77351369	77352403	332497885	77105027	77355027	232	4101	1034	504	immediate
