#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	11769423	11772157	IR	991	.	11770790	0.991	0.998	281	3037	11769423	11770639	11770941	11772157	34385742	11591789	11841789	281	2983	1216	302	immediate
SUPER_1	15658683	15662089	IR	990	.	15660386	0.990	0.991	308	3713	15658683	15660194	15660578	15662097	34385742	15582099	15832099	308	1304	1511	384	immediate
SUPER_1	2597410	2600348	IR	984	.	2598879	0.984	1.000	274	4703	2597410	2598682	2599076	2600348	34385742	2431527	2681527	274	2789	1272	394	immediate
SUPER_1	18720938	18723128	IR	964	.	18722033	0.964	0.998	193	2352	18720938	18721874	18722192	18723128	34385742	18523279	18773279	193	3312	936	318	immediate
SUPER_1	27131664	27133668	IR	937	.	27132666	0.937	1.000	197	2238	27131664	27132469	27132863	27133668	34385742	26926081	27176081	197	3442	805	394	immediate
SUPER_1	25828387	25830690	IR	936	.	25829537	0.936	0.992	206	2493	25828387	25829336	25829743	25830690	34385742	25623662	25873662	206	3431	947	407	immediate
SUPER_1	17571440	17574288	IR	933	.	17572864	0.933	0.998	244	3044	17571440	17572611	17573117	17574288	34385742	17501805	17720887	244	1184	1171	506	immediate
SUPER_1	12529721	12542122	IR	852	.	12536277	0.852	0.999	677	12384	12529721	12533499	12538344	12542124	34385742	12320447	12570447	0	3591	3778	4845	spaced
SUPER_1	31665066	31673146	IR	847	.	31669106	0.847	0.999	782	112299	31665066	31668463	31669749	31673146	34385742	31582740	31832740	820	1439	3397	1286	immediate
SUPER_1	15780450	15782551	IR	810	.	15781502	0.810	0.990	167	74110	15780450	15781341	15781660	15782554	34385742	15632099	15882099	167	2489	891	319	immediate
SUPER_1	13016944	13019894	IR	806	.	13018419	0.806	0.994	231	3243	13016944	13018009	13018829	13019894	34385742	12770447	13020447	231	4132	1065	820	immediate
SUPER_1	5636926	5639546	IR	781	.	5638236	0.781	1.000	221	2884	5636926	5637826	5638646	5639546	34385742	5523964	5773964	221	1904	900	820	immediate
SUPER_1	17132758	17135932	IR	779	.	17134345	0.779	0.994	223	3635	17132758	17133920	17134770	17135934	34385742	16959937	17209937	223	2906	1162	850	immediate
SUPER_1	25204177	25205492	IR	777	.	25204833	0.777	0.974	136	127992	25204177	25204721	25204956	25205492	34385742	25123662	25373662	136	1352	536	235	immediate
SUPER_1	22435486	22437885	IR	762	.	22436688	0.762	0.895	205	2548	22435486	22436538	22436846	22437885	34385742	22273091	22523091	226	2726	1039	308	immediate
SUPER_1	31348688	31352119	IR	749	.	31350403	0.749	1.000	135	3568	31348688	31349268	31351539	31352119	34385742	31281215	31382540	161	1153	580	2271	spaced
SUPER_1	6126567	6131283	IR	717	.	6128925	0.717	0.995	359	5092	6126567	6128341	6129509	6131283	34385742	6082201	6332201	359	778	1774	1168	immediate
SUPER_1	3773675	3776393	IR	714	.	3775034	0.714	0.999	188	2868	3773675	3774509	3775559	3776393	34385742	3551520	3801520	188	3725	834	1050	immediate
SUPER_1	19528736	19531974	IR	705	.	19530355	0.705	0.972	178	3667	19528736	19529866	19530844	19531984	34385742	19323279	19573279	178	3451	1130	978	immediate
SUPER_1	6493466	6495138	IR	685	.	6494302	0.685	0.989	73	119471	6493466	6493901	6494703	6495138	34385742	6382201	6632201	73	1868	435	802	immediate
SUPER_1	8150674	8154073	IR	670	.	8152399	0.670	0.948	227	4103	8150674	8151912	8152886	8154073	34385742	8049391	8299391	249	1716	1187	974	immediate
SUPER_1	33381439	33384044	IR	666	.	33382741	0.666	0.940	106	3076	33381439	33382207	33383276	33384064	34385742	33182740	33432740	106	3333	768	1069	immediate
SUPER_1	11873838	11877082	IR	665	.	11875460	0.665	0.977	302	3980	11873838	11875241	11875695	11877082	34385742	11691789	11920247	315	3061	1387	454	immediate
SUPER_1	9295335	9297391	IR	665	.	9296363	0.665	0.992	95	2292	9295335	9295839	9296887	9297391	34385742	9114927	9364927	95	3023	504	1048	immediate
SUPER_1	13347275	13349261	IR	660	.	13348268	0.660	0.996	93	2136	13347275	13347723	13348813	13349261	34385742	13109647	13359647	93	3976	448	1090	immediate
SUPER_1	13573366	13576903	IR	649	.	13575132	0.649	0.973	206	3867	13573366	13574578	13575697	13576903	34385742	13409647	13659647	206	2757	1206	1119	immediate
SUPER_1	28334402	28337411	IR	645	.	28335908	0.645	0.984	211	52366	28334402	28335656	28336160	28337411	34385742	28115684	28365684	211	3670	1251	504	immediate
