#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	53186005	53197375	IR	995	.	53191690	0.995	0.984	1104	12544	53186005	53191055	53192325	53197375	63367979	52952558	53202558	1112	3985	5050	1270	immediate
SUPER_1	49241796	49256066	IR	988	.	49248932	0.988	0.999	1437	15919	49241796	49248165	49249699	49256066	63367979	49031313	49281313	1450	3626	6367	1534	immediate
SUPER_1	752074	755156	IR	987	.	753615	0.987	1.000	302	3314	752074	753433	753797	755156	63367979	550000	800000	302	3393	1359	364	immediate
SUPER_1	55460097	55484435	IR	979	.	55472266	0.979	0.996	2407	26941	55460097	55470911	55473621	55484461	63367979	55320357	55570357	2407	2531	10814	2710	spaced
SUPER_1	57557628	57570256	IR	947	.	57563942	0.947	1.000	1277	44210	57557628	57563161	57564723	57570256	63367979	57363331	57613331	1277	3343	5533	1562	immediate
SUPER_1	54177099	54182573	IR	930	.	54179835	0.930	0.995	536	6106	54177099	54179421	54180251	54182580	63367979	53970357	54220357	536	3491	2322	830	immediate
SUPER_1	52456355	52462411	IR	927	.	52459383	0.927	0.999	582	11600	52456355	52458973	52459793	52462411	63367979	52302558	52552558	582	2613	2618	820	immediate
SUPER_1	4155496	4157570	IR	904	.	4156533	0.904	1.000	191	2323	4155496	4156311	4156755	4157570	63367979	3915279	4165279	191	4020	815	444	immediate
SUPER_1	57335836	57338064	IR	888	.	57336950	0.888	0.970	131	124194	57335836	57336831	57337069	57338065	63367979	57213331	57463331	138	2060	995	238	immediate
SUPER_1	7435660	7444914	IR	886	.	7440285	0.886	0.998	926	120943	7435660	7439629	7440945	7444914	63367979	7330334	7580334	926	1832	3969	1316	immediate
SUPER_1	15127742	15131183	IR	879	.	15129446	0.879	0.998	102	3511	15127742	15128250	15130675	15131183	63367979	15117030	15367030	102	207	508	2425	spaced
SUPER_1	41036036	41038052	IR	875	.	41037044	0.875	0.999	157	2144	41036036	41036783	41037305	41038052	63367979	40835862	41085862	157	3352	747	522	immediate
SUPER_1	20498500	20502234	IR	868	.	20500196	0.868	0.939	109	3830	20498500	20499105	20501629	20502234	63367979	20274122	20524122	109	3770	605	2524	spaced
SUPER_1	28847915	28850833	IR	859	.	28849648	0.859	0.959	107	2886	28847915	28848621	28850147	28850833	63367979	28700961	28950961	0	2473	686	1526	immediate
SUPER_1	38506510	38518124	IR	852	.	38512317	0.852	0.999	1133	12849	38506510	38511530	38513104	38518124	63367979	38285862	38535862	1133	3774	5020	1574	immediate
SUPER_1	41298131	41372677	IR	848	.	41335404	0.848	0.390	141	83501	41298131	41335226	41335582	41372737	63367979	41185862	41435862	183	2492	37095	356	immediate
SUPER_1	26565140	26566710	IR	815	.	26565925	0.815	0.966	67	2421	26565140	26565779	26566071	26566710	63367979	26395980	26645980	67	2832	639	292	immediate
SUPER_1	19560961	19562499	IR	809	.	19561730	0.809	0.990	91	35086	19560961	19561467	19561993	19562499	63367979	19493819	19724022	91	1131	506	526	immediate
SUPER_1	61616705	61618551	IR	801	.	61617628	0.801	0.990	112	2001	61616705	61617285	61617971	61618551	63367979	61408414	61658414	112	3486	580	686	immediate
SUPER_1	55601397	55614816	IR	801	.	55608453	0.801	0.977	44	13397	55601397	55601785	55614428	55614816	63367979	55520357	55770357	0	1462	388	12643	spaced
SUPER_1	3172776	3174790	IR	800	.	3173784	0.800	0.993	170	2248	3172776	3173585	3173983	3174790	63367979	2965279	3215279	170	3474	807	398	immediate
SUPER_1	54742945	54749611	IR	799	.	54746278	0.799	1.000	599	7217	54742945	54745596	54746960	54749611	63367979	54520357	54770357	599	3765	2651	1364	immediate
SUPER_1	37208801	37211347	IR	773	.	37210074	0.773	1.000	190	2752	37208801	37209639	37210509	37211347	63367979	36999959	37249959	190	3501	838	870	immediate
SUPER_1	63346046	63351402	IR	736	.	63348724	0.736	1.000	482	5771	63346046	63348124	63349324	63351402	63367979	63128866	63367979	482	3664	2078	1200	immediate
SUPER_1	14066525	14070553	IR	723	.	14068770	0.723	0.916	413	16194	14066525	14066860	14070218	14070553	63367979	13851067	14101067	12	3624	335	3358	spaced
SUPER_1	18205352	18207332	IR	702	.	18206343	0.702	0.985	155	2402	18205352	18206229	18206457	18207332	63367979	17967030	18217030	155	3988	875	228	immediate
SUPER_1	61169546	61174816	IR	685	.	61172181	0.685	0.999	432	5669	61169546	61171509	61172853	61174816	63367979	61158414	61408414	432	229	1963	1344	immediate
SUPER_1	36393600	36395451	IR	685	.	36394526	0.685	0.985	111	88927	36393600	36394212	36394840	36395451	63367979	36272552	36500977	111	2032	611	628	immediate
SUPER_1	8193557	8218068	IR	684	.	8205825	0.684	0.426	146	24950	8193557	8205686	8205964	8218068	63367979	8030334	8280334	150	2924	12104	278	immediate
SUPER_1	11564967	11566093	IR	684	.	11565530	0.684	0.972	61	138067	11564967	11565467	11565593	11566093	63367979	11493263	11743263	61	1204	500	126	immediate
SUPER_1	60802382	60805674	IR	676	.	60804028	0.676	0.992	191	65579	60802382	60803429	60804627	60805674	63367979	60662519	60912519	191	2358	1047	1198	immediate
SUPER_1	9368627	9369731	IR	659	.	9369179	0.659	0.959	65	42909	9368627	9369116	9369242	9369731	63367979	9280334	9530334	65	1480	489	126	immediate
SUPER_1	10226016	10229769	IR	653	.	10227826	0.653	0.859	125	4039	10226016	10227065	10228720	10229874	63367979	10043263	10293263	127	3077	1049	1655	immediate
SUPER_1	61260615	61263073	IR	652	.	61261844	0.652	1.000	141	2598	61260615	61261275	61262413	61263073	63367979	61258414	61508414	141	57	660	1138	immediate
SUPER_1	11898371	11900481	IR	631	.	11899426	0.631	0.998	103	2139	11898371	11898845	11900007	11900481	63367979	11693263	11943263	103	3435	474	1162	immediate
SUPER_1	22259805	22263009	IR	609	.	22261412	0.609	0.952	74	3302	22259805	22260677	22262147	22263009	63367979	22053904	22303904	74	3458	862	1470	immediate
SUPER_1	58262276	58263820	IR	600	.	58263058	0.600	0.955	100	49083	58262276	58262719	58263397	58263820	63367979	58204112	58454112	104	982	423	678	immediate
SUPER_1	2310871	2313184	IR	599	.	2312031	0.599	0.980	165	2473	2310871	2311799	2312256	2313188	63367979	2215279	2465279	165	1612	928	457	immediate
SUPER_1	18287306	18314672	IR	588	.	18301156	0.588	0.422	84	29911	18287306	18300797	18301181	18314682	63367979	18267030	18517030	172	565	13491	384	immediate
SUPER_1	33841568	33843987	IR	588	.	33842918	0.588	0.881	59	2490	33841568	33842301	33843254	33844001	63367979	33754470	33967342	59	1471	733	953	immediate
SUPER_1	21997329	21999584	IR	584	.	21998466	0.584	0.937	100	2314	21997329	21998196	21998717	21999603	63367979	21787543	22037543	101	3515	867	521	immediate
SUPER_1	53853474	53855379	IR	583	.	53854435	0.583	0.822	97	2156	53853474	53854359	53854495	53855379	63367979	53670357	53920357	97	3067	884	136	immediate
SUPER_1	31615279	31618584	IR	576	.	31616665	0.576	0.934	99	3295	31615279	31616195	31617668	31618600	63367979	31604470	31854470	0	207	916	1473	immediate
SUPER_1	63276967	63280137	IR	573	.	63278552	0.573	0.994	175	3278	63276967	63277862	63279242	63280137	63367979	63078866	63328866	175	3327	895	1380	immediate
SUPER_1	21944436	21949540	IR	571	.	21946846	0.571	0.903	99	104706	21944436	21945219	21948757	21949562	63367979	21787543	22037543	99	2657	783	3538	spaced
SUPER_1	54916780	54964164	IR	559	.	54940486	0.559	0.385	33	24513	54916780	54939886	54941086	54964164	63367979	54770357	55020357	37	2835	23078	1200	immediate
SUPER_1	13731681	13734781	IR	556	.	13733231	0.556	0.983	158	3293	13731681	13732537	13733925	13734786	63367979	13501067	13751067	159	3869	856	1388	immediate
SUPER_1	42614542	42617830	IR	552	.	42616290	0.552	1.000	111	3384	42614542	42615066	42617306	42617830	63367979	42375771	42625771	111	4006	524	2240	spaced
SUPER_1	43106759	43107879	IR	549	.	43107319	0.549	1.000	67	5221	43106759	43107045	43107593	43107879	63367979	42898623	43148623	67	3478	286	548	immediate
SUPER_1	19208669	19209443	IR	548	.	19209056	0.548	1.000	72	7740	19208669	19208985	19209127	19209443	63367979	19043819	19293819	73	2753	316	142	immediate
SUPER_1	29419523	29421685	IR	540	.	29420604	0.540	1.000	92	2226	29419523	29419910	29421298	29421685	63367979	29200961	29450961	92	3660	387	1388	immediate
SUPER_1	19154182	19201646	IR	538	.	19177914	0.538	0.392	81	24611	19154182	19177742	19178086	19201703	63367979	18993819	19243819	97	3068	23560	344	immediate
