#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	9379919	9386517	IR	994	.	9383218	0.994	1.000	648	7295	9379919	9382861	9383575	9386517	36021887	9150000	9400000	648	3886	2942	714	immediate
SUPER_Z	8028780	8033720	IR	964	.	8031250	0.964	0.974	411	5507	8028780	8030930	8031570	8033738	36021887	7800000	8050000	411	3854	2150	640	immediate
SUPER_Z	8736476	8740044	IR	781	.	8737774	0.781	0.890	46	3564	8736476	8737635	8738885	8740058	36021887	8700000	8950000	0	637	1159	1250	immediate
SUPER_Z	24516895	24526107	IR	755	.	24521353	0.755	0.949	364	51772	24516895	24520530	24522490	24526107	36021887	24300000	24550000	364	3691	3617	1960	immediate
SUPER_Z	7388094	7392495	IR	742	.	7389865	0.742	0.898	79	4395	7388094	7389901	7390688	7392507	36021887	7150000	7400000	0	4004	1807	787	immediate
SUPER_Z	28499793	28504336	IR	739	.	28501635	0.739	0.896	82	4535	28499793	28501672	28502457	28504356	36021887	28300000	28550000	0	3367	1879	785	immediate
SUPER_Z	2658499	2859692	IR	738	.	2759525	0.738	0.385	84	102684	2658499	2758703	2759488	2859713	36021887	2650000	2900000	0	1818	100204	785	immediate
SUPER_Z	4528707	4533735	IR	736	.	4530832	0.736	0.807	74	4648	4528707	4530873	4531650	4533735	36021887	4350000	4600000	0	3020	2085	777	immediate
SUPER_Z	32949626	32951556	IR	713	.	32950591	0.713	0.975	77	2034	32949626	32950230	32950953	32951556	36021887	32750000	33000000	77	3343	603	723	immediate
SUPER_Z	26747485	26750526	IR	697	.	26748787	0.697	0.754	23	3066	26747485	26748610	26749516	26750526	36021887	26650000	26900000	26	1649	1010	906	immediate
SUPER_Z	21364958	21582543	IR	692	.	21473761	0.692	0.384	123	217695	21364958	21473331	21474191	21582543	36021887	21350000	21600000	123	2062	108352	860	immediate
SUPER_Z	25481549	25485853	IR	676	.	25483485	0.676	0.902	78	4397	25481549	25482845	25484557	25485865	36021887	25300000	25550000	78	3061	1296	1712	immediate
SUPER_Z	8652309	8654240	IR	676	.	8653274	0.676	0.971	77	2034	8652309	8652899	8653650	8654240	36021887	8450000	8700000	77	3387	590	751	immediate
SUPER_Z	2397401	2399199	IR	652	.	2398461	0.652	0.990	86	2087	2397401	2397791	2398809	2399199	36021887	2200000	2450000	86	3304	390	1018	immediate
SUPER_Z	14298882	14300989	IR	651	.	14300147	0.651	0.826	39	2724	14298882	14299738	14300133	14301015	36021887	14100000	14350000	42	3332	856	395	immediate
SUPER_Z	13984159	13986096	IR	636	.	13985128	0.636	0.986	73	54127	13984159	13984649	13985606	13986097	36021887	13850000	14100000	73	2251	490	957	immediate
SUPER_Z	16543115	16546846	IR	623	.	16544659	0.623	0.855	67	3708	16543115	16544565	16545396	16546851	36021887	16450000	16700000	0	1582	1450	831	immediate
SUPER_Z	22690315	22692115	IR	619	.	22691215	0.619	0.973	71	104160	22690315	22690798	22691632	22692116	36021887	22500000	22750000	71	3186	483	834	immediate
SUPER_Z	6539838	6546570	IR	572	.	6542780	0.572	0.586	27	6704	6539838	6543045	6543382	6546570	36021887	6300000	6550000	0	4053	3188	337	immediate
SUPER_Z	24396792	24399551	IR	572	.	24398280	0.572	0.841	26	2774	24396792	24397713	24398630	24399555	36021887	24150000	24400000	27	4136	921	917	immediate
SUPER_Z	25783719	25786588	IR	546	.	25785368	0.546	0.593	24	2876	25783719	25784467	25786094	25786588	36021887	25550000	25800000	26	3919	494	1627	immediate
SUPER_Z	8563019	8565635	IR	545	.	8564327	0.545	0.938	35	2647	8563019	8563579	8565075	8565635	36021887	8350000	8600000	35	3571	560	1496	immediate
SUPER_Z	27668811	27671349	IR	539	.	27670080	0.539	0.970	49	2637	27668811	27669248	27670912	27671349	36021887	27450000	27700000	49	3667	437	1664	immediate
SUPER_Z	19238134	19240552	IR	538	.	19239343	0.538	0.996	115	2539	19238134	19238659	19240027	19240552	36021887	19050000	19300000	115	3155	525	1368	immediate
SUPER_Z	23166608	23167749	IR	538	.	23167179	0.538	0.956	39	38467	23166608	23166992	23167366	23167749	36021887	22950000	23200000	39	3619	383	374	immediate
SUPER_Z	8455755	8458373	IR	534	.	8457064	0.534	0.926	30	2649	8455755	8456307	8457821	8458373	36021887	8250000	8500000	30	3450	552	1514	immediate
SUPER_Z	14432873	14433957	IR	524	.	14433603	0.524	0.952	76	166740	14432873	14433261	14433570	14433957	36021887	14350000	14600000	76	1390	387	309	immediate
SUPER_Z	6029863	6232979	IR	521	.	6131475	0.521	0.380	38	203167	6029863	6130147	6132695	6232997	36021887	6000000	6250000	38	2190	100284	2548	spaced
SUPER_Z	29320323	29514713	IR	507	.	29417522	0.507	0.381	64	194617	29320323	29417339	29417705	29514713	36021887	29300000	29550000	64	1958	97008	366	immediate
SUPER_Z	26570221	26572424	IR	501	.	26571330	0.501	0.926	80	2493	26570221	26570784	26571861	26572439	36021887	26350000	26600000	80	3688	563	1077	immediate
SUPER_Z	4446174	4448606	IR	496	.	4447390	0.496	0.940	50	2623	4446174	4446803	4447977	4448611	36021887	4200000	4450000	50	4123	629	1174	immediate
SUPER_Z	32194438	32196722	IR	495	.	32195580	0.495	0.976	92	2534	32194438	32194935	32196231	32196722	36021887	31950000	32200000	92	4092	491	1296	immediate
SUPER_Z	5659200	5661666	IR	494	.	5660436	0.494	0.949	73	2531	5659200	5659782	5661084	5661672	36021887	5450000	5700000	73	3507	582	1302	immediate
SUPER_Z	21107799	21110292	IR	486	.	21109064	0.486	0.886	52	2647	21107799	21108475	21109653	21110292	36021887	20950000	21200000	52	2650	639	1178	immediate
SUPER_Z	3518372	3594752	IR	481	.	3556185	0.481	0.389	54	39642	3518372	3556097	3557027	3594792	36021887	3350000	3600000	0	3442	37725	930	immediate
