#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	13338017	13485738	IR	844	.	13412083	0.844	1.000	203	116845	13338017	13338034	13485721	13485738	13540534	13250000	13500000	1	2697	17	147687	wide
SUPER_Z	514601	516558	IR	590	.	515579	0.590	0.927	36	2003	514601	514974	516185	516569	13540534	500000	750000	36	259	373	1211	immediate
SUPER_Z	6466122	6469470	IR	588	.	6467793	0.588	0.957	196	3608	6466122	6467332	6468260	6469481	13540534	6250000	6500000	196	3629	1210	928	immediate
SUPER_Z	13003297	13005542	IR	569	.	13004421	0.569	0.992	162	99288	13003297	13004087	13004755	13005542	13540534	12900000	13150000	162	1740	787	668	immediate
SUPER_Z	12893786	12894846	IR	490	.	12894316	0.490	1.000	54	103335	12893786	12894032	12894600	12894846	13540534	12750000	13000000	54	2405	246	568	immediate
SUPER_Z	12716230	12845742	IR	487	.	12780986	0.487	0.395	85	129732	12716230	12780402	12781570	12845797	13540534	12600000	12850000	85	3016	64172	1168	immediate
SUPER_Z	8414265	8416547	IR	484	.	8415406	0.484	0.959	43	2305	8414265	8414658	8416154	8416547	13540534	8200000	8450000	43	3589	393	1496	immediate
SUPER_Z	6440940	6444176	IR	437	.	6442572	0.437	0.929	170	3599	6440940	6442150	6442977	6444176	13540534	6200000	6450000	170	4042	1199	827	immediate
SUPER_Z	8065880	8068497	IR	427	.	8066769	0.427	0.951	80	2595	8065880	8066654	8067723	8068499	13540534	7850000	8100000	0	3619	774	1069	immediate
SUPER_Z	3080221	3279629	IR	421	.	3179925	0.421	0.392	90	199534	3080221	3179076	3180774	3279672	13540534	3050000	3300000	90	2165	98855	1698	immediate
SUPER_Z	11409523	11411935	IR	421	.	11410729	0.421	1.000	75	2466	11409523	11409895	11411563	11411935	13540534	11200000	11450000	75	3512	372	1668	immediate
SUPER_Z	8419685	8556659	IR	417	.	8488172	0.417	0.391	32	137039	8419685	8488119	8488225	8556673	13540534	8350000	8600000	32	2302	68434	106	immediate
SUPER_Z	3939811	3942088	IR	410	.	3940953	0.410	0.913	43	2932	3939811	3940417	3941482	3942101	13540534	3700000	3950000	43	4015	606	1065	immediate
SUPER_Z	565724	570090	IR	400	.	567907	0.400	0.520	32	4452	565724	567363	568451	570097	13540534	550000	800000	32	298	1639	1088	immediate
SUPER_Z	11367519	11369443	IR	400	.	11368504	0.400	0.531	27	2021	11367519	11368468	11368540	11369443	13540534	11150000	11400000	27	3641	903	72	immediate
SUPER_Z	823044	826765	IR	397	.	824401	0.397	0.987	149	3698	823044	824123	825686	826766	13540534	800000	1050000	0	414	1079	1563	immediate
SUPER_Z	11743659	11944263	IR	394	.	11844350	0.394	0.391	32	200652	11743659	11756818	11931104	11944340	13540534	11700000	11950000	0	2399	13159	174286	wide
SUPER_Z	5677983	5776807	IR	393	.	5727395	0.393	0.392	24	99325	5677983	5727215	5727575	5776856	13540534	5600000	5850000	24	2123	49232	360	immediate
SUPER_Z	7413169	7630818	IR	391	.	7522046	0.391	0.390	67	217795	7413169	7521733	7522360	7630818	13540534	7400000	7650000	71	2033	108458	627	immediate
SUPER_Z	9103807	9210517	IR	385	.	9157442	0.385	0.398	35	106713	9103807	9136959	9177365	9210540	13540534	9000000	9250000	0	2619	33152	40406	spaced
SUPER_Z	277297	279706	IR	380	.	278689	0.380	1.000	111	22718	277297	277825	279178	279706	13540534	100000	350000	111	2974	528	1353	immediate
SUPER_Z	4849627	4899824	IR	371	.	4874725	0.371	0.401	37	50607	4849627	4874107	4875344	4899885	13540534	4800000	5050000	37	1245	24480	1237	immediate
