#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	535271	536936	IR	550	.	536104	0.550	0.970	81	2045	535271	535880	536328	536936	20718490	350000	600000	81	3101	608	448	immediate
SUPER_1	6841478	6846525	IR	372	.	6843984	0.372	0.968	274	5652	6841478	6843314	6844689	6846539	20718490	6600000	6850000	274	4066	1836	1375	immediate
SUPER_1	9386111	9536950	IR	361	.	9461639	0.361	0.975	33	150844	9386111	9386433	9536629	9536950	20718490	9300000	9550000	33	2692	321	150196	wide
SUPER_1	1764872	1863306	IR	353	.	1813683	0.353	0.000	20	98411	1764872	1765026	1863264	1863306	20718490	1750000	2000000	0	1068	42	98238	spaced
SUPER_1	4986040	5017669	IR	351	.	5002184	0.351	0.960	35	31606	4986040	4986516	5017194	5017669	20718490	4800000	5050000	0	3364	475	30678	spaced
SUPER_1	745037	869673	IR	349	.	806946	0.349	0.904	25	124635	745037	745286	869424	869694	20718490	650000	900000	0	2622	249	124138	wide
SUPER_1	4102334	4337443	IR	348	.	4219420	0.348	0.684	21	234780	4102334	4102783	4337074	4337443	20718490	4100000	4350000	0	1998	369	234291	wide
SUPER_1	5520394	5525543	IR	344	.	5523334	0.344	0.919	45	5147	5520394	5521042	5524895	5525560	20718490	5300000	5550000	0	3716	648	3853	spaced
SUPER_1	7407884	7468512	IR	342	.	7437765	0.342	0.961	23	60607	7407884	7408217	7468181	7468512	20718490	7250000	7500000	0	3136	331	59964	spaced
SUPER_1	2571238	2581546	IR	341	.	2576206	0.341	0.827	22	10306	2571238	2571649	2581149	2581546	20718490	2350000	2600000	22	3773	397	9500	spaced
SUPER_1	9700069	9729706	IR	337	.	9714420	0.337	0.922	27	29619	9700069	9700580	9729203	9729706	20718490	9500000	9750000	0	3581	503	28623	spaced
SUPER_1	5033234	5084880	IR	333	.	5058745	0.333	0.970	41	51625	5033234	5033674	5084440	5084880	20718490	4850000	5100000	0	3484	440	50766	spaced
SUPER_1	7831045	7838213	IR	329	.	7834473	0.329	0.991	81	7421	7831045	7831486	7837772	7838213	20718490	7600000	7850000	81	3910	441	6286	spaced
SUPER_1	3026534	3083621	IR	329	.	3055183	0.329	0.972	80	57322	3026534	3027175	3082980	3083624	20718490	2850000	3100000	80	3417	641	55805	spaced
SUPER_1	1331172	1367292	IR	327	.	1348991	0.327	0.963	24	36117	1331172	1331307	1367157	1367292	20718490	1150000	1400000	17	3320	135	35850	spaced
SUPER_1	12689969	12784313	IR	326	.	12736774	0.326	0.880	56	94310	12689969	12690949	12783351	12784313	20718490	12600000	12850000	0	2285	962	92402	spaced
