#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	34800444	34803660	IR	989	.	34802052	0.989	1.000	324	3539	34800444	34801868	34802236	34803660	43656055	34567182	34817182	324	3914	1424	368	immediate
SUPER_1	25122801	25129307	IR	988	.	25126054	0.988	1.000	677	7331	25122801	25125626	25126482	25129307	43656055	24984190	25234190	773	2364	2825	856	immediate
SUPER_1	31082766	31087366	IR	975	.	31085066	0.975	1.000	453	21620	31082766	31084780	31085352	31087366	43656055	31008960	31129863	453	1268	2014	572	immediate
SUPER_1	21742419	21749313	IR	960	.	21745866	0.960	1.000	676	7547	21742419	21745403	21746329	21749313	43656055	21521090	21771090	682	3746	2984	926	immediate
SUPER_1	41546384	41552905	IR	951	.	41549644	0.951	0.999	636	7496	41546384	41549260	41550030	41552905	43656055	41344672	41594672	636	3416	2875	770	immediate
SUPER_1	41111781	41117641	IR	950	.	41114711	0.950	1.000	579	6558	41111781	41114344	41115078	41117641	43656055	40894672	41144672	579	3667	2563	734	immediate
SUPER_1	30918398	30923070	IR	940	.	30920734	0.940	1.000	445	5075	30918398	30920450	30921018	30923070	43656055	30687971	30937971	445	3879	2052	568	immediate
SUPER_1	23021818	23024910	IR	931	.	23023364	0.931	0.998	297	3429	23021818	23023066	23023662	23024910	43656055	22851542	23032542	297	2863	1248	596	immediate
SUPER_1	16756296	16758770	IR	930	.	16757533	0.930	1.000	239	2698	16756296	16757319	16757747	16758770	43656055	16543031	16793031	239	3574	1023	428	immediate
SUPER_1	13525138	13528259	IR	924	.	13526699	0.924	0.996	271	5084	13525138	13526450	13526948	13528259	43656055	13343031	13593031	271	3060	1311	498	immediate
SUPER_1	12668669	12674753	IR	914	.	12671711	0.914	0.998	559	6703	12668669	12671208	12672214	12674753	43656055	12443031	12693031	559	3811	2539	1006	immediate
SUPER_1	16267541	16275500	IR	911	.	16271517	0.911	0.994	766	8881	16267541	16270938	16272110	16275500	43656055	16043031	16293031	766	3807	3390	1172	immediate
SUPER_1	29530756	29532818	IR	906	.	29531787	0.906	0.987	110	2242	29530756	29531454	29532120	29532818	43656055	29490368	29740368	110	690	698	666	immediate
SUPER_1	28891316	28893448	IR	905	.	28892379	0.905	0.968	116	2241	28891316	28892061	28892703	28893450	43656055	28690368	28940368	116	3366	745	642	immediate
SUPER_1	30452517	30454843	IR	903	.	30453680	0.903	0.986	147	2615	30452517	30453441	30453919	30454843	43656055	30437971	30687971	147	261	924	478	immediate
SUPER_1	14020461	14026387	IR	896	.	14023424	0.896	1.000	544	7526	14020461	14022923	14023925	14026387	43656055	13793031	14043031	544	3839	2462	1002	immediate
SUPER_1	14676468	14681122	IR	895	.	14678820	0.895	0.941	313	5137	14676468	14678517	14679123	14681122	43656055	14443031	14693031	313	3929	1999	606	immediate
SUPER_1	8884284	8893936	IR	889	.	8889110	0.889	1.000	958	10745	8884284	8888475	8889745	8893936	43656055	8693031	8943031	958	3267	4191	1270	immediate
SUPER_1	23618008	23626270	IR	886	.	23622139	0.886	0.986	975	11223	23618008	23620041	23624237	23626297	43656055	23432742	23682742	3298	3156	2033	4196	spaced
SUPER_1	12117480	12120998	IR	886	.	12119239	0.886	0.982	263	4671	12117480	12118893	12119585	12120998	43656055	11993031	12243031	263	2103	1413	692	immediate
SUPER_1	37637722	37642634	IR	882	.	37640178	0.882	0.993	392	5284	37637722	37639812	37640544	37642634	43656055	37394672	37644672	392	4091	2090	732	immediate
SUPER_1	12250647	12253529	IR	868	.	12251629	0.868	0.840	50	2624	12250647	12251443	12252733	12253602	43656055	12043031	12293031	0	3484	796	1290	immediate
SUPER_1	23922200	23925178	IR	866	.	23923689	0.866	0.999	252	3357	23922200	23923342	23924036	23925178	43656055	23682742	23932742	252	4015	1142	694	immediate
SUPER_1	27200727	27213490	IR	856	.	27207378	0.856	0.953	65	12742	27200727	27201534	27212683	27213495	43656055	26980798	27230798	0	3771	807	11149	spaced
