#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	2609763	2618497	IR	904	.	2614075	0.904	0.978	405	9243	2609763	2612284	2615976	2618506	74443558	2400000	2650000	405	3568	2521	3692	spaced
SUPER_1	72560924	72562902	IR	685	.	72561919	0.685	0.949	73	2142	72560924	72561661	72562177	72562902	74443558	72350000	72600000	73	3531	725	516	immediate
SUPER_1	56212916	56215418	IR	645	.	56214174	0.645	0.957	98	2695	56212916	56213689	56214659	56215418	74443558	56150000	56400000	98	1069	759	970	immediate
SUPER_1	45434771	45451449	IR	639	.	45443117	0.639	0.920	484	94301	45434771	45442143	45444086	45451449	74443558	45350000	45600000	485	1551	7363	1943	immediate
SUPER_1	44230671	44237844	IR	600	.	44234264	0.600	0.940	210	7567	44230671	44233444	44235084	44237844	74443558	44000000	44250000	210	3904	2760	1640	immediate
SUPER_1	33187893	33203994	IR	567	.	33195944	0.567	0.959	751	17701	33187893	33194424	33197463	33204008	74443558	33000000	33250000	751	3265	6531	3039	spaced
SUPER_1	1204895	1215366	IR	550	.	1210297	0.550	0.976	314	11081	1204895	1207118	1213152	1215366	74443558	1000000	1250000	314	3502	2214	6034	spaced
SUPER_1	42690519	42697598	IR	544	.	42694059	0.544	0.976	370	7600	42690519	42693152	42694966	42697598	74443558	42450000	42700000	370	4067	2632	1814	immediate
SUPER_1	40403064	40407980	IR	520	.	40405609	0.520	0.854	132	5484	40403064	40404238	40406842	40407980	74443558	40200000	40450000	335	3425	1138	2604	spaced
SUPER_1	31613073	31615767	IR	500	.	31614420	0.500	0.955	151	3056	31613073	31614101	31614739	31615793	74443558	31600000	31850000	153	240	1028	638	immediate
SUPER_1	17947196	17951516	IR	496	.	17949356	0.496	0.976	350	4899	17947196	17949015	17949697	17951538	74443558	17750000	18000000	389	3322	1819	682	immediate
SUPER_1	29730678	29747531	IR	496	.	29739169	0.496	0.868	190	19023	29730678	29737110	29741099	29747537	74443558	29500000	29750000	190	3984	6432	3989	spaced
SUPER_1	12359517	12361549	IR	490	.	12360533	0.490	0.946	93	2235	12359517	12360359	12360707	12361565	74443558	12350000	12600000	94	175	842	348	immediate
