#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	5574298	5576044	IR	626	.	5575171	0.626	0.962	53	145320	5574298	5574744	5575598	5576044	27956967	5400000	5650000	53	2919	446	854	immediate
SUPER_1	14117638	14121810	IR	624	.	14119724	0.624	0.944	172	4725	14117638	14119211	14120237	14121833	27956967	13950000	14200000	172	2828	1573	1026	immediate
SUPER_1	24196326	24198676	IR	616	.	24197501	0.616	0.886	69	2961	24196326	24197230	24197772	24198716	27956967	24000000	24250000	70	3291	904	542	immediate
SUPER_1	12754067	12759308	IR	573	.	12756796	0.573	0.872	75	5229	12754067	12754518	12758857	12759332	27956967	12600000	12850000	158	2611	451	4339	spaced
SUPER_1	16962424	16964856	IR	555	.	16963640	0.555	0.970	91	2538	16962424	16962951	16964329	16964863	27956967	16750000	17000000	91	3560	527	1378	immediate
SUPER_1	12298407	12300775	IR	543	.	12299591	0.543	0.935	101	2556	12298407	12299236	12299946	12300796	27956967	12150000	12400000	101	2493	829	710	immediate
SUPER_1	7405413	7413459	IR	532	.	7409695	0.532	0.941	258	8023	7405413	7408652	7410220	7413460	27956967	7400000	7650000	0	157	3239	1568	immediate
SUPER_1	6142671	6195720	IR	522	.	6168744	0.522	0.399	43	53092	6142671	6167894	6170497	6195788	27956967	5950000	6200000	0	3653	25223	2603	spaced
SUPER_1	15052954	15055363	IR	502	.	15054245	0.502	0.989	90	2499	15052954	15053428	15054889	15055363	27956967	14900000	15150000	90	2569	474	1461	immediate
SUPER_1	22735252	22737616	IR	483	.	22736434	0.483	1.000	95	2453	22735252	22735688	22737180	22737616	27956967	22500000	22750000	95	3940	436	1492	immediate
SUPER_1	19024845	19028975	IR	470	.	19027285	0.470	0.728	29	3827	19024845	19025397	19028423	19029033	27956967	18900000	19150000	0	2115	552	3026	spaced
SUPER_1	25423594	25426064	IR	410	.	25424829	0.410	0.952	61	2615	25423594	25424155	25425504	25426064	27956967	25200000	25450000	61	3747	560	1349	immediate
SUPER_1	14538723	14627697	IR	409	.	14582780	0.409	0.891	32	88951	14538723	14538999	14627450	14627697	27956967	14400000	14650000	0	3053	247	88451	spaced
SUPER_1	8593216	8697916	IR	408	.	8645195	0.408	0.390	41	104640	8593216	8645598	8645617	8697916	27956967	8450000	8700000	0	3259	52299	19	immediate
SUPER_1	4846629	4851312	IR	407	.	4848986	0.407	0.927	153	4917	4846629	4848351	4849621	4851312	27956967	4650000	4900000	153	3316	1691	1270	immediate
SUPER_1	23268518	23272294	IR	405	.	23270570	0.405	0.943	23	3796	23268518	23268727	23272086	23272294	27956967	23150000	23400000	23	2006	208	3359	spaced
SUPER_1	25008048	25010490	IR	400	.	25009269	0.400	0.950	68	2572	25008048	25008418	25010120	25010501	27956967	24800000	25050000	68	3487	370	1702	immediate
SUPER_1	9565026	9591507	IR	397	.	9578770	0.397	0.548	62	26526	9565026	9577491	9579042	9591571	27956967	9500000	9750000	0	1304	12465	1551	immediate
SUPER_1	21952642	22100341	IR	379	.	22026621	0.379	0.839	24	147771	21952642	21953229	22099754	22100377	27956967	21900000	22150000	24	2108	587	146525	wide
SUPER_1	20774510	20777843	IR	372	.	20776118	0.372	0.953	42	3368	20774510	20774795	20777558	20777853	27956967	20550000	20800000	42	3769	285	2763	spaced
SUPER_1	15143463	15155111	IR	368	.	15149287	0.368	0.402	23	11647	15143463	15149217	15149357	15155123	27956967	15050000	15300000	23	1654	5754	140	immediate
SUPER_1	12801108	12803965	IR	366	.	12802537	0.366	0.952	53	2992	12801108	12801685	12803389	12803965	27956967	12800000	13050000	53	42	576	1704	immediate
SUPER_1	26014496	26016966	IR	359	.	26015731	0.359	0.985	113	2625	26014496	26015044	26016419	26016966	27956967	25800000	26050000	113	3595	547	1375	immediate
SUPER_1	23717267	23804527	IR	359	.	23761143	0.359	0.969	29	87234	23717267	23717522	23804272	23804528	27956967	23600000	23850000	0	2681	255	86750	spaced
SUPER_1	943053	945580	IR	357	.	944316	0.357	0.990	109	2616	943053	943626	945007	945580	27956967	700000	950000	109	4071	573	1381	immediate
SUPER_1	23098235	23226674	IR	353	.	23162344	0.353	0.396	31	128518	23098235	23132580	23192329	23226736	27956967	23000000	23250000	31	2707	34345	59749	spaced
SUPER_1	3870223	3929584	IR	352	.	3900084	0.352	0.943	36	59439	3870223	3870569	3929238	3929588	27956967	3700000	3950000	36	3331	346	58669	spaced
SUPER_1	19685780	19829822	IR	349	.	19757299	0.349	0.969	165	144022	19685780	19687151	19828452	19829822	27956967	19600000	19850000	0	2629	1370	141301	wide
SUPER_1	853235	859896	IR	349	.	856935	0.349	0.977	26	6640	853235	853501	859630	859896	27956967	650000	900000	0	3442	266	6129	spaced
SUPER_1	1215253	1337225	IR	348	.	1276432	0.348	0.891	55	123630	1215253	1216095	1336383	1337236	27956967	1100000	1350000	55	2937	842	120288	wide
SUPER_1	21449608	21529523	IR	348	.	21489341	0.348	0.913	26	79911	21449608	21449801	21529338	21529523	27956967	21400000	21650000	26	1492	185	79537	spaced
SUPER_1	7021568	7050015	IR	346	.	7036205	0.346	0.907	31	28435	7021568	7021798	7049785	7050033	27956967	6850000	7100000	0	3096	230	27987	spaced
SUPER_1	22403380	22497662	IR	346	.	22450355	0.346	0.955	22	94288	22403380	22403556	22497486	22497662	27956967	22250000	22500000	22	3341	176	93930	spaced
SUPER_1	6585460	6668118	IR	345	.	6626480	0.345	0.885	34	82568	6585460	6586246	6667332	6668148	27956967	6450000	6700000	0	2946	786	81086	spaced
SUPER_1	2001201	2082887	IR	344	.	2042345	0.344	0.620	88	81664	2001201	2002657	2081439	2082887	27956967	1950000	2200000	0	1533	1448	78782	spaced
SUPER_1	4209291	4402088	IR	344	.	4306047	0.344	0.387	31	192752	4209291	4276794	4334585	4402152	27956967	4200000	4450000	0	1761	67503	57791	spaced
SUPER_1	7765483	7791923	IR	344	.	7778497	0.344	0.000	31	26537	7765483	7765504	7791902	7792007	27956967	7750000	8000000	56	478	21	26398	spaced
SUPER_1	25361750	25419751	IR	344	.	25391178	0.344	0.925	27	57975	25361750	25362305	25419201	25419751	27956967	25200000	25450000	0	3179	550	56896	spaced
SUPER_1	8823065	9003695	IR	344	.	8913875	0.344	0.635	24	180597	8823065	8823187	9003573	9003751	27956967	8800000	9050000	0	1889	122	180386	wide
SUPER_1	10880473	11083987	IR	344	.	10982073	0.344	0.985	23	203508	10880473	10880609	11083851	11083987	27956967	10850000	11100000	23	2203	136	203242	wide
SUPER_1	26821810	26926228	IR	343	.	26873883	0.343	0.749	93	104563	26821810	26822638	26925400	26926283	27956967	26800000	27050000	93	1233	828	102762	wide
SUPER_1	15656034	15827773	IR	343	.	15741829	0.343	1.000	31	171780	15656034	15656180	15827627	15827773	27956967	15600000	15850000	31	2364	146	171447	wide
SUPER_1	22142162	22196044	IR	343	.	22168676	0.343	0.914	22	53861	22142162	22142371	22195845	22196044	27956967	21950000	22200000	0	3651	199	53474	spaced
SUPER_1	10510208	10747720	IR	342	.	10628457	0.342	0.969	118	237482	10510208	10511209	10746721	10747720	27956967	10500000	10750000	0	2149	999	235512	wide
SUPER_1	11894071	12019256	IR	342	.	11956257	0.342	0.395	52	125077	11894071	11927035	11986292	12019265	27956967	11800000	12050000	0	2610	32964	59257	spaced
SUPER_1	3000704	3022544	IR	342	.	3011808	0.342	0.943	47	107548	3000704	3001330	3021918	3022546	27956967	2850000	3100000	47	2693	626	20588	spaced
SUPER_1	1453027	1562950	IR	340	.	1507520	0.340	0.888	89	109902	1453027	1454530	1561501	1562950	27956967	1350000	1600000	0	2633	1449	106971	wide
SUPER_1	312582	332027	IR	339	.	322536	0.339	0.840	33	21107	312582	312607	332006	332027	27956967	100000	350000	4	3704	21	19399	spaced
SUPER_1	16143682	16198433	IR	339	.	16171282	0.339	0.738	29	56448	16143682	16143743	16198388	16198433	27956967	16050000	16300000	188	2017	45	54645	spaced
SUPER_1	2179711	2191700	IR	338	.	2186119	0.338	1.000	451	11963	2179711	2182248	2189163	2191700	27956967	1950000	2200000	0	3928	2537	6915	spaced
SUPER_1	4012538	4167858	IR	338	.	4090687	0.338	0.387	39	155329	4012538	4042365	4138031	4167887	27956967	3950000	4200000	0	2336	29827	95666	spaced
SUPER_1	4757092	4787489	IR	338	.	4772429	0.338	0.798	26	30416	4757092	4757519	4787062	4787503	27956967	4550000	4800000	26	3704	427	29543	spaced
SUPER_1	20037689	20065516	IR	338	.	20051792	0.338	0.983	24	27843	20037689	20037808	20065397	20065516	27956967	19850000	20100000	24	3359	119	27589	spaced
SUPER_1	17516166	17631536	IR	338	.	17573990	0.338	0.953	20	115366	17516166	17516359	17631344	17631536	27956967	17400000	17650000	20	2897	192	114985	wide
SUPER_1	438416	581648	IR	337	.	510221	0.337	0.950	151	143439	438416	439786	580278	581656	27956967	350000	600000	151	2667	1370	140492	wide
SUPER_1	20777959	20928416	IR	337	.	20853064	0.337	0.991	104	150577	20777959	20778537	20927838	20928416	27956967	20700000	20950000	104	2552	578	149301	wide
SUPER_1	27370183	27493213	IR	337	.	27431472	0.337	0.818	63	124462	27370183	27371946	27491450	27493235	27956967	27250000	27500000	38	3028	1763	119504	wide
SUPER_1	13651487	13772673	IR	337	.	13711695	0.337	0.987	35	121169	13651487	13651722	13772438	13772673	27956967	13550000	13800000	0	2701	235	120716	wide
SUPER_1	14122231	14252474	IR	337	.	14187361	0.337	0.389	33	130301	14122231	14187284	14187438	14252474	27956967	14050000	14300000	33	2289	65036	154	immediate
SUPER_1	6309647	6365061	IR	337	.	6336871	0.337	0.965	29	55393	6309647	6309877	6364831	6365062	27956967	6250000	6500000	0	1455	230	54954	spaced
SUPER_1	22220593	22402590	IR	337	.	22311625	0.337	0.982	22	182003	22220593	22220758	22402425	22402590	27956967	22200000	22450000	22	1859	165	181667	wide
SUPER_1	17228366	17272513	IR	337	.	17250009	0.337	0.971	21	44102	17228366	17228606	17272273	17272513	27956967	17200000	17450000	0	840	240	43667	spaced
SUPER_1	5224512	5332682	IR	336	.	5278629	0.336	0.979	161	108403	5224512	5225511	5331686	5332682	27956967	5100000	5350000	161	2976	996	106175	wide
SUPER_1	15913618	15928330	IR	336	.	15920723	0.336	0.985	57	14695	15913618	15914020	15927928	15928332	27956967	15700000	15950000	0	3682	402	13908	spaced
SUPER_1	17047177	17200401	IR	336	.	17123795	0.336	0.398	33	153212	17047177	17070183	17177396	17200401	27956967	17000000	17250000	33	2063	23005	107213	wide
SUPER_1	19296581	19352887	IR	336	.	19324386	0.336	0.981	33	56290	19296581	19296790	19352678	19352888	27956967	19150000	19400000	0	2912	209	55888	spaced
SUPER_1	15307487	15518900	IR	336	.	15412794	0.336	0.981	31	211389	15307487	15307746	15518641	15518900	27956967	15300000	15550000	0	1886	259	210895	wide
