#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	149886	151990	IR	593	.	150938	0.593	0.997	80	2159	149886	150259	151617	151990	24750785	0	250000	80	2515	373	1358	immediate
SUPER_Z	17982578	17984109	IR	489	.	17983342	0.489	0.000	26	121147	17982578	17982802	17983885	17996760	24750785	17850000	18100000	26	2222	224	1083	immediate
SUPER_Z	21173655	21301965	IR	478	.	21237496	0.478	0.957	32	128282	21173655	21174026	21301599	21301965	24750785	21100000	21350000	0	2296	366	127573	wide
SUPER_Z	13782622	13784629	IR	456	.	13783628	0.456	0.951	39	2073	13782622	13783011	13784245	13784629	24750785	13550000	13800000	39	3893	384	1234	immediate
SUPER_Z	3955958	3958372	IR	389	.	3957165	0.389	0.991	65	2455	3955958	3956303	3958027	3958373	24750785	3750000	4000000	65	3452	345	1724	immediate
SUPER_Z	13108332	13119085	IR	360	.	13113906	0.360	0.558	51	10948	13108332	13110957	13116460	13119108	24750785	12900000	13150000	51	3561	2625	5503	spaced
SUPER_Z	15727597	15820671	IR	359	.	15774151	0.359	0.387	32	93141	15727597	15773908	15774394	15820671	24750785	15700000	15950000	32	1235	46277	486	immediate
SUPER_Z	8698424	8879895	IR	357	.	8789159	0.357	1.000	28	181458	8698424	8698555	8879764	8879895	24750785	8650000	8900000	28	2319	131	181209	wide
SUPER_Z	7935316	8080089	IR	356	.	8008144	0.356	0.920	66	144752	7935316	7936040	8079371	8080089	24750785	7850000	8100000	0	2628	718	143331	wide
SUPER_Z	4698626	4768455	IR	355	.	4733573	0.355	0.387	54	79585	4698626	4732967	4734179	4768455	24750785	4650000	4900000	54	1392	34276	1212	immediate
SUPER_Z	1057821	1296353	IR	352	.	1176977	0.352	0.383	26	238529	1057821	1132612	1221593	1296353	24750785	1050000	1300000	26	2117	74760	88981	spaced
SUPER_Z	1514279	1623490	IR	350	.	1568741	0.350	0.973	34	109229	1514279	1514574	1623195	1623490	24750785	1450000	1700000	34	1981	295	108621	wide
SUPER_Z	6948959	6963866	IR	348	.	6956725	0.348	0.885	93	14891	6948959	6950518	6962307	6963869	24750785	6800000	7050000	0	2606	1559	11789	spaced
SUPER_Z	17738063	17883246	IR	348	.	17810922	0.348	0.982	28	145163	17738063	17738281	17883028	17883246	24750785	17650000	17900000	0	2677	218	144747	wide
SUPER_Z	22383774	22511365	IR	347	.	22447159	0.347	0.976	20	127573	22383774	22383984	22511155	22511365	24750785	22350000	22600000	0	1626	210	127171	wide
SUPER_Z	19289888	19488353	IR	343	.	19389560	0.343	0.949	30	198446	19289888	19290295	19487946	19488361	24750785	19250000	19500000	0	2318	407	197651	wide
SUPER_Z	16805522	16947583	IR	341	.	16876897	0.341	0.921	39	142056	16805522	16805896	16947209	16947598	24750785	16700000	16950000	0	2942	374	141313	wide
SUPER_Z	6200549	6389227	IR	340	.	6294749	0.340	0.383	46	188722	6200549	6253415	6336367	6389227	24750785	6150000	6400000	46	2414	52860	82952	spaced
SUPER_Z	22065832	22098134	IR	340	.	22082000	0.340	0.378	31	32302	22065832	22081528	22082471	22098134	24750785	21850000	22100000	31	3866	15663	943	immediate
SUPER_Z	6405010	6570957	IR	340	.	6487991	0.340	0.969	25	165938	6405010	6405205	6570762	6570958	24750785	6350000	6600000	25	2299	195	165557	wide
SUPER_Z	20542429	20665784	IR	340	.	20603702	0.340	0.944	20	123335	20542429	20542591	20665629	20665784	24750785	20450000	20700000	0	2568	155	123038	wide
SUPER_Z	22323496	22341866	IR	339	.	22332219	0.339	0.876	26	18374	22323496	22323659	22341703	22341889	24750785	22150000	22400000	0	3044	163	18044	spaced
SUPER_Z	12922341	12983167	IR	338	.	12952760	0.338	0.983	266	61188	12922341	12923704	12981804	12983175	24750785	12750000	13000000	266	3379	1363	58100	spaced
SUPER_Z	3666062	3744659	IR	338	.	3704952	0.338	0.985	78	78571	3666062	3666710	3744011	3744659	24750785	3550000	3800000	0	2589	648	77301	spaced
SUPER_Z	14886387	15048032	IR	338	.	14967031	0.338	0.392	36	232413	14886387	14938683	14995790	15048032	24750785	14850000	15100000	36	1953	52242	57107	spaced
SUPER_Z	3613237	3615362	IR	337	.	3613971	0.337	0.999	171	2100	3613237	3614236	3614363	3615362	24750785	3400000	3650000	0	3571	999	127	immediate
SUPER_Z	4196864	4343146	IR	337	.	4270274	0.337	1.000	43	146258	4196864	4197118	4342892	4343146	24750785	4100000	4350000	0	2833	254	145774	wide
SUPER_Z	10204581	10362496	IR	337	.	10283679	0.337	0.965	26	157908	10204581	10204779	10362298	10362497	24750785	10200000	10450000	26	1392	198	157519	wide
SUPER_Z	3195290	3368111	IR	336	.	3281348	0.336	0.985	4126	172796	3195290	3221163	3342240	3368111	24750785	3150000	3400000	0	2194	25871	121077	wide
SUPER_Z	8963379	9106331	IR	335	.	9034488	0.335	0.973	83	142932	8963379	8964012	9105710	9106331	24750785	8900000	9150000	0	2247	621	141698	wide
SUPER_Z	21636110	21774457	IR	335	.	21705406	0.335	1.000	31	138353	21636110	21636247	21774320	21774457	24750785	21550000	21800000	31	2587	137	138073	wide
SUPER_Z	11179989	11239317	IR	335	.	11209468	0.335	0.977	28	59340	11179989	11180165	11239141	11239317	24750785	11050000	11300000	28	2660	176	58976	spaced
SUPER_Z	21789798	21892517	IR	335	.	21841042	0.335	0.384	28	102814	21789798	21809467	21872848	21892599	24750785	21750000	22000000	28	1519	19669	63381	spaced
SUPER_Z	862108	1010571	IR	335	.	935927	0.335	0.967	26	148446	862108	862319	1010360	1010571	24750785	850000	1100000	0	1438	211	148041	wide
SUPER_Z	20746021	20901047	IR	334	.	20823295	0.334	0.928	65	228379	20746021	20746674	20900407	20901047	24750785	20700000	20950000	65	2058	640	153733	wide
SUPER_Z	20314251	20542544	IR	334	.	20428629	0.334	0.996	48	228350	20314251	20314484	20542311	20542544	24750785	20300000	20550000	48	2139	233	227827	wide
SUPER_Z	19659694	19777015	IR	334	.	19718600	0.334	0.987	32	117294	19659694	19659928	19776781	19777015	24750785	19550000	19800000	0	2805	234	116853	wide
SUPER_Z	7796306	7813469	IR	334	.	7804825	0.334	0.766	26	17253	7796306	7796490	7813326	7813469	24750785	7600000	7850000	26	3414	143	16836	spaced
SUPER_Z	19013717	19178725	IR	334	.	19096173	0.334	0.970	20	165053	19013717	19013881	19178561	19178725	24750785	19000000	19250000	20	1603	164	164680	wide
SUPER_Z	3121955	3186945	IR	333	.	3154477	0.333	0.390	67	65196	3121955	3149611	3159289	3186976	24750785	3050000	3300000	67	1740	27656	9678	spaced
SUPER_Z	15196834	15255903	IR	333	.	15226031	0.333	0.988	62	59052	15196834	15197324	15255413	15255903	24750785	15050000	15300000	0	2939	490	58089	spaced
SUPER_Z	2694484	2741184	IR	333	.	2717707	0.333	0.892	42	46757	2694484	2694881	2740787	2741214	24750785	2500000	2750000	42	3630	397	45906	spaced
SUPER_Z	16460128	16651485	IR	333	.	16555930	0.333	0.978	21	191344	16460128	16460356	16651258	16651485	24750785	16450000	16700000	21	1763	227	190902	wide
SUPER_Z	2005970	2006028	IR	332	.	2006210	0.332	1.000	66	121987	2005970	2006005	2005993	2006028	24750785	1850000	2100000	4	2599	35	-12	overlap
SUPER_Z	22213185	22251865	IR	332	.	22232959	0.332	0.914	20	38637	22213185	22213407	22251656	22251865	24750785	22150000	22400000	0	1375	209	38249	spaced
SUPER_Z	12607891	12634194	IR	331	.	12620594	0.331	0.873	46	26275	12607891	12608492	12633600	12634194	24750785	12400000	12650000	0	3683	594	25108	spaced
SUPER_Z	12648168	12798643	IR	331	.	12723801	0.331	0.394	41	150425	12648168	12668795	12778049	12798643	24750785	12600000	12850000	0	2056	20594	109254	wide
SUPER_Z	11524304	11741785	IR	331	.	11633212	0.331	0.977	27	217490	11524304	11524478	11741611	11741785	24750785	11500000	11750000	27	2217	174	217133	wide
SUPER_Z	10992861	11000667	IR	331	.	10997144	0.331	1.000	24	7780	10992861	10993024	11000504	11000667	24750785	10800000	11050000	0	3279	163	7480	spaced
SUPER_Z	14503742	14677412	IR	331	.	14590721	0.331	0.977	22	173718	14503742	14503917	14677237	14677413	24750785	14450000	14700000	22	2342	175	173320	wide
SUPER_Z	1423448	1509404	IR	330	.	1466254	0.330	0.968	48	86102	1423448	1423794	1509058	1509405	24750785	1300000	1550000	48	2773	346	85264	spaced
SUPER_Z	17415875	17420605	IR	330	.	17418327	0.330	0.982	41	17346	17415875	17416147	17420333	17420605	24750785	17250000	17500000	41	2803	272	4186	spaced
SUPER_Z	12118947	12143990	IR	330	.	12131507	0.330	0.967	27	25052	12118947	12119129	12143808	12143990	24750785	12000000	12250000	27	2191	182	24679	spaced
SUPER_Z	15081663	15093369	IR	330	.	15087860	0.330	0.967	25	11687	15081663	15081902	15093130	15093369	24750785	14900000	15150000	0	3125	239	11228	spaced
SUPER_Z	14186832	14317411	IR	330	.	14252603	0.330	0.388	23	130562	14186832	14239614	14264635	14317411	24750785	14100000	14350000	0	2535	52776	25021	spaced
SUPER_Z	2068306	2157754	IR	329	.	2112570	0.329	0.974	1387	89535	2068306	2078030	2148030	2157869	24750785	1950000	2200000	0	2717	9724	70000	spaced
SUPER_Z	12262905	12378712	IR	329	.	12321295	0.329	0.914	61	115787	12262905	12263611	12378047	12378712	24750785	12200000	12450000	0	2013	665	114436	wide
SUPER_Z	1966755	2003371	IR	328	.	1984911	0.328	0.986	64	36701	1966755	1967189	2002937	2003371	24750785	1800000	2050000	64	3084	434	35748	spaced
SUPER_Z	7277301	7464632	IR	328	.	7371134	0.328	0.996	51	187370	7277301	7277560	7464373	7464632	24750785	7250000	7500000	51	2015	259	186813	wide
SUPER_Z	7546211	7706773	IR	328	.	7626098	0.328	0.384	31	160588	7546211	7611333	7641651	7706828	24750785	7500000	7750000	0	2108	65122	30318	spaced
SUPER_Z	17165217	17352636	IR	328	.	17258696	0.328	0.395	29	187868	17165217	17174159	17343694	17352659	24750785	17150000	17400000	29	1815	8942	169535	wide
SUPER_Z	18320465	18388422	IR	328	.	18354894	0.328	0.929	29	67931	18320465	18320748	18388154	18388422	24750785	18150000	18400000	0	3407	268	67406	spaced
SUPER_Z	1858501	1966069	IR	327	.	1911863	0.327	0.384	63	107558	1858501	1910912	1913658	1966086	24750785	1750000	2000000	0	2704	52411	2746	spaced
SUPER_Z	12062431	12089499	IR	327	.	12075547	0.327	0.972	30	27010	12062431	12062718	12089213	12089499	24750785	12000000	12250000	0	1265	286	26495	spaced
SUPER_Z	4878853	4973028	IR	327	.	4925747	0.327	1.000	28	103295	4878853	4878993	4972888	4973028	24750785	4800000	5050000	28	2098	140	93895	spaced
SUPER_Z	13470991	13526293	IR	327	.	13498637	0.327	0.967	27	55306	13470991	13471202	13526082	13526293	24750785	13300000	13550000	27	3310	211	54880	spaced
SUPER_Z	15854204	15937951	IR	327	.	15895927	0.327	0.970	26	83786	15854204	15854336	15937821	15937951	24750785	15850000	16100000	26	767	130	83485	spaced
SUPER_Z	9430939	9433161	IR	327	.	9432050	0.327	0.956	22	96963	9430939	9431116	9432984	9433164	24750785	9350000	9600000	22	1367	177	1868	immediate
SUPER_Z	17149032	17157799	IR	326	.	17152939	0.326	1.000	797	8746	17149032	17153408	17153423	17157799	24750785	16950000	17200000	0	3390	4376	15	immediate
SUPER_Z	22995784	23042137	IR	326	.	23018817	0.326	0.766	288	47699	22995784	23000350	23037571	23042199	24750785	22800000	23050000	288	3649	4566	37221	spaced
SUPER_Z	24620829	24648651	IR	326	.	24634304	0.326	0.979	167	27794	24620829	24622068	24647420	24648651	24750785	24400000	24650000	0	3912	1231	25352	spaced
SUPER_Z	2162693	2221566	IR	326	.	2191884	0.326	0.920	66	59000	2162693	2163410	2220849	2221591	24750785	2150000	2400000	66	701	717	57439	spaced
SUPER_Z	17514170	17523957	IR	326	.	17518631	0.326	0.990	43	9725	17514170	17514478	17523649	17523957	24750785	17300000	17550000	0	3650	308	9171	spaced
SUPER_Z	15506450	15697148	IR	326	.	15601459	0.326	0.387	36	102896	15506450	15594735	15608913	15697148	24750785	15500000	15750000	0	1696	88235	14178	spaced
SUPER_Z	11944593	11947475	IR	326	.	11946014	0.326	0.981	29	2894	11944593	11944803	11947265	11947475	24750785	11700000	11950000	29	4100	210	2462	spaced
SUPER_Z	11756298	11791277	IR	326	.	11773629	0.326	0.969	25	34996	11756298	11756489	11791086	11791277	24750785	11600000	11850000	25	2896	191	34597	spaced
SUPER_Z	18631040	18692297	IR	326	.	18661523	0.326	0.382	23	111981	18631040	18659871	18663466	18692325	24750785	18500000	18750000	23	2694	28831	3595	spaced
SUPER_Z	9682326	9844253	IR	326	.	9763056	0.326	0.379	21	164522	9682326	9704011	9822568	9844257	24750785	9600000	9850000	20	2721	21685	118557	wide
SUPER_Z	16011984	16019458	IR	326	.	16015929	0.326	0.992	21	7546	16011984	16012107	16019336	16019458	24750785	15850000	16100000	21	2761	122	7229	spaced
SUPER_Z	7211893	7265481	IR	325	.	7239105	0.325	0.966	51	53565	7211893	7212390	7264984	7265481	24750785	7150000	7400000	0	1477	497	52594	spaced
SUPER_Z	5755507	5984231	IR	325	.	5869758	0.325	0.434	22	228708	5755507	5758469	5981295	5984231	24750785	5750000	6000000	22	1997	2936	222826	wide
SUPER_Z	18080369	18182092	IR	325	.	18131041	0.325	0.953	21	158220	18080369	18080559	18181902	18182095	24750785	18000000	18250000	21	2187	190	101343	wide
SUPER_Z	6822366	6848437	IR	324	.	6834992	0.324	0.989	75	26053	6822366	6822821	6847986	6848437	24750785	6600000	6850000	0	3923	451	25165	spaced
SUPER_Z	5526279	5554646	IR	324	.	5540933	0.324	0.441	58	28339	5526279	5532492	5548517	5554646	24750785	5350000	5600000	0	3174	6129	16025	spaced
SUPER_Z	6587061	6646100	IR	324	.	6616577	0.324	0.409	54	59075	6587061	6599856	6633313	6646100	24750785	6400000	6650000	54	3609	12787	33457	spaced
SUPER_Z	10656351	10803585	IR	324	.	10729908	0.324	0.881	46	147286	10656351	10656779	10803163	10803585	24750785	10600000	10850000	46	2165	422	146384	wide
SUPER_Z	5060342	5076148	IR	324	.	5068214	0.324	0.991	40	15932	5060342	5060565	5075926	5076148	24750785	4850000	5100000	40	3637	222	15361	spaced
SUPER_Z	6852683	6948041	IR	323	.	6900309	0.323	0.969	126	95536	6852683	6853259	6947466	6948041	24750785	6700000	6950000	126	3339	575	94207	spaced
SUPER_Z	3941212	3943826	IR	323	.	3942519	0.323	1.000	90	2691	3941212	3941586	3943452	3943826	24750785	3700000	3950000	90	4041	374	1866	immediate
SUPER_Z	4611849	4666584	IR	323	.	4638883	0.323	0.415	75	54751	4611849	4625147	4653286	4666627	24750785	4450000	4700000	0	3153	13298	28139	spaced
SUPER_Z	4395652	4509445	IR	323	.	4452770	0.323	0.974	70	113886	4395652	4396229	4508872	4509445	24750785	4300000	4550000	70	2542	573	112643	wide
SUPER_Z	8452660	8600692	IR	323	.	8526185	0.323	0.395	40	148033	8452660	8466200	8587152	8600710	24750785	8450000	8700000	0	1277	13540	120952	wide
SUPER_Z	9326165	9397770	IR	323	.	9361722	0.323	0.973	36	161126	9326165	9326491	9397444	9397772	24750785	9200000	9450000	34	2699	326	70953	spaced
SUPER_Z	24332133	24491421	IR	323	.	24411421	0.323	0.850	36	159294	24332133	24332791	24490763	24491445	24750785	24250000	24500000	0	2696	658	157972	wide
SUPER_Z	11051814	11106148	IR	323	.	11079191	0.323	0.823	26	54355	11051814	11052092	11105896	11106148	24750785	10900000	11150000	26	2982	252	53804	spaced
SUPER_Z	20709215	20745379	IR	323	.	20727058	0.323	0.842	26	51058	20709215	20709398	20745209	20745379	24750785	20650000	20900000	6	1288	170	35811	spaced
SUPER_Z	11012687	11046433	IR	323	.	11029765	0.323	0.984	23	33811	11012687	11012813	11046307	11046433	24750785	10800000	11050000	23	3825	126	33494	spaced
SUPER_Z	3966070	4157903	IR	322	.	4062463	0.322	0.950	62	191815	3966070	3966714	4157271	4157903	24750785	3950000	4200000	0	1866	632	190557	wide
SUPER_Z	11993227	12045140	IR	322	.	12019093	0.322	0.977	31	80756	11993227	11993442	12044925	12045140	24750785	11900000	12150000	31	1986	215	51483	spaced
SUPER_Z	12429187	12488972	IR	322	.	12459530	0.322	0.952	29	59724	12429187	12429513	12488646	12488978	24750785	12400000	12650000	0	984	326	59133	spaced
SUPER_Z	16196166	16271140	IR	322	.	16233591	0.322	0.927	28	77420	16196166	16196588	16270725	16271140	24750785	16050000	16300000	28	3060	415	74137	spaced
SUPER_Z	21049969	21140535	IR	322	.	21094818	0.322	0.398	25	90546	21049969	21064170	21126389	21140535	24750785	20900000	21150000	0	3254	14146	62219	spaced
SUPER_Z	8164163	8297965	IR	321	.	8230586	0.321	0.440	167	133792	8164163	8192002	8270126	8298032	24750785	8100000	8350000	0	2184	27839	78124	spaced
SUPER_Z	9951291	10128173	IR	321	.	10039355	0.321	0.915	37	176877	9951291	9951539	10127925	10128195	24750785	9900000	10150000	0	2328	248	176386	wide
SUPER_Z	10607460	10637396	IR	321	.	10622730	0.321	0.991	32	29912	10607460	10607685	10637171	10637396	24750785	10600000	10850000	0	373	225	29486	spaced
SUPER_Z	13955478	14099623	IR	321	.	14027263	0.321	0.968	30	144127	13955478	13955753	14099348	14099625	24750785	13850000	14100000	0	2959	275	143595	wide
SUPER_Z	9464518	9652746	IR	320	.	9558844	0.320	1.000	29	188316	9464518	9464664	9652600	9652746	24750785	9450000	9700000	29	1810	146	187936	wide
SUPER_Z	14470692	14501384	IR	320	.	14485855	0.320	0.978	24	89926	14470692	14470874	14501202	14501384	24750785	14300000	14550000	24	3100	182	30328	spaced
SUPER_Z	18727876	18761425	IR	320	.	18744767	0.320	0.975	22	33537	18727876	18728034	18761267	18761426	24750785	18650000	18900000	22	1577	158	33233	spaced
SUPER_Z	5984850	6091944	IR	320	.	6038565	0.320	0.979	21	107079	5984850	5984992	6091802	6091944	24750785	5850000	6100000	21	3139	142	106810	wide
SUPER_Z	23568009	23600310	IR	320	.	23584361	0.320	0.954	20	32288	23568009	23568205	23600115	23600310	24750785	23400000	23650000	20	3069	195	31910	spaced
SUPER_Z	7081673	7166764	IR	319	.	7124683	0.319	0.916	469	85071	7081673	7087145	7161364	7166764	24750785	7000000	7250000	0	2070	5400	74219	spaced
SUPER_Z	13594761	13776746	IR	319	.	13685825	0.319	0.383	35	182036	13594761	13677329	13694178	13776797	24750785	13550000	13800000	35	2262	82568	16849	spaced
SUPER_Z	17911191	17951780	IR	319	.	17931183	0.319	0.390	26	40580	17911191	17922211	17940760	17951788	24750785	17900000	18150000	0	524	11020	18549	spaced
SUPER_Z	24277020	24312562	IR	319	.	24294309	0.319	0.983	26	35522	24277020	24277311	24312271	24312562	24750785	24100000	24350000	0	3246	291	34960	spaced
