#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
ptg000002c	108428	110440	IR	704	.	109429	0.704	0.957	116	2100	108428	108945	109923	110443	1533661	0	250000	116	1823	517	978	immediate
ptg000002c	378423	476903	IR	336	.	427771	0.336	0.942	57	148841	378423	378918	476410	476903	1533661	350000	600000	57	1294	493	97492	spaced
ptg000002c	566137	655425	IR	330	.	610786	0.330	0.991	256	89605	566137	567305	654257	655425	1533661	450000	700000	256	2679	1168	86952	spaced
ptg000002c	1183401	1379609	IR	330	.	1281427	0.330	0.991	256	196525	1183401	1184569	1378441	1379609	1533661	1150000	1400000	256	2191	1168	193872	wide
ptg000002c	913974	1060070	IR	325	.	987229	0.325	1.000	203	146286	913974	914915	1059129	1060070	1533661	850000	1100000	203	2283	941	144214	wide
ptg000002c	305400	311089	IR	325	.	308071	0.325	0.927	108	67566	305400	306168	310321	311101	1533661	150000	400000	108	2637	768	4153	spaced
ptg000002c	687949	713368	IR	322	.	700475	0.322	1.000	233	25715	687949	689014	712303	713368	1533661	600000	850000	233	1677	1065	23289	spaced
ptg000002c	196370	263205	IR	322	.	230160	0.322	0.796	49	66815	196370	196918	262684	263205	1533661	50000	300000	0	2996	521	65766	spaced
ptg000002c	325044	327155	IR	318	.	325960	0.318	1.000	137	2293	325044	325681	326518	327155	1533661	100000	350000	137	3768	637	837	immediate
ptg000002c	793557	871460	IR	305	.	832159	0.305	0.409	220	77877	793557	827320	837702	871460	1533661	700000	950000	0	2208	33758	10382	spaced
