#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	30897235	30903943	IR	946	.	30900589	0.946	1.000	652	7374	30897235	30900132	30901046	30903943	45821572	30700000	30950000	652	3343	2897	914	immediate
SUPER_1	13290990	13303632	IR	913	.	13297311	0.913	1.000	1234	13999	13290990	13296542	13298080	13303632	45821572	13100000	13350000	1234	3288	5552	1538	immediate
SUPER_1	13305084	13315162	IR	913	.	13310123	0.913	1.000	984	107004	13305084	13309480	13310766	13315162	45821572	13200000	13450000	984	1835	4396	1286	immediate
SUPER_1	18910365	18911921	IR	783	.	18911143	0.783	0.996	122	93968	18910365	18910927	18911359	18911921	45821572	18850000	19100000	122	1018	562	432	immediate
SUPER_1	24442299	24446137	IR	776	.	24444218	0.776	0.995	338	4250	24442299	24443882	24444554	24446138	45821572	24200000	24450000	338	4070	1583	672	immediate
SUPER_1	15896584	15905769	IR	718	.	15901177	0.718	0.999	865	10088	15896584	15900414	15901940	15905769	45821572	15700000	15950000	865	3352	3829	1526	immediate
SUPER_1	24107994	24294118	IR	687	.	24201076	0.687	0.406	135	186276	24107994	24200812	24201340	24294118	45821572	24050000	24300000	135	2517	92778	528	immediate
SUPER_1	25600634	25605108	IR	683	.	25602891	0.683	0.908	225	4896	25600634	25602345	25603437	25605108	45821572	25550000	25800000	225	881	1671	1092	immediate
SUPER_1	13511507	13513633	IR	653	.	13512570	0.653	0.975	84	3509	13511507	13512030	13513110	13513633	45821572	13350000	13600000	84	2709	523	1080	immediate
SUPER_1	2232124	2237415	IR	650	.	2234555	0.650	0.786	101	5334	2232124	2234524	2235035	2237415	45821572	2050000	2300000	286	3079	2380	511	immediate
SUPER_1	42715318	42716294	IR	647	.	42715805	0.647	0.963	66	199188	42715318	42715699	42715921	42716294	45821572	42600000	42850000	66	1929	373	222	immediate
SUPER_1	7031722	7032672	IR	621	.	7032197	0.621	0.979	47	60724	7031722	7032061	7032333	7032672	45821572	6950000	7200000	47	1369	339	272	immediate
SUPER_1	22413618	22424647	IR	607	.	22419132	0.607	0.999	1005	22110	22413618	22418070	22420198	22424647	45821572	22300000	22550000	1006	1985	4449	2128	spaced
SUPER_1	21182804	21187790	IR	577	.	21185297	0.577	0.961	255	5540	21182804	21184617	21185977	21187803	45821572	20950000	21200000	255	3921	1813	1360	immediate
SUPER_1	22274077	22279937	IR	577	.	22276810	0.577	0.997	253	6087	22274077	22275266	22278751	22279937	45821572	22050000	22300000	253	3783	1186	3485	spaced
SUPER_1	21060677	21064238	IR	566	.	21062458	0.566	0.971	216	3811	21060677	21061707	21063215	21064238	45821572	20850000	21100000	216	3540	1023	1508	immediate
SUPER_1	11554567	11556921	IR	564	.	11555744	0.564	0.994	109	2446	11554567	11555089	11556399	11556921	45821572	11350000	11600000	109	3428	522	1310	immediate
SUPER_1	42664575	42666729	IR	560	.	42665652	0.560	0.992	22	42152	42664575	42664699	42666605	42666729	45821572	42500000	42750000	22	2760	124	1906	immediate
SUPER_1	1600509	1601582	IR	544	.	1600880	0.544	0.828	66	34081	1600509	1600688	1601403	1601618	45821572	1400000	1650000	489	3350	179	715	immediate
SUPER_1	16043244	16044052	IR	532	.	16043648	0.532	0.940	32	182790	16043244	16043560	16043736	16044052	45821572	15900000	16150000	32	2393	316	176	immediate
SUPER_1	39380605	39383121	IR	531	.	39381410	0.531	0.814	38	2426	39380605	39381176	39382569	39383121	45821572	39250000	39500000	0	2197	552	1393	immediate
SUPER_1	23099902	23116001	IR	525	.	23107948	0.525	0.699	43	16463	23099902	23102493	23113410	23116004	45821572	22900000	23150000	47	3465	2591	10917	spaced
SUPER_1	16041775	16042583	IR	524	.	16042179	0.524	0.908	23	82292	16041775	16042080	16042278	16042583	45821572	15900000	16150000	23	2369	305	198	immediate
SUPER_1	25652194	25656755	IR	523	.	25654514	0.523	0.854	155	4733	25652194	25653651	25655377	25656755	45821572	25550000	25800000	155	1741	1378	1726	immediate
SUPER_1	20721767	20726093	IR	474	.	20723942	0.474	0.931	262	4682	20721767	20723705	20724156	20726093	45821572	20600000	20850000	265	2065	1937	451	immediate
SUPER_1	23699890	23733108	IR	474	.	23716499	0.474	0.418	48	33818	23699890	23715964	23717034	23733151	45821572	23500000	23750000	48	3608	16074	1070	immediate
SUPER_1	26650932	26670613	IR	465	.	26660302	0.465	0.982	101	19661	26650932	26651668	26669877	26670615	45821572	26450000	26700000	0	3512	736	18209	spaced
SUPER_1	2760730	2761122	IR	450	.	2760926	0.450	0.987	22	182120	2760730	2760882	2760970	2761122	45821572	2650000	2900000	22	1848	152	88	immediate
SUPER_1	8683132	8684450	IR	416	.	8683800	0.416	0.520	20	156670	8683132	8683319	8684323	8684450	45821572	8600000	8850000	20	1396	127	1004	immediate
SUPER_1	37720748	37726040	IR	412	.	37723616	0.412	1.000	169	5466	37720748	37721506	37725282	37726040	45821572	37500000	37750000	169	3723	758	3776	spaced
SUPER_1	35760800	35794736	IR	408	.	35777792	0.408	0.923	321	34441	35760800	35763281	35792285	35794736	45821572	35650000	35900000	321	2129	2451	29004	spaced
SUPER_1	8110148	8256959	IR	404	.	8183360	0.404	0.866	98	147031	8110148	8110703	8256404	8256981	45821572	8100000	8350000	784	1392	555	145701	wide
SUPER_1	20108102	20151694	IR	404	.	20129616	0.404	0.994	55	43570	20108102	20108438	20151358	20151694	45821572	20000000	20250000	0	2164	336	42920	spaced
SUPER_1	27784304	27833228	IR	404	.	27808711	0.404	0.927	21	48888	27784304	27784345	27833190	27833228	45821572	27600000	27850000	191	3479	38	48845	spaced
SUPER_1	11598583	11601191	IR	403	.	11599887	0.403	0.807	28	3274	11598583	11599262	11600515	11601191	45821572	11400000	11650000	28	3331	676	1253	immediate
SUPER_1	45563541	45591870	IR	402	.	45577875	0.402	0.966	44	28357	45563541	45563893	45591518	45591871	45821572	45350000	45600000	44	3794	352	27625	spaced
SUPER_1	10187846	10329376	IR	402	.	10258678	0.402	0.975	32	141574	10187846	10188083	10329139	10329376	45821572	10100000	10350000	32	2643	237	141056	wide
SUPER_1	3359032	3531818	IR	398	.	3445204	0.398	0.887	99	173006	3359032	3359408	3531443	3531818	45821572	3350000	3600000	422	1590	375	172035	wide
SUPER_1	30931632	31080405	IR	398	.	31006393	0.398	0.438	49	142618	30931632	30937794	31074250	31080405	45821572	30900000	31150000	0	1766	6155	136456	wide
SUPER_1	7086235	7112462	IR	398	.	7099137	0.398	0.962	21	26280	7086235	7086467	7112230	7112463	45821572	6900000	7150000	21	3322	232	25763	spaced
