#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	25883040	25886932	IR	922	.	25884986	0.922	0.999	347	4256	25883040	25884645	25885327	25886932	118147124	25650000	25900000	347	3916	1605	682	immediate
SUPER_1	35206294	35210106	IR	920	.	35208200	0.920	1.000	369	4249	35206294	35207882	35208518	35210106	118147124	35000000	35250000	369	3469	1588	636	immediate
SUPER_1	63963280	63966742	IR	920	.	63965011	0.920	0.999	311	3853	63963280	63964714	63965308	63966742	118147124	63750000	64000000	311	3583	1434	594	immediate
SUPER_1	33792293	33796105	IR	919	.	33794199	0.919	0.999	346	4249	33792293	33793891	33794507	33796105	118147124	33550000	33800000	346	4069	1598	616	immediate
SUPER_1	76478257	76482339	IR	918	.	76480298	0.918	1.000	374	55832	76478257	76479951	76480645	76482339	118147124	76300000	76550000	374	3004	1694	694	immediate
SUPER_1	16849976	16853812	IR	917	.	16851894	0.917	1.000	361	4251	16849976	16851602	16852186	16853812	118147124	16650000	16900000	361	3364	1626	584	immediate
SUPER_1	34506137	34509992	IR	916	.	34508064	0.916	0.993	366	4251	34506137	34507773	34508356	34510000	118147124	34300000	34550000	366	3467	1636	583	immediate
SUPER_1	112106325	112110161	IR	916	.	112108243	0.916	1.000	361	4251	112106325	112107934	112108552	112110161	118147124	111900000	112150000	361	3470	1609	618	immediate
SUPER_1	654142	657998	IR	916	.	656070	0.916	0.999	353	4260	654142	655780	656360	657998	118147124	450000	700000	353	3434	1638	580	immediate
SUPER_1	89810961	89814809	IR	915	.	89812885	0.915	0.999	370	4253	89810961	89812579	89813191	89814809	118147124	89600000	89850000	370	3547	1618	612	immediate
SUPER_1	104679360	104683232	IR	915	.	104681296	0.915	1.000	365	4251	104679360	104680990	104681602	104683232	118147124	104450000	104700000	365	3854	1630	612	immediate
SUPER_1	26990206	26994078	IR	915	.	26992142	0.915	0.999	361	4251	26990206	26991834	26992450	26994078	118147124	26750000	27000000	361	4035	1628	616	immediate
SUPER_1	100425392	100429288	IR	915	.	100427340	0.915	0.999	360	146341	100425392	100427048	100427632	100429288	118147124	100350000	100600000	360	1288	1656	584	immediate
SUPER_1	27699140	27703012	IR	914	.	27701076	0.914	0.991	366	4258	27699140	27700784	27701382	27703012	118147124	27500000	27750000	366	3351	1630	598	immediate
SUPER_1	98074804	98078627	IR	914	.	98076713	0.914	0.990	356	4262	98074804	98076376	98077055	98078633	118147124	97850000	98100000	356	3778	1572	679	immediate
SUPER_1	68262665	68266462	IR	914	.	68264572	0.914	0.979	336	4241	68262665	68264250	68264909	68266462	118147124	68100000	68350000	336	2742	1553	659	immediate
