#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_W	5496581	5515893	IR	568	.	5506254	0.568	0.996	1861	21277	5496581	5504818	5507690	5515893	19158405	5300000	5550000	1881	3437	8203	2872	spaced
SUPER_W	18929930	19008881	IR	544	.	18969636	0.544	0.860	432	83378	18929930	18961555	18977256	19008946	19158405	18800000	19050000	392	2823	31625	15701	spaced
SUPER_W	3150886	3153496	IR	533	.	3152188	0.533	0.957	136	2712	3150886	3151792	3152594	3153496	19158405	2950000	3200000	136	3369	902	802	immediate
SUPER_W	11011371	11029179	IR	509	.	11020275	0.509	1.000	1638	19733	11011371	11018767	11021783	11029179	19158405	10800000	11050000	1638	3671	7396	3016	spaced
SUPER_W	2616008	2622107	IR	468	.	2619256	0.468	0.984	232	6343	2616008	2617512	2620610	2622107	19158405	2400000	2650000	232	3650	1497	3098	spaced
SUPER_W	2049381	2154783	IR	426	.	2102185	0.426	0.996	54	105446	2049381	2049658	2154506	2154783	19158405	1950000	2200000	54	2534	277	104848	wide
SUPER_W	4089049	4139203	IR	417	.	4114411	0.417	0.989	953	50141	4089049	4095182	4133070	4139209	19158405	3900000	4150000	0	3568	6133	37888	spaced
SUPER_W	3193763	3196094	IR	388	.	3194928	0.388	0.950	78	2459	3193763	3194691	3195166	3196100	19158405	2950000	3200000	78	4082	928	475	immediate
SUPER_W	5713651	5849849	IR	387	.	5782213	0.387	0.729	434	132264	5713651	5753699	5809801	5849946	19158405	5600000	5850000	0	3029	40048	56102	spaced
SUPER_W	14861223	14918093	IR	380	.	14889675	0.380	0.365	33	56862	14861223	14889464	14889886	14918093	19158405	14750000	15000000	33	2327	28207	422	immediate
SUPER_W	5264588	5280237	IR	376	.	5272609	0.376	1.000	1530	17375	5264588	5271323	5273502	5280237	19158405	5050000	5300000	1530	3706	6735	2179	spaced
SUPER_W	16189559	16274301	IR	372	.	16231626	0.372	0.996	3437	84733	16189559	16208729	16255131	16274313	19158405	16050000	16300000	0	3032	19170	46402	spaced
SUPER_W	5396092	5398900	IR	370	.	5397506	0.370	0.994	216	3024	5396092	5397080	5397912	5398902	19158405	5300000	5550000	216	1624	988	832	immediate
SUPER_W	8592458	8673357	IR	357	.	8633304	0.357	0.999	1358	80881	8592458	8600047	8665768	8673359	19158405	8450000	8700000	0	3048	7589	65721	spaced
SUPER_W	15580726	15610709	IR	355	.	15595278	0.355	0.925	104	29935	15580726	15581780	15609681	15610709	19158405	15450000	15700000	0	2428	1028	27901	spaced
SUPER_W	17459919	17671102	IR	354	.	17565843	0.354	0.987	734	211164	17459919	17464332	17666724	17671102	19158405	17450000	17700000	0	1925	4378	202392	wide
SUPER_W	16000839	16031747	IR	353	.	16016024	0.353	0.994	1027	30903	16000839	16006698	16025888	16031764	19158405	16000000	16250000	0	271	5859	19190	spaced
SUPER_W	14684449	14774146	IR	352	.	14729470	0.352	0.990	2143	92363	14684449	14694463	14764132	14774196	19158405	14550000	14800000	2143	2988	10014	69669	spaced
SUPER_W	13379942	13468482	IR	352	.	13423789	0.352	0.994	1551	88555	13379942	13388774	13459650	13468515	19158405	13250000	13500000	0	2903	8832	70876	spaced
SUPER_W	12424568	12508180	IR	351	.	12466124	0.351	0.999	1041	83585	12424568	12430339	12502409	12508180	19158405	12300000	12550000	0	2772	5771	72070	spaced
SUPER_W	7726148	7800820	IR	346	.	7763684	0.346	0.865	22	74662	7726148	7726319	7800649	7800820	19158405	7650000	7900000	22	1891	171	74330	spaced
SUPER_W	1882518	1983210	IR	345	.	1933066	0.345	0.991	101	100860	1882518	1883086	1982642	1983210	19158405	1850000	2100000	101	1380	568	99556	spaced
SUPER_W	11742801	11925735	IR	344	.	11833764	0.344	0.994	1853	182916	11742801	11753751	11914785	11925738	19158405	11700000	11950000	0	2237	10950	161034	wide
SUPER_W	16354319	16599267	IR	344	.	16476999	0.344	0.998	1226	246157	16354319	16359825	16593762	16599267	19158405	16350000	16600000	1232	2113	5505	233937	wide
SUPER_W	13583107	13683015	IR	343	.	13633435	0.343	0.876	22	99884	13583107	13583292	13682830	13683015	19158405	13550000	13800000	0	1384	185	99538	spaced
SUPER_W	17139101	17309076	IR	342	.	17224589	0.342	0.935	2019	169997	17139101	17160388	17287789	17309115	19158405	17100000	17350000	0	2068	21287	127401	wide
SUPER_W	16862170	16945013	IR	342	.	16904008	0.342	0.996	604	82826	16862170	16865658	16941525	16945015	19158405	16800000	17050000	0	1726	3488	75867	spaced
SUPER_W	7974310	8013935	IR	341	.	7994004	0.341	0.998	939	40643	7974310	7978526	8009719	8013939	19158405	7800000	8050000	939	3235	4216	31193	spaced
SUPER_W	11159889	11192515	IR	340	.	11176254	0.340	0.998	2002	34724	11159889	11168633	11183789	11192515	19158405	11000000	11250000	2006	2936	8726	15156	spaced
SUPER_W	12272431	12293981	IR	340	.	12282762	0.340	1.000	1172	21521	12272431	12279038	12287374	12293981	19158405	12250000	12500000	0	553	6607	8336	spaced
SUPER_W	5915918	5979971	IR	340	.	5948349	0.340	0.958	244	64028	5915918	5917536	5978393	5979971	19158405	5800000	6050000	0	2465	1578	60857	spaced
SUPER_W	6216507	6370851	IR	339	.	6294073	0.339	0.591	1821	154324	6216507	6255533	6331870	6370851	19158405	6200000	6450000	0	1561	38981	76337	spaced
SUPER_W	8313804	8352728	IR	339	.	8333020	0.339	0.991	1713	38983	8313804	8314134	8352398	8352728	19158405	8150000	8400000	56	3054	330	38264	spaced
SUPER_W	8100005	8283572	IR	339	.	8192070	0.339	0.512	1168	183562	8100005	8127934	8255643	8283589	19158405	8100000	8350000	0	1529	27929	127709	wide
SUPER_W	7084353	7288129	IR	339	.	7185975	0.339	0.994	786	203743	7084353	7088874	7283608	7288129	19158405	7050000	7300000	0	2270	4521	194734	wide
SUPER_W	10787843	10883872	IR	338	.	10835868	0.338	0.994	1116	97350	10787843	10792905	10878827	10883872	19158405	10650000	10900000	1116	3097	5045	85922	spaced
SUPER_W	12063067	12191720	IR	336	.	12127168	0.336	0.992	1303	130051	12063067	12069413	12185389	12191720	19158405	11950000	12200000	1303	2956	6331	115976	wide
SUPER_W	1636383	1746476	IR	336	.	1691619	0.336	0.515	67	110097	1636383	1639297	1743562	1746481	19158405	1500000	1750000	758	3190	2914	104265	wide
SUPER_W	6429763	6494935	IR	335	.	6462083	0.335	0.990	2100	65204	6429763	6441592	6483106	6494989	19158405	6250000	6500000	0	3539	11829	41514	spaced
SUPER_W	8424390	8533326	IR	335	.	8479215	0.335	0.989	930	108908	8424390	8429706	8528033	8533326	19158405	8400000	8650000	0	1314	5293	98327	spaced
SUPER_W	15015012	15180365	IR	334	.	15097706	0.334	0.992	1024	166452	15015012	15019702	15175702	15180365	19158405	14950000	15200000	1024	2461	4663	156000	wide
SUPER_W	13109647	13196657	IR	334	.	13152651	0.334	0.832	760	86980	13109647	13115731	13190588	13196657	19158405	12950000	13200000	0	3385	6069	74857	spaced
SUPER_W	983413	1040365	IR	334	.	1011789	0.334	0.977	459	57661	983413	986145	1037661	1040365	19158405	800000	1050000	459	3531	2704	51516	spaced
SUPER_W	1225090	1282042	IR	334	.	1253466	0.334	0.977	459	57661	1225090	1227822	1279338	1282042	19158405	1200000	1450000	459	892	2704	51516	spaced
SUPER_W	512463	539148	IR	334	.	525947	0.334	0.967	166	26847	512463	513309	538306	539148	19158405	300000	550000	166	3763	842	24997	spaced
