#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	87410779	87412753	IR	981	.	87411766	0.981	0.996	161	150108	87410779	87411589	87411943	87412753	162890295	87300000	87550000	161	1862	810	354	immediate
SUPER_1	153272286	153274236	IR	979	.	153273261	0.979	0.993	164	2049	153272286	153273128	153273394	153274236	162890295	153050000	153300000	164	3720	842	266	immediate
SUPER_1	70945619	70947511	IR	979	.	70946565	0.979	0.991	155	2068	70945619	70946436	70946694	70947511	162890295	70700000	70950000	155	4109	817	258	immediate
SUPER_1	142523111	142525005	IR	975	.	142524058	0.975	0.996	148	2091	142523111	142523810	142524306	142525005	162890295	142300000	142550000	148	3734	699	496	immediate
SUPER_1	52610803	52612687	IR	969	.	52611745	0.969	0.994	175	2107	52610803	52611617	52611873	52612687	162890295	52400000	52650000	177	3528	814	256	immediate
SUPER_1	79408304	79411586	IR	967	.	79409945	0.967	0.993	281	3580	79408304	79409711	79410179	79411586	162890295	79200000	79450000	281	3498	1407	468	immediate
SUPER_1	42313493	42327861	IR	961	.	42320677	0.961	0.469	162	15240	42313493	42320543	42320811	42327861	162890295	42100000	42350000	162	3677	7050	268	immediate
SUPER_1	147918363	147920245	IR	955	.	147919304	0.955	0.984	128	2013	147918363	147919115	147919493	147920245	162890295	147700000	147950000	128	3654	752	378	immediate
SUPER_1	45597148	45599058	IR	954	.	45598103	0.954	0.986	129	2025	45597148	45597870	45598336	45599058	162890295	45350000	45600000	129	4134	722	466	immediate
SUPER_1	55398830	55400950	IR	947	.	55399890	0.947	0.990	148	2390	55398830	55399645	55400135	55400950	162890295	55200000	55450000	148	3331	815	490	immediate
SUPER_1	82761398	82763206	IR	932	.	82762302	0.932	0.989	131	2052	82761398	82762100	82762504	82763206	162890295	82550000	82800000	131	3538	702	404	immediate
SUPER_1	61533844	61535711	IR	925	.	61534777	0.925	0.976	136	2088	61533844	61534538	61535017	61535719	162890295	61300000	61550000	136	3912	694	479	immediate
SUPER_1	162582863	162584789	IR	916	.	162583826	0.916	0.977	100	2090	162582863	162583565	162584087	162584789	162890295	162350000	162600000	100	3896	702	522	immediate
SUPER_1	90100208	90102214	IR	912	.	90101211	0.912	0.979	123	2092	90100208	90100971	90101451	90102214	162890295	89900000	90150000	123	3353	763	480	immediate
SUPER_1	101721256	101723146	IR	907	.	101722201	0.907	0.998	120	2025	101721256	101721833	101722569	101723146	162890295	101500000	101750000	120	3703	577	736	immediate
