#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	30470438	30474390	IR	836	.	30472414	0.836	0.999	338	4291	30470438	30472016	30472812	30474390	48409077	30250000	30500000	338	3706	1578	796	immediate
SUPER_1	49172	153818	IR	753	.	101496	0.753	0.599	43	104678	49172	97474	105516	153826	48409077	0	250000	43	1691	48302	8042	spaced
SUPER_1	29286730	29312067	IR	729	.	29299585	0.729	0.428	41	25677	29286730	29290822	29307975	29312070	48409077	29200000	29450000	41	1656	4092	17153	spaced
SUPER_1	24080131	24081953	IR	704	.	24081042	0.704	0.989	93	2190	24080131	24080672	24081412	24081953	48409077	23850000	24100000	93	3850	541	740	immediate
SUPER_1	22616622	22618616	IR	701	.	22617619	0.701	0.998	113	2073	22616622	22617153	22618085	22618616	48409077	22450000	22700000	113	2793	531	932	immediate
SUPER_1	19707432	19709684	IR	582	.	19708558	0.582	0.961	64	2443	19707432	19708064	19709052	19709684	48409077	19700000	19950000	64	142	632	988	immediate
SUPER_1	22425297	22431856	IR	529	.	22428505	0.529	0.894	175	7296	22425297	22427985	22429168	22431897	48409077	22300000	22550000	176	2142	2688	1183	immediate
SUPER_1	30028134	30030517	IR	501	.	30029326	0.501	0.917	30	2482	30028134	30028653	30029999	30030517	48409077	29850000	30100000	30	2988	518	1346	immediate
SUPER_1	16116617	16201020	IR	493	.	16158313	0.493	0.978	47	84377	16116617	16116982	16200659	16201020	48409077	16000000	16250000	0	2646	361	83677	spaced
SUPER_1	18578311	18773120	IR	492	.	18675590	0.492	0.979	193	194934	18578311	18579610	18771821	18773126	48409077	18550000	18800000	193	2095	1299	192211	wide
SUPER_1	21519851	21598684	IR	488	.	21559496	0.488	0.961	55	78864	21519851	21520262	21598284	21598684	48409077	21350000	21600000	55	3487	400	78022	spaced
SUPER_1	24878841	24879623	IR	455	.	24879232	0.455	0.972	43	213026	24878841	24879086	24879378	24879623	48409077	24750000	25000000	43	2153	245	292	immediate
SUPER_1	24938236	24940864	IR	445	.	24939550	0.445	0.927	39	2687	24938236	24938756	24940344	24940865	48409077	24700000	24950000	39	3992	520	1588	immediate
SUPER_1	22222060	22223981	IR	442	.	22223021	0.442	0.973	55	2029	22222060	22222434	22223607	22223982	48409077	22000000	22250000	55	3716	374	1173	immediate
SUPER_1	21990883	21995387	IR	435	.	21992639	0.435	0.950	110	4481	21990883	21991925	21994367	21995387	48409077	21750000	22000000	0	4052	1020	2442	spaced
SUPER_1	16414587	16641551	IR	430	.	16527636	0.430	0.402	83	226947	16414587	16441059	16615079	16641554	48409077	16400000	16650000	0	2134	26472	174020	wide
SUPER_1	20062798	20110552	IR	421	.	20086591	0.421	0.969	172	48002	20062798	20063915	20109436	20110552	48409077	19950000	20200000	172	2277	1116	45521	spaced
SUPER_1	31071670	31294431	IR	419	.	31183376	0.419	0.837	64	222666	31071670	31073520	31292581	31294440	48409077	31050000	31300000	0	2217	1850	219061	wide
SUPER_1	20859704	21082264	IR	414	.	20971453	0.414	0.390	86	222521	20859704	20945797	20996204	21082264	48409077	20850000	21100000	0	2016	86060	50407	spaced
SUPER_1	2341901	2365510	IR	412	.	2353730	0.412	0.397	54	23731	2341901	2353541	2353917	2365510	48409077	2250000	2500000	54	1728	11593	376	immediate
SUPER_1	24136461	24159516	IR	402	.	24148229	0.402	0.981	85	23035	24136461	24137145	24158833	24159516	48409077	24000000	24250000	0	2466	683	21688	spaced
SUPER_1	24393906	24445363	IR	400	.	24419957	0.400	0.969	62	51434	24393906	24394546	24444723	24445365	48409077	24250000	24500000	0	2827	640	50177	spaced
SUPER_1	4914040	4916374	IR	400	.	4915205	0.400	0.938	36	2350	4914040	4914324	4916090	4916375	48409077	4700000	4950000	36	3586	284	1766	immediate
SUPER_1	12721039	12723628	IR	399	.	12722331	0.399	0.888	80	2804	12721039	12722050	12722617	12723661	48409077	12500000	12750000	80	3705	1011	567	immediate
SUPER_1	28871919	28991571	IR	398	.	28931844	0.398	0.965	96	119713	28871919	28872454	28991037	28991571	48409077	28750000	29000000	96	3028	534	118583	wide
SUPER_1	31364983	31401395	IR	398	.	31383582	0.398	0.925	81	36415	31364983	31366224	31400154	31401418	48409077	31200000	31450000	0	3053	1241	33930	spaced
SUPER_1	22840986	22843345	IR	394	.	22842166	0.394	0.983	84	2410	22840986	22841502	22842830	22843345	48409077	22600000	22850000	84	4035	515	1328	immediate
SUPER_1	8936884	9021771	IR	394	.	8979623	0.394	0.951	21	84864	8936884	8937230	9021428	9021771	48409077	8800000	9050000	0	2988	343	84198	spaced
SUPER_1	13108252	13112011	IR	382	.	13109953	0.382	0.956	20	3761	13108252	13108478	13111785	13112011	48409077	12900000	13150000	20	3502	226	3307	spaced
SUPER_1	36530918	36533878	IR	381	.	36532400	0.381	0.958	54	18025	36530918	36531544	36533256	36533878	48409077	36350000	36600000	54	3039	622	1712	immediate
SUPER_1	24884928	24888410	IR	379	.	24886671	0.379	0.929	44	3545	24884928	24885750	24887588	24888410	48409077	24650000	24900000	44	3944	822	1838	immediate
SUPER_1	21099902	21189570	IR	378	.	21144959	0.378	0.988	67	89659	21099902	21100143	21189329	21189571	48409077	21050000	21300000	34	1578	241	89186	spaced
SUPER_1	7484510	7488738	IR	373	.	7486624	0.373	0.683	114	4334	7484510	7485743	7487584	7488738	48409077	7300000	7550000	114	3110	1154	1841	immediate
SUPER_1	20778560	20792766	IR	373	.	20786071	0.373	0.956	51	14188	20778560	20779015	20792320	20792766	48409077	20550000	20800000	0	3927	446	13305	spaced
SUPER_1	33251036	33390152	IR	371	.	33320598	0.371	0.390	92	139568	33251036	33319654	33321534	33390164	48409077	33150000	33400000	92	2843	68618	1880	immediate
SUPER_1	13315687	13317779	IR	370	.	13316765	0.370	0.792	28	2135	13315687	13316155	13317375	13317779	48409077	13100000	13350000	28	3612	404	1220	immediate
SUPER_1	11916632	11919569	IR	369	.	11917705	0.369	0.894	23	2922	11916632	11917072	11919129	11919574	48409077	11700000	11950000	0	3634	440	2057	spaced
SUPER_1	26796446	26931875	IR	368	.	26863787	0.368	1.000	40	135406	26796446	26796670	26931651	26931875	48409077	26700000	26950000	0	2735	224	134981	wide
SUPER_1	35943576	35961980	IR	368	.	35952660	0.368	0.834	23	18454	35943576	35943988	35961568	35962026	48409077	35750000	36000000	23	3379	412	17580	spaced
SUPER_1	9605898	9608066	IR	367	.	9606982	0.367	0.969	21	2167	9605898	9606092	9607872	9608066	48409077	9500000	9750000	21	1782	194	1780	immediate
SUPER_1	11786581	11885877	IR	364	.	11836305	0.364	0.988	29	99314	11786581	11786752	11885706	11885877	48409077	11650000	11900000	29	3103	171	98954	spaced
SUPER_1	20356676	20373906	IR	361	.	20365512	0.361	0.986	84	17340	20356676	20357194	20373388	20373906	48409077	20200000	20450000	84	2754	518	16194	spaced
SUPER_1	46824660	46985772	IR	361	.	46905071	0.361	0.948	24	161169	46824660	46824982	46985451	46985772	48409077	46750000	47000000	24	2586	321	160469	wide
SUPER_1	12755806	12802780	IR	361	.	12779643	0.361	0.930	21	46957	12755806	12756020	12802566	12802780	48409077	12600000	12850000	0	2988	214	46546	spaced
SUPER_1	1583521	1588388	IR	358	.	1585475	0.358	0.902	149	4909	1583521	1585045	1586864	1588483	48409077	1400000	1650000	0	3099	1524	1819	immediate
SUPER_1	32571525	32683923	IR	358	.	32627807	0.358	0.950	54	112454	32571525	32571906	32683542	32683939	48409077	32500000	32750000	54	2128	381	111636	wide
SUPER_1	25572108	25653191	IR	357	.	25612254	0.357	0.419	80	81068	25572108	25611021	25614278	25653202	48409077	25450000	25700000	0	2710	38913	3257	spaced
SUPER_1	32300833	32479706	IR	357	.	32390331	0.357	0.919	46	178881	32300833	32301229	32479310	32479709	48409077	32250000	32500000	46	2337	396	178081	wide
SUPER_1	31834845	31850022	IR	357	.	31842714	0.357	0.915	20	15148	31834845	31835193	31849674	31850037	48409077	31750000	32000000	0	1540	348	14481	spaced
SUPER_1	1794924	1797344	IR	356	.	1796134	0.356	1.000	60	2461	1794924	1795186	1797082	1797344	48409077	1550000	1800000	60	4102	262	1896	immediate
SUPER_1	14771292	14788032	IR	355	.	14779592	0.355	0.927	36	188539	14771292	14771519	14787805	14788034	48409077	14650000	14900000	36	2160	227	16286	spaced
