#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	1779673	1801400	IR	320	.	1790727	0.320	0.632	28	21689	1779673	1779735	1801362	1801400	2517799	1600000	1850000	245	3175	38	21627	spaced
SUPER_1	947606	1033024	IR	318	.	990165	0.318	0.281	31	85377	947606	947638	1032992	1033066	2517799	850000	1100000	281	2338	32	85354	spaced
SUPER_1	105744	266023	IR	315	.	186301	0.315	0.903	28	160223	105744	105800	265967	266029	2517799	50000	300000	0	2264	56	160167	wide
SUPER_1	787872	891252	IR	310	.	839982	0.310	0.553	24	103342	787872	787910	891214	891282	2517799	650000	900000	0	3159	38	103304	wide
SUPER_1	1632444	1779747	IR	303	.	1705589	0.303	0.604	55	147256	1632444	1632578	1779670	1779747	2517799	1600000	1850000	0	1768	77	147092	wide
SUPER_1	2308704	2384686	IR	303	.	2347129	0.303	0.121	20	75964	2308704	2308791	2384653	2384686	2517799	2150000	2400000	0	3278	33	75862	spaced
SUPER_1	2123934	2211592	IR	302	.	2167424	0.302	0.000	32	87635	2123934	2124041	2211569	2211592	2517799	2100000	2350000	0	1129	23	87528	spaced
SUPER_1	679699	707932	IR	302	.	693324	0.302	0.679	22	28195	679699	679737	707894	707950	2517799	550000	800000	0	2396	38	28157	spaced
SUPER_1	2081390	2123951	IR	300	.	2102346	0.300	0.000	32	42544	2081390	2081407	2123934	2124041	2517799	2000000	2250000	0	1711	17	42527	spaced
SUPER_1	891214	917163	IR	299	.	903879	0.299	1.000	34	25926	891214	891282	917095	917163	2517799	700000	950000	0	3403	68	25813	spaced
SUPER_1	396921	566941	IR	299	.	482236	0.299	0.746	20	169976	396921	396980	566897	566941	2517799	350000	600000	0	2198	44	169917	wide
SUPER_1	1069285	1178929	IR	299	.	1124513	0.299	0.000	20	109624	1069285	1069305	1178909	1178980	2517799	1000000	1250000	0	2068	20	109604	wide
SUPER_1	1628489	1632509	IR	296	.	1630902	0.296	0.423	40	3964	1628489	1628554	1632444	1632578	2517799	1450000	1700000	0	3008	65	3890	spaced
SUPER_1	707897	787907	IR	296	.	748102	0.296	0.700	22	79978	707897	707947	787872	787907	2517799	550000	800000	168	3298	35	79925	spaced
SUPER_1	1178912	1305556	IR	294	.	1242404	0.294	0.310	24	126618	1178912	1178977	1305527	1305556	2517799	1100000	1350000	190	2370	29	126550	wide
SUPER_1	1867381	1977566	IR	294	.	1922241	0.294	0.569	23	110165	1867381	1867410	1977537	1977587	2517799	1800000	2050000	104	2041	29	110127	wide
SUPER_1	1305527	1342345	IR	293	.	1323889	0.293	0.414	22	36786	1305527	1305556	1342316	1342375	2517799	1100000	1350000	180	3732	29	36760	spaced
SUPER_2	1800929	1810027	IR	319	.	1805854	0.319	0.366	25	9057	1800929	1801018	1809986	1810027	2379199	1600000	1850000	0	3424	41	8968	spaced
SUPER_2	1074973	1231242	IR	317	.	1152754	0.317	0.365	20	78276	1074973	1152992	1153223	1231283	2379199	1000000	1250000	0	2551	78019	231	immediate
SUPER_2	734447	739277	IR	312	.	736527	0.312	0.998	76	4811	734447	734881	738843	739278	2379199	700000	950000	0	614	434	3962	spaced
SUPER_2	2214530	2327948	IR	308	.	2271211	0.308	0.343	28	113368	2214530	2214565	2327913	2327990	2379199	2150000	2379199	149	2020	35	113348	wide
SUPER_2	1029197	1048393	IR	303	.	1038712	0.303	1.000	22	19234	1029197	1029313	1048277	1048393	2379199	800000	1050000	22	3979	116	18964	spaced
SUPER_2	1409618	1643773	IR	302	.	1526250	0.302	0.476	27	234114	1409618	1409659	1643732	1643812	2379199	1400000	1650000	0	2111	41	234073	wide
SUPER_2	815496	978406	IR	299	.	896480	0.299	0.803	22	162905	815496	815545	978357	978418	2379199	750000	1000000	0	2449	49	162812	wide
SUPER_2	1306661	1349405	IR	296	.	1327666	0.296	0.791	36	42679	1306661	1306747	1349337	1349405	2379199	1100000	1350000	0	3800	68	42590	spaced
