#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	64279709	64285155	IR	983	.	64282432	0.983	1.000	539	130888	64279709	64282084	64282780	64285155	77441082	64100000	64350000	539	3040	2375	696	immediate
SUPER_1	46258887	46263693	IR	943	.	46261290	0.943	1.000	468	5307	46258887	46260949	46261631	46263693	77441082	46050000	46300000	468	3521	2062	682	immediate
SUPER_1	74007335	74016145	IR	820	.	74011740	0.820	0.999	814	9701	74007335	74011054	74012426	74016145	77441082	73800000	74050000	814	3528	3719	1372	immediate
SUPER_1	60039928	60041200	IR	738	.	60040564	0.738	1.000	115	53251	60039928	60040456	60040672	60041200	77441082	59900000	60150000	115	2342	528	216	immediate
SUPER_1	32944721	32947435	IR	706	.	32946078	0.706	0.998	178	2997	32944721	32945570	32946586	32947435	77441082	32700000	32950000	178	4101	849	1016	immediate
SUPER_1	39458317	39460718	IR	635	.	39459526	0.635	0.860	48	2442	39458317	39459324	39459728	39460718	77441082	39300000	39550000	48	2658	990	404	immediate
SUPER_1	71099206	71107414	IR	634	.	71103310	0.634	1.000	728	9006	71099206	71102403	71104217	71107414	77441082	70900000	71150000	728	3388	3197	1814	immediate
SUPER_1	253793	256505	IR	631	.	255149	0.631	1.000	155	2859	253793	254557	255741	256505	77441082	50000	300000	155	3419	764	1184	immediate
SUPER_1	40563611	40567895	IR	587	.	40565753	0.587	1.000	319	186237	40563611	40565035	40566471	40567895	77441082	40450000	40700000	320	1929	1424	1436	immediate
SUPER_1	35454490	35456450	IR	570	.	35455470	0.570	0.997	73	2124	35454490	35454857	35456083	35456450	77441082	35250000	35500000	73	3424	367	1226	immediate
SUPER_1	71312263	71315091	IR	558	.	71313677	0.558	0.997	150	2963	71312263	71312977	71314377	71315091	77441082	71100000	71350000	150	3561	714	1400	immediate
SUPER_1	32962555	32971069	IR	556	.	32966812	0.556	0.942	497	40819	32962555	32966201	32967423	32971100	77441082	32750000	33000000	537	3613	3646	1222	immediate
SUPER_1	32934452	32936848	IR	554	.	32935850	0.554	0.834	47	2424	32934452	32934852	32936448	32936848	77441082	32700000	32950000	70	3927	400	1596	immediate
SUPER_1	58086461	58089545	IR	552	.	58088003	0.552	1.000	172	3248	58086461	58087271	58088735	58089545	77441082	57850000	58100000	172	3966	810	1464	immediate
SUPER_1	10404997	10407363	IR	548	.	10406180	0.548	0.998	101	2485	10404997	10405447	10406913	10407363	77441082	10200000	10450000	101	3436	450	1466	immediate
SUPER_1	24871931	24874281	IR	545	.	24873106	0.545	1.000	108	2416	24871931	24872413	24873799	24874281	77441082	24650000	24900000	108	3718	482	1386	immediate
SUPER_1	32020840	32022686	IR	521	.	32021763	0.521	0.893	38	2033	32020840	32021354	32022172	32022692	77441082	31850000	32100000	38	2862	514	818	immediate
SUPER_1	28865055	28867353	IR	488	.	28866204	0.488	0.909	37	2368	28865055	28865878	28866530	28867355	77441082	28650000	28900000	37	3603	823	652	immediate
SUPER_1	35380066	35382540	IR	478	.	35381129	0.478	0.935	39	2609	35380066	35380484	35382122	35382540	77441082	35150000	35400000	39	3854	418	1638	immediate
SUPER_1	39972199	39980653	IR	462	.	39976426	0.462	1.000	685	9172	39972199	39975284	39977568	39980653	77441082	39750000	40000000	685	3773	3085	2284	spaced
SUPER_1	9020807	9201929	IR	453	.	9111082	0.453	0.970	155	181103	9020807	9022046	9200690	9201929	77441082	9000000	9250000	0	1855	1239	178644	wide
SUPER_1	50148828	50327772	IR	429	.	50237913	0.429	0.886	21	178887	50148828	50149396	50327212	50327772	77441082	50100000	50350000	0	2304	560	177816	wide
SUPER_1	63457687	63496545	IR	428	.	63476630	0.428	0.998	947	38836	63457687	63463095	63491137	63496551	77441082	63250000	63500000	0	3785	5408	28042	spaced
