#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	11519753	11530647	IR	999	.	11525200	0.999	0.999	1075	11909	11519753	11524652	11525748	11530647	23219268	11359246	11609246	1075	2765	4899	1096	immediate
SUPER_1	9527150	9532078	IR	722	.	9529616	0.722	0.982	323	5493	9527150	9528998	9530234	9532078	23219268	9316177	9566177	323	3557	1844	1236	immediate
SUPER_1	10963417	10965602	IR	681	.	10964508	0.681	0.901	56	2347	10963417	10964014	10965005	10965627	23219268	10716177	10966177	56	4138	597	991	immediate
SUPER_1	10910889	10916878	IR	669	.	10913415	0.669	0.976	190	5858	10910889	10912089	10915692	10916878	23219268	10766177	11016177	0	2461	1186	3603	spaced
SUPER_1	9133456	9135623	IR	652	.	9134540	0.652	0.936	41	2315	9133456	9134021	9135059	9135623	23219268	8966177	9216177	41	2805	564	1038	immediate
SUPER_1	7820459	7932451	IR	616	.	7876654	0.616	0.927	173	112722	7820459	7822975	7929957	7932451	23219268	7816177	8066177	173	1004	2494	106982	wide
SUPER_1	10172787	10200388	IR	592	.	10186353	0.592	0.974	71	27965	10172787	10173330	10199845	10200388	23219268	10116177	10366177	71	1173	543	26515	spaced
SUPER_1	8011796	8014288	IR	582	.	8013042	0.582	0.902	82	2619	8011796	8012378	8013706	8014340	23219268	7766177	8016177	92	4114	582	1328	immediate
SUPER_1	9596956	9599398	IR	549	.	9598177	0.549	0.958	72	2531	9596956	9597620	9598734	9599401	23219268	9366177	9616177	72	3866	664	1114	immediate
SUPER_1	8963517	8965815	IR	525	.	8964665	0.525	0.958	89	2435	8963517	8964285	8965047	8965815	23219268	8716177	8966177	89	4141	768	762	immediate
SUPER_1	9188743	9277453	IR	509	.	9232690	0.509	0.388	31	57603	9188743	9233103	9233093	9277463	23219268	9166177	9416177	0	1115	44360	-10	overlap
SUPER_1	9561929	9569790	IR	483	.	9565490	0.483	0.978	77	7841	9561929	9562482	9569237	9569790	23219268	9366177	9616177	0	3327	553	6755	spaced
SUPER_1	22084689	22087178	IR	483	.	22085934	0.483	0.974	74	2520	22084689	22085271	22086598	22087178	23219268	21848341	22098341	74	3959	580	1327	immediate
SUPER_1	4549651	4552707	IR	433	.	4551179	0.433	0.987	90	3239	4549651	4550263	4552095	4552707	23219268	4350000	4600000	90	3352	612	1832	immediate
SUPER_1	1838190	1841956	IR	377	.	1839914	0.377	0.846	29	35463	1838190	1838670	1841476	1841968	23219268	1700000	1950000	29	2334	480	2806	spaced
SUPER_1	19851185	19863168	IR	372	.	19857250	0.372	0.946	27	11933	19851185	19851241	19863115	19863168	23219268	19828037	20078037	382	485	53	11874	spaced
SUPER_1	8591664	8593962	IR	370	.	8592813	0.370	0.924	60	2359	8591664	8592369	8593257	8593974	23219268	8366177	8616177	60	3777	705	888	immediate
SUPER_1	18936252	19035242	IR	367	.	18985413	0.367	0.396	21	98944	18936252	18983299	18988225	19035242	23219268	18828037	19078037	0	2628	47017	4926	spaced
SUPER_1	20302979	20357967	IR	367	.	20330515	0.367	0.917	20	54946	20302979	20303027	20357923	20357967	23219268	20128037	20378037	196	3373	44	54896	spaced
SUPER_1	19248252	19422620	IR	358	.	19335125	0.358	0.387	20	174320	19248252	19283205	19387747	19422620	23219268	19178037	19428037	0	2623	34873	104542	wide
SUPER_1	3756524	3873045	IR	352	.	3814313	0.352	0.793	20	116475	3756524	3756582	3872999	3873045	23219268	3650000	3900000	0	2746	46	116417	wide
SUPER_1	3992945	4096714	IR	349	.	4045271	0.349	0.920	20	103723	3992945	3992995	4096668	4096714	23219268	3900000	4150000	0	2413	46	103673	wide
SUPER_1	14069633	14221729	IR	347	.	14145634	0.347	1.000	25	152048	14069633	14069679	14221683	14221729	23219268	14009246	14259246	241	2273	46	152004	wide
