#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	42576867	42580452	IR	1000	.	42578662	1.000	0.994	363	3960	42576867	42578459	42578865	42580452	52849942	42348354	42598354	365	3838	1587	406	immediate
SUPER_1	18657730	18660704	IR	1000	.	18659220	1.000	0.996	303	3272	18657730	18659066	18659374	18660704	52849942	18453040	18703040	303	3436	1330	308	immediate
SUPER_1	42518985	42527085	IR	999	.	42523033	0.999	0.989	795	64582	42518985	42522600	42523470	42527119	52849942	42348354	42598354	796	2911	3615	870	immediate
SUPER_1	48633486	48638674	IR	997	.	48636080	0.997	0.999	490	232280	48633486	48635723	48636437	48638674	52849942	48510759	48760759	492	2088	2237	714	immediate
SUPER_1	50664650	50672382	IR	994	.	50668516	0.994	0.974	654	27759	50664650	50668246	50668786	50672412	52849942	50460759	50710759	677	3462	3596	540	immediate
SUPER_1	16519650	16521614	IR	994	.	16520632	0.994	1.000	193	2162	16519650	16520497	16520767	16521614	52849942	16303040	16553040	193	3626	847	270	immediate
SUPER_1	5270002	5272092	IR	994	.	5271047	0.994	0.998	189	2308	5270002	5270904	5271190	5272092	52849942	5100000	5350000	189	2850	902	286	immediate
SUPER_1	3042139	3046507	IR	993	.	3044357	0.993	0.963	393	80015	3042139	3044198	3044516	3046507	52849942	2900000	3150000	421	2405	1991	318	immediate
SUPER_1	32095633	32102793	IR	992	.	32099210	0.992	0.992	724	7929	32095633	32098879	32099556	32102793	52849942	31948354	32198354	726	2514	3237	677	immediate
SUPER_1	39002951	39006189	IR	992	.	39004570	0.992	1.000	303	63718	39002951	39004376	39004764	39006189	52849942	38798354	39048354	303	3436	1425	388	immediate
SUPER_1	3262720	3275688	IR	990	.	3269204	0.990	1.000	1295	18857	3262720	3268483	3269925	3275688	52849942	3050000	3300000	1295	3653	5763	1442	immediate
SUPER_1	32495294	32497732	IR	985	.	32496513	0.985	0.996	231	48527	32495294	32496355	32496671	32497734	52849942	32298354	32548354	231	3302	1061	316	immediate
SUPER_1	3155971	3168295	IR	982	.	3162133	0.982	1.000	1246	110714	3155971	3161423	3162843	3168295	52849942	3000000	3250000	1259	2702	5452	1420	immediate
