#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	4806806	4821710	IR	910	.	4814258	0.910	1.000	1483	16516	4806806	4813309	4815207	4821710	20944988	4600000	4850000	1483	3570	6503	1898	immediate
SUPER_1	14903614	14913634	IR	679	.	14908624	0.679	1.000	932	11010	14903614	14907713	14909535	14913634	20944988	14700000	14950000	932	3476	4099	1822	immediate
SUPER_1	20144036	20155776	IR	667	.	20149906	0.667	1.000	1101	12967	20144036	20148824	20150988	20155776	20944988	19950000	20200000	1101	3331	4788	2164	spaced
SUPER_1	20654094	20661448	IR	585	.	20657770	0.585	0.971	436	8066	20654094	20656918	20658624	20661454	20944988	20450000	20700000	436	3462	2824	1706	immediate
SUPER_1	11876631	11887051	IR	521	.	11882124	0.521	0.949	264	10391	11876631	11879999	11883683	11887052	20944988	11650000	11900000	0	3863	3368	3684	spaced
SUPER_1	15343461	15350489	IR	498	.	15346975	0.498	0.931	308	7694	15343461	15346621	15347329	15350531	20944988	15200000	15450000	308	2449	3160	708	immediate
SUPER_1	16078221	16083520	IR	453	.	16080774	0.453	0.950	69	6179	16078221	16078960	16082781	16083520	20944988	16000000	16250000	69	1347	739	3821	spaced
SUPER_1	7857586	7868039	IR	434	.	7862813	0.434	1.000	923	11398	7857586	7861566	7864059	7868039	20944988	7650000	7900000	923	3546	3980	2493	spaced
SUPER_1	19590105	19596266	IR	432	.	19593160	0.432	0.733	36	6650	19590105	19592385	19594207	19596266	20944988	19500000	19750000	36	1552	2059	1822	immediate
SUPER_1	7134214	7144003	IR	427	.	7139196	0.427	0.926	220	10665	7134214	7137687	7140530	7144003	20944988	6950000	7200000	220	3151	3473	2843	spaced
SUPER_1	5796567	5972089	IR	426	.	5883857	0.426	0.961	440	175508	5796567	5801221	5967435	5972093	20944988	5750000	6000000	0	2238	4654	166214	wide
SUPER_1	6560407	6721770	IR	417	.	6641539	0.417	0.492	147	161435	6560407	6583217	6698960	6721865	20944988	6550000	6800000	0	1518	22810	115743	wide
SUPER_1	8318043	8333247	IR	415	.	8325645	0.415	1.000	1388	16782	8318043	8324142	8327148	8333247	20944988	8100000	8350000	1388	3760	6099	3006	spaced
SUPER_1	11375253	11457840	IR	402	.	11416765	0.402	0.969	704	83900	11375253	11380299	11452794	11457841	20944988	11250000	11500000	704	2775	5046	72495	spaced
