#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	53261975	53267627	IR	999	.	53264801	0.999	1.000	588	6286	53261975	53264518	53265084	53267627	89420107	53050000	53300000	588	3579	2543	566	immediate
SUPER_1	15716273	15718729	IR	994	.	15717501	0.994	0.998	243	2658	15716273	15717305	15717697	15718731	89420107	15500000	15750000	243	3624	1032	392	immediate
SUPER_1	62656928	62663912	IR	993	.	62660420	0.993	1.000	734	7768	62656928	62660030	62660810	62663912	89420107	62500000	62750000	734	2673	3102	780	immediate
SUPER_1	57394624	57399940	IR	992	.	57397285	0.992	0.990	475	68011	57394624	57397006	57397564	57399940	89420107	57300000	57550000	475	1621	2376	558	immediate
SUPER_1	65347695	65355951	IR	986	.	65351717	0.986	0.997	432	8781	65347695	65349778	65353870	65355951	89420107	65150000	65400000	435	3363	2081	4092	spaced
SUPER_1	40834872	40840078	IR	985	.	40837475	0.985	0.998	500	5796	40834872	40837202	40837748	40840078	89420107	40600000	40850000	500	3957	2330	546	immediate
SUPER_1	49598583	49601082	IR	979	.	49599829	0.979	0.954	226	2962	49598583	49599671	49599994	49601114	89420107	49400000	49650000	226	3330	1088	323	immediate
SUPER_1	28359211	28361521	IR	965	.	28360366	0.965	0.994	215	2575	28359211	28360246	28360486	28361521	89420107	28150000	28400000	215	3505	1035	240	immediate
SUPER_1	60669069	60672647	IR	931	.	60670858	0.931	0.994	313	3917	60669069	60670553	60671163	60672647	89420107	60500000	60750000	313	2847	1484	610	immediate
SUPER_1	51339512	51341537	IR	931	.	51340524	0.931	0.976	166	2206	51339512	51340286	51340763	51341553	89420107	51100000	51350000	166	4008	774	477	immediate
SUPER_1	39274447	39276440	IR	930	.	39275443	0.930	0.985	156	2154	39274447	39275282	39275605	39276447	89420107	39250000	39500000	156	423	835	323	immediate
SUPER_1	31060929	31074581	IR	890	.	31067755	0.890	0.996	1225	13645	31060929	31066600	31068910	31074599	89420107	31000000	31250000	1778	1129	5671	2310	spaced
SUPER_1	66596517	66607951	IR	869	.	66602234	0.869	1.000	1119	12621	66596517	66601448	66603020	66607951	89420107	66400000	66650000	1121	3370	4931	1572	immediate
SUPER_1	46546289	46550015	IR	869	.	46548153	0.869	0.989	264	4233	46546289	46547802	46548504	46550015	89420107	46350000	46600000	264	3302	1511	702	immediate
