#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	29742193	29752025	IR	996	.	29747109	0.996	1.000	975	10859	29742193	29746533	29747685	29752027	103331290	29526343	29776343	981	3679	4340	1152	immediate
SUPER_1	20743892	20746090	IR	996	.	20744991	0.996	0.999	218	167315	20743892	20744842	20745140	20746090	103331290	20639992	20889992	218	1749	950	298	immediate
SUPER_1	78022002	78035482	IR	990	.	78028742	0.990	0.998	1385	15119	78022002	78027889	78029595	78035494	103331290	77855984	78105984	1440	2879	5887	1706	immediate
SUPER_1	45485712	45673236	IR	971	.	45579474	0.971	0.410	254	208265	45485712	45579284	45579664	45673245	103331290	45460314	45710314	255	1985	93572	380	immediate
SUPER_1	82033136	82038115	IR	970	.	82035419	0.970	0.988	208	5204	82033136	82034165	82037086	82038119	103331290	81805984	82055984	208	3827	1029	2921	spaced
SUPER_1	82746860	82759990	IR	934	.	82753425	0.934	0.997	1315	66234	82746860	82752665	82754185	82760004	103331290	82605984	82855984	1367	2457	5805	1520	immediate
SUPER_1	95505087	95518180	IR	882	.	95511634	0.882	0.999	1298	14550	95505087	95510822	95512446	95518180	103331290	95487740	95737740	1302	398	5734	1624	immediate
SUPER_1	89792316	89804769	IR	879	.	89798543	0.879	0.999	1223	178904	89792316	89797734	89799352	89804769	103331290	89685410	89935410	1223	1885	5417	1618	immediate
SUPER_1	80232476	80246486	IR	877	.	80239481	0.877	0.997	1348	15523	80232476	80238667	80240295	80246486	103331290	80055984	80305984	1358	3058	6191	1628	immediate
SUPER_1	66333442	66343738	IR	877	.	66338590	0.877	1.000	1054	11513	66333442	66337916	66339264	66343739	103331290	66332817	66582817	1054	96	4474	1348	immediate
SUPER_1	24606543	24619053	IR	868	.	24612799	0.868	0.998	1245	89126	24606543	24612100	24613498	24619053	103331290	24461509	24711509	1251	2521	5555	1398	immediate
SUPER_1	84289163	84291436	IR	863	.	84290293	0.863	0.935	126	165893	84289163	84290177	84290422	84291441	103331290	84155984	84405984	126	2238	1014	245	immediate
SUPER_1	85061446	85072718	IR	855	.	85067082	0.855	0.978	1049	57472	85061446	85066440	85067724	85072818	103331290	84855984	85105984	1075	3518	4994	1284	immediate
SUPER_1	10760825	10890383	IR	823	.	10825619	0.823	0.412	115	129696	10760825	10825490	10825748	10890383	103331290	10695306	10945306	115	2171	64635	258	immediate
SUPER_1	41826752	41829536	IR	817	.	41828158	0.817	0.954	167	81828	41826752	41827771	41828545	41829536	103331290	41691565	41941565	167	2276	991	774	immediate
SUPER_1	24021919	24024383	IR	804	.	24023151	0.804	0.990	215	202951	24021919	24022920	24023388	24024383	103331290	23911509	24161509	215	1860	995	468	immediate
SUPER_1	45739294	45744114	IR	783	.	45741704	0.783	0.992	433	163148	45739294	45741406	45742002	45744121	103331290	45610314	45860314	433	2189	2112	596	immediate
SUPER_1	87945057	87953920	IR	781	.	87949493	0.781	0.992	742	10117	87945057	87948730	87950256	87953920	103331290	87935410	88185410	772	234	3664	1526	immediate
SUPER_1	44690300	44814927	IR	758	.	44752614	0.758	0.399	145	137873	44690300	44752151	44753077	44814927	103331290	44588036	44838036	145	2742	61850	926	immediate
SUPER_1	61452434	61457482	IR	754	.	61454966	0.754	0.791	157	75205	61452434	61454467	61455465	61457482	103331290	61295195	61545195	167	2662	2017	998	immediate
SUPER_1	39832841	39851724	IR	740	.	39842229	0.740	0.981	82	35700	39832841	39833365	39851200	39851724	103331290	39730783	39891465	82	1858	524	17835	spaced
SUPER_1	9145231	9147643	IR	720	.	9146437	0.720	0.964	93	145428	9145231	9145959	9146915	9147647	103331290	9018968	9268968	100	2124	728	956	immediate
SUPER_1	598355	601644	IR	716	.	600424	0.716	0.923	45	3206	598355	599470	600535	601644	103331290	596102	638655	0	64	1109	1065	immediate
SUPER_1	80697385	80703212	IR	689	.	80700322	0.689	0.912	221	195679	80697385	80700198	80700446	80703212	103331290	80555984	80805984	221	2405	2766	248	immediate
SUPER_1	29236883	29356233	IR	684	.	29296330	0.684	0.393	96	119381	29236883	29280004	29313112	29356254	103331290	29176343	29426343	146	2003	43121	33108	spaced
SUPER_1	53455398	53673126	IR	679	.	53564602	0.679	0.387	107	217709	53455398	53564295	53564343	53673126	103331290	53433453	53683453	0	2180	108783	48	immediate
SUPER_1	98495120	98506056	IR	678	.	98500588	0.678	0.969	782	11973	98495120	98499922	98501254	98506078	103331290	98355642	98605642	782	2415	4802	1332	immediate
SUPER_1	27175039	27175951	IR	637	.	27175495	0.637	1.000	84	29687	27175039	27175437	27175553	27175951	103331290	27139176	27389176	84	605	398	116	immediate
SUPER_1	27674601	27675513	IR	637	.	27675057	0.637	1.000	84	29682	27674601	27674999	27675115	27675513	103331290	27463292	27713292	84	3529	398	116	immediate
SUPER_1	32642658	32790382	IR	632	.	32716814	0.632	0.442	250	143738	32642658	32716046	32716994	32790413	103331290	32540459	32790459	0	2934	73388	948	immediate
SUPER_1	29438166	29450958	IR	631	.	29444567	0.631	0.997	1282	218872	29438166	29443798	29445336	29450958	103331290	29326343	29576343	1295	1970	5622	1538	immediate
SUPER_1	47564951	47577179	IR	628	.	47571065	0.628	1.000	1198	31466	47564951	47570307	47571823	47577180	103331290	47538232	47596142	1201	547	5356	1516	immediate
SUPER_1	72056852	72058452	IR	625	.	72057654	0.625	0.992	151	207236	72056852	72057572	72057732	72058456	103331290	71951535	72201535	151	1768	720	160	immediate
SUPER_1	89258674	89260402	IR	618	.	89259538	0.618	0.998	89	110770	89258674	89259098	89259978	89260402	103331290	89185410	89435410	89	1235	424	880	immediate
SUPER_1	18359224	18481442	IR	610	.	18420347	0.610	0.403	101	176064	18359224	18419559	18421135	18481442	103331290	18264584	18514584	101	2595	60307	1576	immediate
SUPER_1	95289792	95358389	IR	606	.	95324087	0.606	0.401	96	68987	95289792	95323818	95324363	95358473	103331290	95185410	95387640	96	2311	34026	545	immediate
SUPER_1	69824412	69827338	IR	603	.	69825875	0.603	1.000	173	44809	69824412	69825234	69826516	69827338	103331290	69651535	69901535	173	2905	822	1282	immediate
SUPER_1	87006665	87008744	IR	603	.	87007702	0.603	0.930	56	2171	87006665	87007164	87008245	87008752	103331290	86814345	87064345	56	3222	499	1081	immediate
SUPER_1	9965325	10072311	IR	597	.	10018818	0.597	0.408	103	107299	9965325	10018111	10019525	10072361	103331290	9918968	10168968	103	1664	52786	1414	immediate
SUPER_1	38487936	38490836	IR	596	.	38489386	0.596	0.944	102	3008	38487936	38488847	38489925	38490847	103331290	38257617	38507617	102	3862	911	1078	immediate
SUPER_1	101772053	101784796	IR	592	.	101778425	0.592	1.000	1262	165808	101772053	101777576	101779274	101784796	103331290	101667333	101917333	1262	1851	5522	1698	immediate
SUPER_1	49768268	49890836	IR	590	.	49829552	0.590	0.399	112	123080	49768268	49829273	49829831	49890864	103331290	49731366	49981366	112	1636	61005	558	immediate
SUPER_1	64245169	64249586	IR	587	.	64247381	0.587	0.914	190	4639	64245169	64247141	64247614	64249586	103331290	64006156	64256156	190	4020	1972	473	immediate
SUPER_1	43156602	43170311	IR	586	.	43163502	0.586	0.995	1182	32971	43156602	43162127	43164791	43170311	103331290	43138036	43388036	1182	423	5520	2664	spaced
SUPER_1	28374703	28535029	IR	570	.	28454870	0.570	0.767	41	198641	28374703	28374763	28534983	28535029	103331290	28314079	28564079	471	2346	46	160220	wide
SUPER_1	49274117	49279895	IR	562	.	49277033	0.562	0.938	334	6234	49274117	49276413	49277653	49279895	103331290	49131366	49381366	334	2427	2242	1240	immediate
SUPER_1	50545461	50548347	IR	562	.	50546904	0.562	0.957	112	3010	50545461	50546445	50547363	50548360	103331290	50331366	50581366	112	3592	984	918	immediate
SUPER_1	1712518	1713264	IR	561	.	1712906	0.561	0.646	83	2990	1712518	1712566	1713216	1713294	103331290	1537134	1761988	452	2929	48	650	immediate
SUPER_1	81531686	81552374	IR	559	.	81541951	0.559	0.986	1308	120593	81531686	81538189	81545874	81552374	103331290	81405984	81655984	1308	2267	6500	7685	spaced
SUPER_1	22266796	22269765	IR	549	.	22268285	0.549	0.960	141	118572	22266796	22267762	22268808	22269765	103331290	22088957	22338957	141	2988	957	1046	immediate
SUPER_1	100388388	100390623	IR	549	.	100389508	0.549	0.989	121	2340	100388388	100388950	100390066	100390623	103331290	100262044	100512044	122	2124	557	1116	immediate
SUPER_1	46188417	46191204	IR	545	.	46189813	0.545	0.955	133	29767	46188417	46189336	46190290	46191204	103331290	45960314	46210314	133	3824	914	954	immediate
SUPER_1	27199660	27200638	IR	543	.	27200150	0.543	0.995	92	85108	27199660	27200090	27200208	27200640	103331290	27039176	27289176	92	2682	430	118	immediate
SUPER_1	6289996	6301077	IR	540	.	6295537	0.540	1.000	1074	12365	6289996	6294857	6296216	6301077	103331290	6109244	6359244	1082	3104	4861	1359	immediate
SUPER_1	95123229	95126110	IR	531	.	95124670	0.531	0.998	261	3151	95123229	95124438	95124901	95126113	103331290	94885410	95135410	261	3987	1209	463	immediate
SUPER_1	61084694	61193218	IR	531	.	61139076	0.531	0.411	109	111650	61084694	61106739	61171262	61193218	103331290	60945195	61195195	123	3229	21956	64523	spaced
SUPER_1	5524688	5526740	IR	525	.	5525712	0.525	0.903	85	2200	5524688	5525373	5526055	5526781	103331290	5509244	5759244	86	274	685	682	immediate
SUPER_1	41405489	41551280	IR	523	.	41478182	0.523	0.405	95	222734	41405489	41478353	41478453	41551280	103331290	41341565	41591565	111	2280	72827	100	immediate
SUPER_1	72227042	72229961	IR	522	.	72228514	0.522	0.920	58	2974	72227042	72227992	72229035	72229961	103331290	72151535	72401535	58	1282	926	1043	immediate
SUPER_1	48965799	48967844	IR	520	.	48966819	0.520	0.947	58	2227	48965799	48966324	48967324	48967844	103331290	48774289	49024289	58	3208	520	1000	immediate
SUPER_1	71221369	71224061	IR	519	.	71222718	0.519	0.935	76	2636	71221369	71221431	71224003	71224061	103331290	71201535	71451535	596	352	58	2572	spaced
SUPER_1	67367439	67599519	IR	517	.	67482995	0.517	0.397	137	232061	67367439	67482574	67484433	67599519	103331290	67357398	67607398	0	2101	115086	1859	immediate
SUPER_1	7071498	7303042	IR	517	.	7186834	0.517	0.397	27	213530	7071498	7089567	7285008	7303042	103331290	7068968	7318968	0	1971	18034	195441	wide
SUPER_1	47585673	47588813	IR	516	.	47587243	0.516	0.951	140	3291	47585673	47586766	47587720	47588831	103331290	47538232	47596142	155	816	1093	954	immediate
SUPER_1	18020204	18022448	IR	516	.	18021326	0.516	0.958	73	119281	18020204	18020768	18021884	18022460	103331290	17931485	18164484	73	1497	564	1116	immediate
SUPER_1	32536212	32603375	IR	509	.	32569373	0.509	0.565	57	60732	32536212	32544057	32595552	32603375	103331290	32390459	32640459	0	2988	7823	51495	spaced
SUPER_1	23722249	23723908	IR	503	.	23723079	0.503	0.997	155	64374	23722249	23722994	23723163	23723909	103331290	23511509	23761509	155	3526	745	169	immediate
SUPER_1	48211416	48252677	IR	503	.	48231971	0.503	0.575	43	144474	48211416	48211486	48252637	48252677	103331290	48096242	48346242	247	2263	40	41151	spaced
SUPER_1	3305372	3307521	IR	503	.	3306443	0.503	0.796	36	2231	3305372	3305691	3307236	3307521	103331290	3172325	3312358	36	2235	285	1545	immediate
SUPER_1	90013903	90019457	IR	501	.	90016637	0.501	0.988	465	176366	90013903	90016389	90016978	90019457	103331290	89885410	90135410	465	2187	2479	589	immediate
SUPER_1	8724045	8927683	IR	501	.	8825388	0.501	0.418	66	203620	8724045	8740333	8911446	8927683	103331290	8718968	8968968	0	1781	16237	171113	wide
SUPER_1	7981613	8105586	IR	500	.	8043637	0.500	0.401	57	237775	7981613	8043608	8043650	8105586	103331290	7918968	8168968	137	2077	61936	42	immediate
