#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	2389412	2395416	IR	932	.	2392414	0.932	1.000	609	211633	2389412	2391973	2392855	2395416	38484537	2250000	2500000	609	2373	2561	882	immediate
SUPER_Z	17766923	17780703	IR	819	.	17773633	0.819	0.888	393	14262	17766923	17772167	17775465	17780703	38484537	17550000	17800000	393	3730	5238	3298	spaced
SUPER_Z	27623763	27629029	IR	712	.	27626396	0.712	0.995	399	5714	27623763	27625771	27627021	27629029	38484537	27407102	27657102	399	3654	2008	1250	immediate
SUPER_Z	17299358	17301732	IR	707	.	17300545	0.707	0.987	124	2484	17299358	17300030	17301060	17301732	38484537	17100000	17350000	124	3342	672	1030	immediate
SUPER_Z	2568826	2570838	IR	677	.	2569845	0.677	0.913	62	146875	2568826	2569478	2570212	2570838	38484537	2450000	2700000	62	1997	626	734	immediate
SUPER_Z	29893630	29898061	IR	675	.	29895852	0.675	0.985	344	4762	29893630	29895403	29896301	29898061	38484537	29659717	29909717	344	3935	1760	898	immediate
SUPER_Z	32294730	32302987	IR	630	.	32299221	0.630	0.883	198	8240	32294730	32298598	32299119	32302992	38484537	32059717	32309717	0	3985	3868	521	immediate
SUPER_Z	36682678	36683660	IR	604	.	36683169	0.604	1.000	94	70620	36682678	36683075	36683263	36683660	38484537	36609717	36859717	94	1224	397	188	immediate
SUPER_Z	22845786	22848434	IR	579	.	22847110	0.579	0.988	118	2760	22845786	22846424	22847796	22848436	38484537	22600869	22850869	118	4103	638	1372	immediate
SUPER_Z	14450320	14683011	IR	577	.	14566393	0.577	0.383	79	232697	14450320	14566099	14567232	14683069	38484537	14450000	14700000	0	1944	115779	1133	immediate
SUPER_Z	17207338	17209730	IR	576	.	17208534	0.576	0.974	139	2640	17207338	17208214	17208854	17209731	38484537	17000000	17250000	139	3475	876	640	immediate
SUPER_Z	34465848	34675130	IR	576	.	34570055	0.576	0.894	31	209157	34465848	34466412	34674586	34675130	38484537	34459717	34709717	0	1846	544	208174	wide
SUPER_Z	19310948	19313079	IR	557	.	19312029	0.557	0.902	59	2269	19310948	19311426	19312632	19313079	38484537	19150000	19400000	59	2700	447	1206	immediate
SUPER_Z	14828949	14831579	IR	543	.	14830264	0.543	0.995	130	36962	14828949	14829564	14830964	14831579	38484537	14700000	14950000	130	2170	615	1400	immediate
SUPER_Z	7647096	7649668	IR	530	.	7648382	0.530	0.993	203	130111	7647096	7648053	7648712	7649668	38484537	7550000	7800000	203	1639	956	659	immediate
SUPER_Z	37260180	37278667	IR	492	.	37269418	0.492	0.388	27	18531	37260180	37269172	37269675	37278671	38484537	37109717	37359717	28	2661	8992	503	immediate
