#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
ptg000001l	1325249	1483576	IR	338	.	1404022	0.338	0.997	11598	158179	1325249	1390018	1418901	1483576	1503263	1300000	1503263	0	1740	64675	28883	spaced
ptg000001l	1119256	1249301	IR	335	.	1183889	0.335	0.993	87	130005	1119256	1119810	1248747	1249301	1503263	1000000	1250000	0	3071	554	128937	wide
ptg000001l	1262804	1291011	IR	334	.	1276509	0.334	1.000	165	28188	1262804	1263720	1290095	1291011	1503263	1050000	1300000	0	3781	916	26375	spaced
ptg000001l	503486	665699	IR	331	.	584182	0.331	1.000	412	162195	503486	505781	663404	665699	1503263	450000	700000	0	2243	2295	157623	wide
ptg000001l	952311	1112663	IR	330	.	1032031	0.330	1.000	191	160332	952311	953381	1111593	1112663	1503263	900000	1150000	0	2207	1070	158212	wide
ptg000001l	190880	214713	IR	322	.	202293	0.322	1.000	190	23807	190880	191948	213645	214713	1503263	0	250000	0	3379	1068	21697	spaced
ptg000001l	368429	373366	IR	320	.	371079	0.320	0.970	41	4941	368429	368659	373136	373371	1503263	150000	400000	41	3681	230	4477	spaced
ptg000001l	17228	57140	IR	316	.	37014	0.316	1.000	360	40326	17228	18744	55624	57140	1503263	0	250000	360	619	1516	36880	spaced
ptg000001l	869201	933639	IR	314	.	901357	0.314	1.000	193	64638	869201	870058	932782	933639	1503263	700000	950000	193	3356	857	62724	spaced
ptg000001l	118606	125360	IR	299	.	121590	0.299	1.000	202	6724	118606	119766	124200	125360	1503263	0	250000	0	2032	1160	4434	spaced
