#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	10902858	10907506	IR	985	.	10905182	0.985	1.000	487	5184	10902858	10904899	10905465	10907506	73774427	10900000	11150000	492	86	2041	566	immediate
SUPER_1	36346397	36349885	IR	984	.	36348141	0.984	0.984	249	3721	36346397	36347959	36348323	36349885	73774427	36250000	36500000	249	1635	1562	364	immediate
SUPER_1	64028767	64037357	IR	939	.	64033062	0.939	1.000	869	9570	64028767	64032497	64033627	64037357	73774427	63800000	64050000	873	3884	3730	1130	immediate
SUPER_1	60511889	60514821	IR	927	.	60513355	0.927	0.994	235	3139	60511889	60513083	60513627	60514821	73774427	60350000	60600000	240	2722	1194	544	immediate
SUPER_1	20029321	20036083	IR	880	.	20032702	0.880	0.975	429	8091	20029321	20032148	20033256	20036091	73774427	19800000	20050000	430	3878	2827	1108	immediate
SUPER_1	3199559	3203925	IR	830	.	3201742	0.830	0.999	358	4727	3199559	3201255	3202229	3203925	73774427	3000000	3250000	359	3362	1696	974	immediate
SUPER_1	56944893	57090241	IR	817	.	57018010	0.817	0.415	491	145323	56944893	57016926	57018257	57090241	73774427	56900000	57150000	0	1959	71984	1331	immediate
SUPER_1	1245752	1247865	IR	817	.	1246481	0.817	0.962	26	2086	1245752	1246068	1247549	1247865	73774427	1100000	1350000	0	2446	316	1481	immediate
SUPER_1	39233702	39235815	IR	817	.	39234431	0.817	0.962	26	2086	39233702	39234018	39235499	39235815	73774427	39000000	39250000	0	3912	316	1481	immediate
SUPER_1	59387881	59389027	IR	816	.	59388545	0.816	0.944	31	2838	59387881	59388168	59388740	59389027	73774427	59350000	59600000	32	640	287	572	immediate
SUPER_1	47735863	47737890	IR	815	.	47737204	0.815	0.963	24	2007	47735863	47736136	47737617	47737890	73774427	47550000	47800000	0	3114	273	1481	immediate
SUPER_1	24038816	24041344	IR	804	.	24040080	0.804	0.975	141	57795	24038816	24039707	24040453	24041348	73774427	23900000	24150000	141	2334	891	746	immediate
SUPER_1	59740548	59742784	IR	795	.	59741575	0.795	0.945	83	2287	59740548	59741274	59742058	59742784	73774427	59500000	59750000	83	4027	726	784	immediate
