#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
ptg000001l	1277198	1279780	IR	619	.	1278489	0.619	1.000	153	2718	1277198	1277888	1279090	1279780	1536524	1050000	1300000	153	3808	690	1202	immediate
ptg000001l	500225	556466	IR	339	.	528698	0.339	1.000	218	56222	500225	501411	555280	556466	1536524	350000	600000	0	2972	1186	53869	spaced
ptg000001l	974069	1007042	IR	337	.	990151	0.337	0.846	59	32944	974069	974789	1006354	1007042	1536524	850000	1100000	0	2342	688	31565	spaced
ptg000001l	1304458	1324691	IR	335	.	1314771	0.335	0.976	108	20443	1304458	1304994	1324155	1324691	1536524	1250000	1500000	108	1076	536	19161	spaced
ptg000001l	560223	758735	IR	333	.	659168	0.333	0.999	215	198485	560223	561419	757539	758735	1536524	550000	800000	0	1824	1196	196120	wide
ptg000001l	157697	203914	IR	327	.	180659	0.327	1.000	203	46377	157697	158638	202973	203914	1536524	0	250000	203	3013	941	44335	spaced
ptg000001l	788842	963015	IR	324	.	875774	0.324	0.989	181	174285	788842	789746	962119	963015	1536524	750000	1000000	181	2098	896	172373	wide
ptg000001l	289686	345606	IR	324	.	317902	0.324	1.000	152	55894	289686	290525	344767	345606	1536524	150000	400000	0	2793	839	54242	spaced
ptg000001l	1419120	1461377	IR	324	.	1439864	0.324	0.996	82	42232	1419120	1419613	1460884	1461377	1536524	1300000	1536524	0	2337	493	41271	spaced
ptg000001l	1114809	1222061	IR	322	.	1168762	0.322	0.996	106	107225	1114809	1115521	1221349	1222061	1536524	1000000	1250000	0	2807	712	105828	wide
ptg000001l	20192	121089	IR	320	.	70761	0.320	1.000	153	101010	20192	20895	120386	121089	1536524	0	250000	153	1177	703	99491	spaced
ptg000001l	1021772	1109233	IR	318	.	1065223	0.318	0.978	58	87412	1021772	1022226	1108779	1109233	1536524	900000	1150000	0	2758	454	86553	spaced
ptg000001l	436062	493036	IR	313	.	464497	0.313	0.999	215	57144	436062	437026	492072	493036	1536524	250000	500000	215	3575	964	55046	spaced
ptg000001l	405390	430637	IR	308	.	418483	0.308	1.000	153	25229	405390	406229	429798	430637	1536524	200000	450000	0	3633	839	23569	spaced
