#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	172354208	172360009	IR	1000	.	172357109	1.000	1.000	593	6439	172354208	172356835	172357383	172360009	236348634	172150000	172400000	593	3451	2626	548	immediate
SUPER_1	87662438	87682785	IR	999	.	87672613	0.999	0.935	1758	22321	87662438	87671628	87673598	87682785	236348634	87450000	87700000	1758	3710	9187	1970	immediate
SUPER_1	198221329	198229907	IR	998	.	198225618	0.998	1.000	850	9554	198221329	198225088	198226148	198229907	236348634	198000000	198250000	850	3760	3759	1060	immediate
SUPER_1	63908361	63910399	IR	998	.	63909380	0.998	1.000	204	2243	63908361	63909260	63909500	63910399	236348634	63700000	63950000	204	3489	899	240	immediate
SUPER_1	172399161	172416734	IR	997	.	172407948	0.997	1.000	1787	19500	172399161	172406939	172408957	172416734	236348634	172250000	172500000	1792	2632	7777	2018	spaced
SUPER_1	30323908	30331430	IR	997	.	30327669	0.997	0.994	742	8315	30323908	30327290	30328048	30331443	236348634	30100000	30350000	750	3794	3382	758	immediate
SUPER_1	137665076	137667986	IR	997	.	137666531	0.997	0.999	264	3289	137665076	137666353	137666709	137667986	236348634	137550000	137800000	264	1942	1277	356	immediate
SUPER_1	65176959	65184569	IR	996	.	65180764	0.996	1.000	759	8446	65176959	65180295	65181233	65184569	236348634	64950000	65200000	759	3845	3336	938	immediate
SUPER_1	116394068	116403330	IR	995	.	116398699	0.995	0.998	872	10268	116394068	116398152	116399246	116403331	236348634	116200000	116450000	872	3311	4084	1094	immediate
SUPER_1	68519495	68523611	IR	995	.	68521553	0.995	0.999	415	4555	68519495	68521284	68521822	68523611	236348634	68300000	68550000	415	3692	1789	538	immediate
SUPER_1	95742593	95748163	IR	991	.	95745378	0.991	0.998	518	6171	95742593	95745048	95745708	95748163	236348634	95500000	95750000	518	4089	2455	660	immediate
SUPER_1	87433531	87445268	IR	985	.	87439400	0.985	0.999	1158	12984	87433531	87438748	87440052	87445268	236348634	87200000	87450000	1158	3989	5216	1304	immediate
