#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	6907789	6910675	IR	746	.	6909228	0.746	0.981	226	3096	6907789	6908844	6909622	6910675	9525227	6896110	6969174	226	218	1053	778	immediate
SUPER_1	4863613	4866321	IR	679	.	4864967	0.679	0.998	171	2903	4863613	4864446	4865488	4866321	9525227	4731581	4941690	171	2222	833	1042	immediate
SUPER_1	5345227	5363720	IR	675	.	5354656	0.675	0.999	1316	19807	5345227	5351081	5357868	5363720	9525227	5245470	5495470	1316	1816	5852	6787	spaced
SUPER_1	2768757	2867860	IR	575	.	2818441	0.575	0.997	1319	100603	2768757	2774776	2861841	2867860	9525227	2668013	2890416	1321	2504	6019	87065	spaced
SUPER_1	5395817	5400051	IR	572	.	5397977	0.572	0.831	175	4552	5395817	5397773	5398181	5400051	9525227	5345470	5565722	182	874	1870	408	immediate
SUPER_1	7045488	7051134	IR	561	.	7047988	0.561	1.000	232	5621	7045488	7046822	7049800	7051134	9525227	6969374	7219374	0	1315	1334	2978	spaced
SUPER_1	6576479	6578605	IR	515	.	6577541	0.515	0.839	43	2262	6576479	6576776	6578308	6578656	9525227	6529036	6726236	44	808	297	1532	immediate
SUPER_1	4656517	4660255	IR	514	.	4658386	0.514	0.998	224	3891	4656517	4657630	4659142	4660255	9525227	4534566	4680970	262	2063	1113	1512	immediate
SUPER_1	7637973	7643327	IR	503	.	7640650	0.503	0.999	360	5762	7637973	7639692	7641608	7643327	9525227	7552607	7802607	389	1467	1719	1916	immediate
SUPER_1	7504383	7506628	IR	492	.	7505509	0.492	0.940	47	2270	7504383	7504764	7506251	7506628	9525227	7502607	7752607	47	48	377	1487	immediate
SUPER_1	2256691	2264032	IR	473	.	2260384	0.473	0.453	62	7458	2256691	2260301	2260467	2264032	9525227	2197271	2301611	74	1051	3565	166	immediate
SUPER_1	7247436	7252597	IR	462	.	7250016	0.462	0.992	379	5608	7247436	7249109	7250924	7252609	9525227	7119374	7369374	386	2177	1673	1815	immediate
SUPER_1	502605	560146	IR	419	.	531146	0.419	0.884	190	61148	502605	507882	554891	560146	9525227	449720	665689	190	1360	5255	47009	spaced
SUPER_1	257482	265016	IR	392	.	261472	0.392	0.968	431	7492	257482	259682	262816	265036	9525227	222100	349520	5	652	2200	3134	spaced
SUPER_1	5199869	5205810	IR	382	.	5202823	0.382	0.898	106	6096	5199869	5200867	5204812	5205879	9525227	5041890	5245270	116	2682	998	3945	spaced
SUPER_1	5101571	5108596	IR	358	.	5105546	0.358	0.869	125	7013	5101571	5103011	5107156	5108601	9525227	4941890	5191890	0	2719	1440	4145	spaced
SUPER_1	703330	710369	IR	358	.	706506	0.358	0.842	66	7029	703330	704623	709076	710382	9525227	665889	732916	0	682	1293	4453	spaced
SUPER_1	1936131	1941863	IR	350	.	1939012	0.350	1.000	276	6050	1936131	1937516	1940478	1941863	9525227	1830825	2033000	314	1802	1385	2962	spaced
SUPER_1	4810636	4815513	IR	350	.	4812952	0.350	0.963	220	5335	4810636	4811648	4814501	4815547	9525227	4731581	4941690	229	1358	1012	2853	spaced
SUPER_1	3794978	3890076	IR	346	.	3842133	0.346	0.978	71	95069	3794978	3795571	3889483	3890076	9525227	3640616	3890616	0	3365	593	93912	spaced
SUPER_1	9191570	9213113	IR	341	.	9202106	0.341	1.000	167	21747	9191570	9192338	9212345	9213113	9525227	9057739	9307739	167	2409	768	20007	spaced
SUPER_1	4243565	4248002	IR	333	.	4245684	0.333	0.999	188	5209	4243565	4244393	4247174	4248002	9525227	4044678	4294678	188	3351	828	2781	spaced
SUPER_1	4044255	4240714	IR	333	.	4142404	0.333	0.979	40	196459	4044255	4044542	4240427	4240714	9525227	3994678	4244678	40	2463	287	195885	wide
SUPER_1	8048709	8055454	IR	328	.	8052094	0.328	1.000	420	7206	8048709	8050597	8053566	8055454	9525227	7902607	8152607	437	2491	1888	2969	spaced
SUPER_1	6384636	6495609	IR	326	.	6440243	0.326	0.971	105	111336	6384636	6385421	6494824	6495611	9525227	6262938	6512938	105	2952	785	109403	wide
SUPER_1	7057802	7151274	IR	325	.	7104083	0.325	0.892	58	93431	7057802	7058733	7150343	7151313	9525227	6969374	7219374	0	2252	931	91610	spaced
SUPER_1	3966403	3969890	IR	322	.	3968151	0.322	0.765	73	3576	3966403	3968031	3968262	3969900	9525227	3915799	3994478	73	872	1628	231	immediate
SUPER_1	5870435	5888280	IR	322	.	5878997	0.322	0.805	42	17725	5870435	5871267	5887516	5888280	9525227	5869209	6119209	0	169	764	16249	spaced
SUPER_1	4490564	4505362	IR	321	.	4497493	0.321	0.965	155	14791	4490564	4491776	4504150	4505377	9525227	4448574	4534366	0	823	1212	12374	spaced
SUPER_1	8477040	8479866	IR	321	.	8478252	0.321	0.972	60	2878	8477040	8477426	8479480	8479866	9525227	8231198	8481198	60	4120	386	2054	spaced
SUPER_1	4778361	4793379	IR	319	.	4785505	0.319	0.943	181	14979	4778361	4781239	4790502	4793379	9525227	4731581	4941690	0	904	2877	9263	spaced
SUPER_1	3640874	3644525	IR	319	.	3643009	0.319	0.966	34	3581	3640874	3641199	3644200	3644526	9525227	3640616	3890616	0	34	325	3001	spaced
SUPER_1	8131911	8138503	IR	317	.	8135202	0.317	1.000	438	7065	8131911	8133906	8136508	8138503	9525227	7902607	8152607	438	3876	1995	2602	spaced
SUPER_1	5664900	5807018	IR	315	.	5736393	0.315	0.456	515	142093	5664900	5711994	5760000	5807018	9525227	5618530	5819869	0	1957	47018	48006	spaced
SUPER_1	7944542	7980077	IR	315	.	7962788	0.315	0.990	132	35518	7944542	7945381	7979238	7980077	9525227	7752607	8002607	0	3494	839	33857	spaced
SUPER_1	1312257	1316457	IR	314	.	1313923	0.314	0.952	117	4179	1312257	1313093	1315656	1316457	9525227	1271781	1491585	0	709	801	2563	spaced
SUPER_1	1701299	1830613	IR	313	.	1765597	0.313	0.986	1393	129294	1701299	1709227	1822685	1830613	9525227	1625490	1830625	0	2340	7928	113458	wide
SUPER_1	8523219	8535805	IR	313	.	8529803	0.313	0.982	673	12508	8523219	8528069	8530955	8535814	9525227	8331198	8558676	0	3305	4850	2886	spaced
SUPER_1	1445000	1475123	IR	313	.	1459814	0.313	0.974	110	30200	1445000	1445743	1474380	1475123	9525227	1271781	1491585	110	3137	743	28637	spaced
SUPER_1	6778553	6781322	IR	313	.	6779937	0.313	0.920	47	2985	6778553	6779095	6780780	6781325	9525227	6726436	6781704	47	891	542	1685	immediate
SUPER_1	2594941	2617930	IR	312	.	2606124	0.312	0.962	466	22973	2594941	2599562	2613309	2617938	9525227	2390772	2640772	0	3594	4621	13747	spaced
SUPER_1	6023109	6023760	IR	312	.	6023387	0.312	0.996	63	98452	6023109	6023384	6023485	6023760	9525227	5919209	6169209	63	1736	275	101	immediate
SUPER_1	3594652	3619783	IR	311	.	3606935	0.311	0.919	84	25113	3594652	3596149	3618287	3619783	9525227	3440616	3690616	0	2776	1496	22138	spaced
SUPER_1	4965419	4994751	IR	310	.	4979866	0.310	0.992	130	29461	4965419	4966125	4994045	4994751	9525227	4941890	5191890	130	636	706	27920	spaced
SUPER_1	8771598	8774640	IR	310	.	8772839	0.310	0.991	39	3022	8771598	8771820	8774418	8774640	9525227	8758776	8969901	0	238	222	2598	spaced
SUPER_1	1578034	1585674	IR	309	.	1582094	0.309	0.973	74	7613	1578034	1578798	1584910	1585674	9525227	1491785	1595433	0	1501	764	6112	spaced
SUPER_1	1549303	1572783	IR	308	.	1561203	0.308	0.972	227	23779	1549303	1550708	1571378	1572792	9525227	1491785	1595433	227	1154	1405	20670	spaced
SUPER_1	6845340	6855237	IR	308	.	6850586	0.308	0.902	42	9875	6845340	6846279	6854298	6855237	9525227	6781904	6895910	0	1139	939	8019	spaced
SUPER_1	7410490	7414708	IR	308	.	7412549	0.308	0.962	37	4248	7410490	7410776	7414424	7414708	9525227	7370754	7452407	37	697	284	3648	spaced
SUPER_1	1121833	1128888	IR	307	.	1125193	0.307	0.999	298	7372	1121833	1123212	1127509	1128888	9525227	932423	1182423	298	3215	1379	4297	spaced
SUPER_1	799596	832450	IR	306	.	815766	0.306	0.898	421	32834	799596	805554	826501	832450	9525227	733116	860450	0	1381	5949	20947	spaced
SUPER_1	5468463	5554573	IR	306	.	5511642	0.306	0.928	215	86513	5468463	5471399	5551637	5554615	9525227	5345470	5565722	215	2767	2936	80238	spaced
SUPER_1	1882225	1896146	IR	306	.	1889664	0.306	0.948	152	13870	1882225	1883866	1894507	1896146	9525227	1830825	2033000	0	972	1639	10641	spaced
