#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	24536473	24538625	IR	982	.	24537549	0.982	0.998	203	2388	24536473	24537411	24537687	24538625	37061687	24300000	24550000	203	3959	938	276	immediate
SUPER_1	13607723	13609876	IR	965	.	13608800	0.965	0.997	207	2387	13607723	13608650	13608950	13609876	37061687	13400000	13650000	207	3479	926	300	immediate
SUPER_1	31076212	31079971	IR	943	.	31078021	0.943	0.981	213	3993	31076212	31077829	31078354	31079971	37061687	30850000	31100000	213	3801	1617	525	immediate
SUPER_1	33572888	33574970	IR	894	.	33573929	0.894	0.984	137	2211	33572888	33573677	33574181	33574970	37061687	33350000	33600000	137	3732	789	504	immediate
SUPER_1	34972402	34974411	IR	824	.	34973410	0.824	0.983	160	2351	34972402	34973212	34973608	34974411	37061687	34750000	35000000	160	3723	803	396	immediate
SUPER_1	34560648	34562812	IR	805	.	34561731	0.805	0.994	191	2361	34560648	34561603	34561857	34562814	37061687	34350000	34600000	191	3528	955	254	immediate
SUPER_1	35477341	35480253	IR	730	.	35478797	0.730	1.000	198	3098	35477341	35478224	35479370	35480253	37061687	35250000	35500000	198	3813	883	1146	immediate
SUPER_1	13256428	13449850	IR	730	.	13353139	0.730	0.392	63	193505	13256428	13353006	13353272	13449895	37061687	13200000	13450000	63	2552	96578	266	immediate
SUPER_1	35731384	35733896	IR	729	.	35732640	0.729	0.999	178	2824	35731384	35732180	35733100	35733896	37061687	35500000	35750000	178	3877	796	920	immediate
SUPER_1	24169444	24171556	IR	721	.	24170500	0.721	0.991	102	2193	24169444	24169983	24171017	24171556	37061687	23950000	24200000	102	3674	539	1034	immediate
SUPER_1	23922252	23924452	IR	705	.	23923352	0.705	0.945	169	2349	23922252	23923219	23923520	23924452	37061687	23700000	23950000	169	3722	932	301	immediate
SUPER_1	8073697	8076916	IR	649	.	8075305	0.649	0.958	183	3485	8073697	8074752	8075866	8076916	37061687	7850000	8100000	186	3754	1050	1114	immediate
SUPER_1	663613	665995	IR	648	.	664804	0.648	0.989	101	2458	663613	664258	665350	665995	37061687	500000	750000	101	2746	645	1092	immediate
SUPER_1	32595981	32637199	IR	597	.	32616981	0.597	0.849	52	41211	32595981	32597168	32636012	32637234	37061687	32400000	32650000	0	3609	1187	38844	spaced
SUPER_1	34186173	34188535	IR	592	.	34187354	0.592	0.962	81	2477	34186173	34187038	34187670	34188537	37061687	33950000	34200000	81	3955	865	632	immediate
SUPER_1	30340359	30343697	IR	583	.	30341589	0.583	0.958	104	3321	30340359	30341630	30342426	30343701	37061687	30100000	30350000	0	4033	1271	796	immediate
SUPER_1	32253235	32255151	IR	571	.	32254193	0.571	0.956	83	2063	32253235	32253850	32254545	32255151	37061687	32050000	32300000	83	3403	606	695	immediate
SUPER_1	13658415	13660611	IR	563	.	13659513	0.563	0.988	80	2247	13658415	13658816	13660210	13660611	37061687	13450000	13700000	80	3491	401	1394	immediate
SUPER_1	22673667	22676053	IR	562	.	22674860	0.562	0.987	82	2483	22673667	22674142	22675578	22676053	37061687	22450000	22700000	82	3747	475	1436	immediate
SUPER_1	31196338	31198408	IR	543	.	31197373	0.543	1.000	71	2169	31196338	31196667	31198079	31198408	37061687	31100000	31350000	71	1622	329	1412	immediate
SUPER_1	35123603	35125604	IR	538	.	35124603	0.538	0.968	56	2151	35123603	35123914	35125293	35125609	37061687	34900000	35150000	56	3743	311	1379	immediate
SUPER_1	24470414	24472544	IR	537	.	24471479	0.537	0.992	65	2171	24470414	24470779	24472179	24472544	37061687	24250000	24500000	65	3691	365	1400	immediate
SUPER_1	12230638	12407654	IR	536	.	12318787	0.536	0.818	38	177000	12230638	12231508	12406784	12407656	37061687	12200000	12450000	0	1985	870	175276	wide
SUPER_1	34458287	34460153	IR	526	.	34459221	0.526	0.972	44	2046	34458287	34458678	34459762	34460155	37061687	34300000	34550000	44	2653	391	1084	immediate
SUPER_1	36314048	36316542	IR	524	.	36315295	0.524	1.000	120	2619	36314048	36314568	36316022	36316542	37061687	36100000	36350000	120	3588	520	1454	immediate
SUPER_1	25753256	25755466	IR	521	.	25754361	0.521	0.978	155	2382	25753256	25754246	25754478	25755466	37061687	25550000	25800000	155	3405	988	232	immediate
SUPER_1	33540813	33543317	IR	514	.	33542065	0.514	0.958	50	2521	33540813	33541334	33542796	33543317	37061687	33300000	33550000	50	4034	521	1462	immediate
SUPER_1	8660891	8663156	IR	510	.	8662026	0.510	0.955	100	2490	8660891	8661508	8662539	8663162	37061687	8450000	8700000	100	3533	617	1031	immediate
SUPER_1	29370169	29372443	IR	507	.	29371306	0.507	0.976	54	2420	29370169	29370544	29372068	29372443	37061687	29150000	29400000	54	3688	375	1524	immediate
SUPER_1	31556827	31559347	IR	497	.	31558087	0.497	1.000	120	2627	31556827	31557341	31558833	31559347	37061687	31350000	31600000	120	3467	514	1492	immediate
SUPER_1	14054819	14209610	IR	470	.	14132080	0.470	0.844	54	155206	14054819	14055374	14209055	14209683	37061687	14050000	14300000	54	1370	555	153681	wide
SUPER_1	2990306	3056739	IR	469	.	3023271	0.469	0.985	161	66413	2990306	2991590	3055455	3056739	37061687	2850000	3100000	0	2891	1284	63865	spaced
SUPER_1	18508690	18510768	IR	463	.	18509729	0.463	0.926	40	2100	18508690	18509170	18510292	18510768	37061687	18300000	18550000	41	3495	476	1122	immediate
SUPER_1	32240023	32242052	IR	459	.	32241110	0.459	0.918	56	2082	32240023	32240596	32241479	32242060	37061687	32000000	32250000	56	4017	573	883	immediate
SUPER_1	36053642	36056289	IR	455	.	36054960	0.455	0.935	66	2718	36053642	36054186	36055745	36056289	37061687	36050000	36300000	66	82	544	1559	immediate
SUPER_1	26936867	26938853	IR	455	.	26937860	0.455	0.987	34	2003	26936867	26937094	26938626	26938853	37061687	26700000	26950000	34	3964	227	1532	immediate
SUPER_1	6104816	6108055	IR	448	.	6106321	0.448	0.980	97	3470	6104816	6105309	6107568	6108055	37061687	6000000	6250000	97	1773	487	2259	spaced
SUPER_1	16820499	16928467	IR	446	.	16874755	0.446	0.970	265	107947	16820499	16821986	16927021	16928467	37061687	16750000	17000000	0	2074	1446	105035	wide
SUPER_1	29054768	29056673	IR	445	.	29055736	0.445	0.911	71	2031	29054768	29055236	29056205	29056704	37061687	28850000	29100000	71	3428	468	969	immediate
SUPER_1	35204058	35285988	IR	443	.	35244711	0.443	0.935	163	81856	35204058	35205723	35284380	35285988	37061687	35050000	35300000	0	3250	1608	78657	spaced
SUPER_1	20584557	20586881	IR	442	.	20585719	0.442	0.945	44	2344	20584557	20585120	20586318	20586884	37061687	20500000	20750000	44	1428	563	1198	immediate
SUPER_1	29459174	29461115	IR	440	.	29460146	0.440	0.970	48	2008	29459174	29459572	29460720	29461115	37061687	29350000	29600000	48	1835	395	1148	immediate
SUPER_1	23053277	23096712	IR	440	.	23075396	0.440	0.939	29	43415	23053277	23053657	23096336	23096712	37061687	22850000	23100000	0	3749	376	42679	spaced
SUPER_1	35198825	35201439	IR	436	.	35200132	0.436	0.987	93	2695	35198825	35199300	35200964	35201439	37061687	35000000	35250000	93	3335	475	1664	immediate
SUPER_1	20960435	20964015	IR	431	.	20962225	0.431	0.991	194	3752	20960435	20961412	20963038	20964017	37061687	20750000	21000000	194	3536	977	1626	immediate
SUPER_1	19289014	19291051	IR	431	.	19290033	0.431	0.988	158	2180	19289014	19289837	19290228	19291051	37061687	19050000	19300000	158	4000	823	391	immediate
SUPER_1	26943336	27066323	IR	427	.	27005091	0.427	0.945	87	122910	26943336	26944601	27065058	27066324	37061687	26850000	27100000	0	2580	1265	120457	wide
SUPER_1	6439999	6442250	IR	427	.	6441122	0.427	0.927	56	2377	6439999	6440392	6441867	6442250	37061687	6300000	6550000	56	2351	383	1475	immediate
SUPER_1	8579731	8580829	IR	425	.	8580309	0.425	0.842	33	12207	8579731	8580154	8580406	8580887	37061687	8450000	8700000	33	2171	423	252	immediate
SUPER_1	32638922	32715503	IR	423	.	32676979	0.423	0.923	80	76612	32638922	32639498	32714927	32715511	37061687	32500000	32750000	48	2953	576	75429	spaced
SUPER_1	17170696	17173123	IR	419	.	17172321	0.419	0.976	24	2405	17170696	17170944	17172875	17173124	37061687	17150000	17400000	0	365	248	1931	immediate
SUPER_1	25460508	25462611	IR	415	.	25461292	0.415	0.922	42	2082	25460508	25460894	25462244	25462611	37061687	25300000	25550000	0	2692	367	1350	immediate
SUPER_1	36529522	36531839	IR	409	.	36530681	0.409	0.959	35	2336	36529522	36529890	36531474	36531839	37061687	36300000	36550000	35	3844	365	1584	immediate
SUPER_1	33208056	33393456	IR	406	.	33300504	0.406	0.800	22	185325	33208056	33208985	33392527	33393491	37061687	33150000	33400000	0	2512	929	183542	wide
SUPER_1	23615466	23762371	IR	403	.	23688773	0.403	0.978	30	146972	23615466	23615735	23762102	23762371	37061687	23600000	23850000	30	1481	269	146367	wide
SUPER_1	16393495	16394702	IR	399	.	16394111	0.399	0.916	45	90714	16393495	16393885	16394312	16394727	37061687	16250000	16500000	45	2401	390	427	immediate
SUPER_1	31910527	32058056	IR	396	.	31984261	0.396	0.913	55	147553	31910527	31911321	32057277	32058056	37061687	31850000	32100000	55	2238	779	145956	wide
SUPER_1	11776198	11777978	IR	394	.	11777088	0.394	0.971	25	13303	11776198	11776373	11777803	11777978	37061687	11600000	11850000	25	2951	175	1430	immediate
SUPER_1	19854623	19864640	IR	392	.	19860045	0.392	0.983	476	9992	19854623	19857906	19861367	19864640	37061687	19650000	19900000	0	3493	3273	3461	spaced
SUPER_1	10037247	10039172	IR	390	.	10038209	0.390	0.922	37	2152	10037247	10037683	10038736	10039176	37061687	9850000	10100000	37	3136	436	1053	immediate
SUPER_1	25179308	25181295	IR	389	.	25180301	0.389	0.948	28	2024	25179308	25179593	25181010	25181295	37061687	24950000	25200000	28	3838	285	1417	immediate
SUPER_1	717417	921893	IR	387	.	819545	0.387	0.964	142	204767	717417	718536	920777	921893	37061687	700000	950000	142	1994	1116	202241	wide
SUPER_1	30534445	30536785	IR	387	.	30535472	0.387	0.741	53	2442	30534445	30535139	30536122	30536785	37061687	30350000	30600000	53	3093	663	983	immediate
SUPER_1	16283218	16312973	IR	386	.	16298564	0.386	0.929	28	29670	16283218	16283895	16312296	16312974	37061687	16200000	16450000	0	1634	677	28401	spaced
SUPER_1	10718771	10721487	IR	384	.	10720129	0.384	1.000	97	2813	10718771	10719213	10721045	10721487	37061687	10500000	10750000	97	3668	442	1832	immediate
SUPER_1	36082169	36084869	IR	384	.	36083519	0.384	1.000	94	2816	36082169	36082610	36084428	36084869	37061687	35950000	36200000	94	2225	441	1818	immediate
SUPER_1	7023294	7026020	IR	384	.	7024657	0.384	0.996	91	2813	7023294	7023748	7025566	7026020	37061687	6800000	7050000	91	3744	454	1818	immediate
SUPER_1	20010127	20012869	IR	384	.	20011498	0.384	0.994	88	2822	20010127	20010589	20012407	20012869	37061687	19800000	20050000	88	3524	462	1818	immediate
SUPER_1	18501928	18504654	IR	383	.	18503291	0.383	0.998	95	2813	18501928	18502375	18504207	18504654	37061687	18300000	18550000	95	3388	447	1832	immediate
SUPER_1	36283119	36285355	IR	381	.	36284237	0.381	0.960	41	2299	36283119	36283572	36284902	36285356	37061687	36200000	36450000	41	1403	453	1330	immediate
SUPER_1	8772015	8774141	IR	379	.	8773088	0.379	0.929	50	2214	8772015	8772393	8773783	8774141	37061687	8750000	9000000	50	384	358	1390	immediate
SUPER_1	21207002	21208994	IR	378	.	21207998	0.378	0.836	30	2091	21207002	21207265	21208731	21209028	37061687	21000000	21250000	30	3466	263	1466	immediate
SUPER_1	7676020	7679604	IR	377	.	7677812	0.377	0.880	68	3703	7676020	7676896	7678728	7679673	37061687	7500000	7750000	68	2963	876	1832	immediate
SUPER_1	16664643	16689658	IR	377	.	16677232	0.377	0.847	37	25240	16664643	16665120	16689234	16689658	37061687	16650000	16900000	37	452	424	24114	spaced
SUPER_1	22171180	22174687	IR	372	.	22172943	0.372	0.996	193	3710	22171180	22172121	22173746	22174688	37061687	21950000	22200000	193	3715	941	1625	immediate
SUPER_1	36140690	36142950	IR	372	.	36141817	0.372	0.890	66	2394	36140690	36141160	36142480	36142982	37061687	36100000	36350000	66	696	470	1320	immediate
SUPER_1	131335	189728	IR	371	.	160212	0.371	0.733	98	58367	131335	132764	188386	189728	37061687	50000	300000	0	1842	1342	55622	spaced
SUPER_1	6573179	6576503	IR	368	.	6575227	0.368	0.972	47	3307	6573179	6573688	6575994	6576503	37061687	6400000	6650000	0	2913	509	2306	spaced
SUPER_1	35175215	35180883	IR	367	.	35177645	0.367	0.950	62	5644	35175215	35175926	35180174	35180883	37061687	34950000	35200000	0	3800	709	4248	spaced
SUPER_1	36563554	36588610	IR	366	.	36576516	0.366	0.918	428	24660	36563554	36569641	36582523	36588611	37061687	36350000	36600000	0	3767	6087	12882	spaced
SUPER_1	7232110	7306725	IR	366	.	7269061	0.366	0.986	62	74594	7232110	7232598	7306237	7306725	37061687	7100000	7350000	0	2823	488	73639	spaced
SUPER_1	8986684	8988809	IR	364	.	8987747	0.364	0.980	60	2343	8986684	8987075	8988418	8988811	37061687	8750000	9000000	60	3962	391	1343	immediate
SUPER_1	34504771	34508180	IR	364	.	34506453	0.364	0.995	43	3515	34504771	34504993	34507959	34508180	37061687	34300000	34550000	43	3441	221	2966	spaced
SUPER_1	26790272	26792516	IR	363	.	26791715	0.363	1.000	20	2217	26790272	26790388	26792400	26792516	37061687	26600000	26850000	0	3189	116	2012	spaced
SUPER_1	12755352	12757323	IR	361	.	12756336	0.361	0.856	26	2090	12755352	12756146	12756530	12757323	37061687	12600000	12850000	26	2605	793	384	immediate
SUPER_1	20236364	20294491	IR	359	.	20265778	0.359	0.863	24	58090	20236364	20236943	20293912	20294500	37061687	20150000	20400000	0	1923	579	56969	spaced
SUPER_1	27373822	27580353	IR	359	.	27477289	0.359	0.979	23	206914	27373822	27373869	27580306	27580353	37061687	27350000	27600000	5	2117	47	206437	wide
SUPER_1	1291912	1401403	IR	358	.	1346536	0.358	0.960	133	109721	1291912	1293054	1400261	1401410	37061687	1200000	1450000	133	2444	1142	107207	wide
SUPER_1	22203591	22392464	IR	357	.	22297716	0.357	0.900	21	188871	22203591	22203835	22392220	22392480	37061687	22200000	22450000	0	1633	244	188385	wide
SUPER_1	8474885	8475641	IR	357	.	8475294	0.357	0.520	20	7890	8474885	8475008	8475518	8475687	37061687	8250000	8500000	36	3754	123	510	immediate
SUPER_1	18104788	18119373	IR	356	.	18111687	0.356	1.000	23	14559	18104788	18104922	18119239	18119373	37061687	18100000	18350000	0	201	134	14317	spaced
SUPER_1	34253753	34445181	IR	355	.	34349921	0.355	0.996	733	191404	34253753	34257987	34440951	34445181	37061687	34250000	34500000	0	1657	4230	182964	wide
SUPER_1	25905390	25925148	IR	355	.	25915751	0.355	0.960	118	19740	25905390	25906285	25924253	25925148	37061687	25700000	25950000	0	3587	895	17968	spaced
SUPER_1	15943606	16046186	IR	354	.	15994936	0.354	0.950	132	102827	15943606	15944795	16044997	16046204	37061687	15800000	16050000	132	3248	1189	100202	wide
SUPER_1	1040403	1157744	IR	354	.	1099270	0.354	0.878	61	117703	1040403	1041190	1156957	1157745	37061687	950000	1200000	61	2484	787	115767	wide
