#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	31794982	31802824	IR	789	.	31798903	0.789	0.995	660	8847	31794982	31798156	31799650	31802831	41383933	31700000	31950000	674	1648	3174	1494	immediate
SUPER_1	129413	132375	IR	685	.	131381	0.685	0.891	43	2936	129413	130355	131436	132375	41383933	100000	350000	0	514	939	1081	immediate
SUPER_1	25303882	25505099	IR	677	.	25404359	0.677	0.844	64	202273	25303882	25395760	25413269	25505099	41383933	25300000	25550000	64	1741	91830	17509	spaced
SUPER_1	5268971	5269805	IR	641	.	5269388	0.641	0.989	81	192828	5268971	5269341	5269435	5269805	41383933	5150000	5400000	81	1989	370	94	immediate
SUPER_1	18700075	18913975	IR	611	.	18806556	0.611	0.814	460	213849	18700075	18806715	18807344	18913975	41383933	18700000	18950000	0	1783	106631	629	immediate
SUPER_1	10585239	10589367	IR	604	.	10587303	0.604	0.930	95	4617	10585239	10586648	10587958	10589389	41383933	10400000	10650000	95	3121	1409	1310	immediate
SUPER_1	26452518	26669259	IR	598	.	26560407	0.598	0.840	69	27959	26452518	26480375	26641402	26669378	41383933	26450000	26700000	0	1848	27857	161027	wide
SUPER_1	24300173	24382427	IR	579	.	24341001	0.579	0.850	106	81746	24300173	24340321	24342331	24382427	41383933	24300000	24550000	0	688	40096	2010	spaced
SUPER_1	27202931	27358062	IR	572	.	27280639	0.572	0.865	138	160196	27202931	27226020	27334973	27358072	41383933	27200000	27450000	138	1341	23089	108953	wide
SUPER_1	35566665	35696422	IR	558	.	35631373	0.558	0.626	27	136546	35566665	35580949	35682205	35696422	41383933	35500000	35750000	27	2192	14217	101256	wide
SUPER_1	29093938	29096612	IR	450	.	29095275	0.450	0.888	64	3142	29093938	29095092	29095458	29096650	41383933	28900000	29150000	64	3254	1154	366	immediate
SUPER_1	12560126	12617304	IR	449	.	12589138	0.449	0.739	59	56681	12560126	12587028	12590412	12617304	41383933	12550000	12800000	0	645	26892	3384	spaced
SUPER_1	4961639	5135718	IR	443	.	5048428	0.443	0.961	363	174058	4961639	4965118	5132255	5135718	41383933	4900000	5150000	0	2477	3463	167137	wide
SUPER_1	91545	110552	IR	427	.	100807	0.427	1.000	52	63025	91545	91562	110535	110552	41383933	0	250000	1	1684	17	18973	spaced
SUPER_1	17744182	17894450	IR	419	.	17819105	0.419	0.932	443	156385	17744182	17783672	17854960	17894512	41383933	17700000	17950000	443	1988	39490	71288	spaced
SUPER_1	3577838	3581728	IR	411	.	3579782	0.411	0.903	106	4130	3577838	3578869	3580697	3581770	41383933	3350000	3600000	106	3829	1031	1828	immediate
SUPER_1	21708085	21894508	IR	396	.	21801431	0.396	0.874	140	184044	21708085	21743291	21859356	21894508	41383933	21700000	21950000	140	1688	35152	116065	wide
SUPER_1	3975208	4008244	IR	384	.	3991283	0.384	0.613	22	32668	3975208	3990167	3993285	4008280	41383933	3800000	4050000	0	3195	14959	3118	spaced
SUPER_1	17898406	17958375	IR	379	.	17928143	0.379	0.909	368	150223	17898406	17898780	17958001	17958375	41383933	17850000	18100000	9	1306	374	59221	spaced
SUPER_1	20011490	20199460	IR	372	.	20105063	0.372	0.780	269	187924	20011490	20048663	20162287	20199564	41383933	19950000	20200000	0	2591	37173	113624	wide
SUPER_1	37262312	37327658	IR	370	.	37294780	0.370	0.995	329	65754	37262312	37263838	37326132	37327658	41383933	37100000	37350000	329	3249	1526	62294	spaced
SUPER_1	37798582	37801608	IR	370	.	37800094	0.370	0.960	102	3268	37798582	37799345	37800846	37801608	41383933	37600000	37850000	102	3334	762	1501	immediate
SUPER_1	18080593	18199980	IR	367	.	18140701	0.367	0.561	29	111602	18080593	18130424	18150187	18199980	41383933	17950000	18200000	0	3171	49793	19763	spaced
SUPER_1	32758262	32763333	IR	366	.	32760828	0.366	0.908	204	5807	32758262	32759847	32761808	32763333	41383933	32550000	32800000	204	3513	1525	1961	immediate
