#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	3434874	3447285	IR	765	.	3441079	0.765	0.999	1193	13935	3434874	3440175	3441984	3447285	53621875	3432843	3682843	1193	137	5301	1809	immediate
SUPER_1	158645	168743	IR	709	.	163694	0.709	0.999	974	14172	158645	162954	164434	168743	53621875	0	171546	979	2728	4309	1480	immediate
SUPER_1	40668421	40671559	IR	677	.	40669990	0.677	1.000	215	3305	40668421	40669424	40670556	40671559	53621875	40451435	40675435	215	3642	1003	1132	immediate
SUPER_1	13743153	13824839	IR	662	.	13783996	0.662	0.386	110	84227	13743153	13783547	13784445	13824861	53621875	13601960	13851960	110	3033	40394	898	immediate
SUPER_1	2966749	2968674	IR	615	.	2967711	0.615	0.723	29	2078	2966749	2967071	2968352	2968781	53621875	2964643	3214643	29	51	322	1281	immediate
SUPER_1	26248777	26259746	IR	614	.	26254267	0.614	0.992	995	14099	26248777	26253717	26254818	26259746	53621875	26143269	26363841	998	1849	4928	1101	immediate
SUPER_1	8836748	8838020	IR	613	.	8837384	0.613	0.985	89	28692	8836748	8837292	8837476	8838021	53621875	8651960	8901960	89	3090	544	184	immediate
SUPER_1	4790444	4792814	IR	610	.	4791847	0.610	0.988	159	2502	4790444	4791286	4791972	4792816	53621875	4582843	4799299	159	3479	842	686	immediate
SUPER_1	5662595	5664567	IR	538	.	5663582	0.538	0.991	114	2023	5662595	5663177	5663987	5664567	53621875	5627730	5877730	114	597	580	810	immediate
SUPER_1	53600397	53606339	IR	533	.	53603097	0.533	0.984	166	5924	53600397	53601376	53605367	53606339	53621875	53389150	53621875	0	3570	972	3991	spaced
SUPER_1	4694452	4696944	IR	533	.	4695698	0.533	0.989	134	80707	4694452	4695104	4696292	4696949	53621875	4532843	4782843	134	2714	652	1188	immediate
SUPER_1	41009950	41020207	IR	519	.	41014997	0.519	0.995	1046	11934	41009950	41014522	41015637	41020207	53621875	40775635	41022532	1046	3990	4570	1115	immediate
SUPER_1	5618332	5621900	IR	474	.	5620116	0.474	1.000	223	3820	5618332	5619267	5620965	5621900	53621875	5577730	5827730	223	706	935	1698	immediate
SUPER_1	20184335	20186487	IR	472	.	20185411	0.472	0.958	33	100567	20184335	20184644	20186178	20186487	53621875	20027463	20277463	33	2632	309	1534	immediate
SUPER_1	3952520	4147173	IR	470	.	4049797	0.470	0.376	46	194683	3952520	4049090	4050636	4147173	53621875	3932843	4182843	46	1949	96537	1546	immediate
