#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	21261603	21263535	IR	874	.	21262569	0.874	0.982	105	2032	21261603	21262272	21262866	21263535	41884646	21050000	21300000	105	3542	669	594	immediate
SUPER_1	29734142	29736060	IR	792	.	29735101	0.792	0.970	79	2027	29734142	29734811	29735391	29736060	41884646	29500000	29750000	79	3918	669	580	immediate
SUPER_1	32288787	32290727	IR	714	.	32289757	0.714	0.983	169	58777	32288787	32289367	32290155	32290727	41884646	32100000	32350000	319	3162	572	788	immediate
SUPER_1	22766686	22780257	IR	690	.	22773263	0.690	0.775	174	14092	22766686	22773076	22773893	22780257	41884646	22550000	22800000	226	3724	6364	817	immediate
SUPER_1	29934045	29936093	IR	625	.	29935237	0.625	0.984	23	2046	29934045	29934167	29935971	29936093	41884646	29850000	30100000	23	1417	122	1804	immediate
SUPER_1	25851046	26087187	IR	620	.	25968839	0.620	0.884	551	232777	25851046	25902956	26035361	26087187	41884646	25850000	26100000	0	1985	51826	132405	wide
SUPER_1	4335329	4337445	IR	612	.	4336404	0.612	0.945	139	2278	4335329	4336003	4336771	4337479	41884646	4100000	4350000	139	3939	674	768	immediate
SUPER_1	26250122	26398002	IR	596	.	26324496	0.596	0.887	595	147862	26250122	26322578	26325546	26398002	41884646	26250000	26500000	0	1234	72456	2968	spaced
SUPER_1	19508890	19511575	IR	585	.	19510563	0.585	0.784	36	2666	19508890	19509629	19510911	19511575	41884646	19400000	19650000	0	1837	664	1282	immediate
SUPER_1	27692908	27761494	IR	578	.	27727547	0.578	0.825	140	68523	27692908	27723917	27730485	27761547	41884646	27550000	27800000	0	2953	31009	6568	spaced
SUPER_1	29819961	29822520	IR	573	.	29821242	0.573	0.973	114	2765	29819961	29820801	29821680	29822523	41884646	29600000	29850000	114	3687	840	879	immediate
SUPER_1	21364635	21366555	IR	566	.	21365600	0.566	0.952	126	2112	21364635	21365332	21365874	21366555	41884646	21150000	21400000	126	3593	681	542	immediate
SUPER_1	24465268	24668149	IR	555	.	24566359	0.555	0.564	696	202295	24465268	24551290	24582127	24668183	41884646	24450000	24700000	0	1945	86022	30837	spaced
SUPER_1	30825269	30827720	IR	527	.	30826706	0.527	0.000	45	2554	30825269	30825324	30827665	30827847	41884646	30700000	30950000	6	2107	55	2341	spaced
SUPER_1	21641381	21643728	IR	509	.	21642570	0.509	0.893	47	2387	21641381	21642131	21642978	21643753	41884646	21600000	21850000	47	709	750	847	immediate
SUPER_1	24726514	24855218	IR	503	.	24791346	0.503	0.888	61	127496	24726514	24727722	24854010	24855294	41884646	24700000	24950000	0	1514	1208	126288	wide
SUPER_1	18775485	18779155	IR	484	.	18777320	0.484	0.984	161	3987	18775485	18776438	18778202	18779155	41884646	18550000	18800000	161	3788	953	1764	immediate
SUPER_1	41720142	41766907	IR	462	.	41743661	0.462	0.554	49	46739	41720142	41720261	41766842	41766907	41884646	41550000	41800000	809	3225	65	46581	spaced
SUPER_1	18915128	18917358	IR	417	.	18916245	0.417	0.934	41	2276	18915128	18915643	18916846	18917358	41884646	18900000	19150000	41	270	512	1203	immediate
SUPER_1	17911892	18101024	IR	398	.	18006605	0.398	0.943	25	189120	17911892	17912259	18100657	18101024	41884646	17900000	18150000	25	1774	367	188398	wide
SUPER_1	30137015	30137969	IR	390	.	30137492	0.390	0.957	39	83031	30137015	30137360	30137625	30137969	41884646	30000000	30250000	39	2291	344	265	immediate
SUPER_1	14577473	14651023	IR	390	.	14613855	0.390	0.781	22	73568	14577473	14577767	14650729	14651067	41884646	14450000	14700000	0	2737	294	72962	spaced
SUPER_1	21421193	21544833	IR	389	.	21483428	0.389	0.963	92	123615	21421193	21422235	21543791	21544835	41884646	21300000	21550000	0	3050	1042	121556	wide
SUPER_1	19898424	19937348	IR	388	.	19918017	0.388	0.976	105	39052	19898424	19899082	19936690	19937351	41884646	19700000	19950000	105	3631	658	37608	spaced
SUPER_1	16848892	16857342	IR	387	.	16852723	0.387	0.933	110	8459	16848892	16850156	16856078	16857369	41884646	16650000	16900000	0	3385	1264	5922	spaced
SUPER_1	16340146	16478419	IR	382	.	16409112	0.382	0.945	25	138372	16340146	16340525	16478040	16478421	41884646	16250000	16500000	25	2654	379	137515	wide
SUPER_1	19813889	19835038	IR	376	.	19824401	0.376	0.916	33	21519	19813889	19814466	19834461	19835039	41884646	19650000	19900000	33	2907	577	19995	spaced
SUPER_1	31495432	31621842	IR	370	.	31558288	0.370	0.966	52	126384	31495432	31495968	31621306	31621842	41884646	31400000	31650000	0	2643	536	125338	wide
SUPER_1	19689362	19697994	IR	369	.	19693909	0.369	0.710	78	9042	19689362	19691377	19695979	19698041	41884646	19450000	19700000	79	4061	2015	4602	spaced
SUPER_1	31925822	32038785	IR	369	.	31982414	0.369	0.407	27	113024	31925822	31936970	32027637	32038844	41884646	31800000	32050000	27	3038	11148	90667	spaced
SUPER_1	16611226	16755039	IR	368	.	16683472	0.368	0.875	91	143681	16611226	16613198	16753067	16755043	41884646	16600000	16850000	0	1385	1972	139869	wide
SUPER_1	19227821	19294517	IR	368	.	19261040	0.368	0.974	38	66849	19227821	19228126	19294212	19294517	41884646	19050000	19300000	38	3519	305	66086	spaced
SUPER_1	31061023	31247282	IR	367	.	31154417	0.367	0.969	88	186148	31061023	31061947	31246360	31247282	41884646	31000000	31250000	0	2569	922	184413	wide
SUPER_1	30509799	30586664	IR	367	.	30548359	0.367	0.932	28	76916	30509799	30510255	30586208	30586664	41884646	30500000	30750000	28	803	456	75953	spaced
SUPER_1	17450666	17632832	IR	362	.	17542083	0.362	0.883	29	182136	17450666	17451026	17632482	17632832	41884646	17400000	17650000	0	2362	350	181456	wide
SUPER_1	40496150	40644418	IR	360	.	40570059	0.360	0.647	33	148232	40496150	40496218	40644374	40644418	41884646	40450000	40700000	390	2004	44	148156	wide
SUPER_1	18548549	18611207	IR	359	.	18580319	0.359	0.985	43	62636	18548549	18548885	18610871	18611208	41884646	18400000	18650000	0	2997	336	61986	spaced
SUPER_1	19372524	19396205	IR	359	.	19384235	0.359	0.429	29	24099	19372524	19377930	19390799	19396271	41884646	19250000	19500000	29	2239	5406	12869	spaced
SUPER_1	19603583	19666447	IR	358	.	19634667	0.358	0.405	24	62833	19603583	19635022	19635008	19666465	41884646	19450000	19700000	0	3083	31439	-14	overlap
SUPER_1	8150972	8153045	IR	357	.	8152009	0.357	0.998	145	2232	8150972	8151624	8152393	8153045	41884646	7950000	8200000	145	3366	652	769	immediate
SUPER_1	33903046	33980282	IR	357	.	33941416	0.357	1.000	89	79525	33903046	33903063	33980265	33980282	41884646	33750000	34000000	1	3194	17	77202	spaced
SUPER_1	19988252	20122133	IR	357	.	20054873	0.357	0.945	54	133861	19988252	19988811	20121581	20122133	41884646	19900000	20150000	0	2586	552	132770	wide
SUPER_1	18440866	18450353	IR	357	.	18446015	0.357	0.822	24	9390	18440866	18441378	18449841	18450354	41884646	18250000	18500000	0	3260	512	8463	spaced
SUPER_1	31639582	31840530	IR	352	.	31740542	0.352	0.390	20	200713	31639582	31706134	31773978	31840532	41884646	31600000	31850000	0	2334	66552	67844	spaced
SUPER_1	17652377	17857939	IR	351	.	17754974	0.351	0.941	96	206050	17652377	17653380	17856936	17857940	41884646	17650000	17900000	96	1752	1003	203556	wide
SUPER_1	18658910	18676569	IR	351	.	18667996	0.351	0.969	83	17603	18658910	18659790	18675689	18676569	41884646	18450000	18700000	0	3628	880	15899	spaced
