#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
ptg000001c	1367157	1556541	IR	607	.	1461848	0.607	0.456	328	189811	1367157	1460811	1462887	1556643	2449395	1350000	1600000	328	1864	93654	2076	spaced
ptg000001c	1704226	1810960	IR	485	.	1757363	0.485	0.998	404	212846	1704226	1705161	1810025	1810961	2449395	1650000	1900000	199	1793	935	104864	wide
ptg000001c	83321	239422	IR	449	.	161395	0.449	0.470	375	156599	83321	160382	162408	239422	2449395	50000	300000	375	1856	77014	2026	spaced
ptg000001c	250520	386484	IR	434	.	318837	0.434	0.467	578	135974	250520	308358	328646	386519	2449395	250000	500000	0	1141	57838	20288	spaced
ptg000001c	930858	974107	IR	419	.	952519	0.419	0.998	707	43993	930858	934183	970782	974108	2449395	800000	1050000	707	2541	3325	36599	spaced
ptg000001c	1182921	1359660	IR	412	.	1271435	0.412	0.464	381	177184	1182921	1253846	1288769	1359660	2449395	1150000	1400000	381	2021	70891	34923	spaced
ptg000001c	2066176	2074544	IR	406	.	2070481	0.406	0.760	361	8841	2066176	2069255	2071465	2074624	2449395	1900000	2150000	361	2839	3079	2210	spaced
ptg000001c	1938583	2048474	IR	403	.	1993180	0.403	0.490	482	109972	1938583	1969014	2018043	2048580	2449395	1850000	2100000	0	2392	30431	49029	spaced
ptg000001c	494151	666947	IR	397	.	580975	0.397	0.974	432	172771	494151	496689	664409	666947	2449395	450000	700000	0	2175	2538	167720	wide
ptg000001c	2199032	2224067	IR	392	.	2211683	0.392	0.954	439	28596	2199032	2203076	2220025	2224067	2449395	2000000	2250000	439	3525	4042	16949	spaced
ptg000001c	2276025	2385811	IR	391	.	2331018	0.391	0.580	309	110175	2276025	2281826	2380010	2385856	2449395	2150000	2400000	309	3015	5801	98184	spaced
ptg000001c	976038	1074067	IR	378	.	1024959	0.378	0.906	728	98827	976038	980777	1069328	1074068	2449395	850000	1100000	728	2917	4739	88551	spaced
ptg000001c	1076166	1109305	IR	373	.	1092286	0.373	0.831	382	33119	1076166	1079732	1105750	1109305	2449395	1050000	1300000	0	712	3555	26018	spaced
ptg000001c	415496	425606	IR	366	.	421002	0.366	0.996	511	10081	415496	418435	422667	425606	2449395	350000	600000	0	1175	2939	4232	spaced
ptg000001c	823187	908885	IR	366	.	865638	0.366	0.488	324	85677	823187	863478	868617	908885	2449395	700000	950000	0	2767	40268	5139	spaced
ptg000001c	2393456	2422539	IR	364	.	2407639	0.364	0.741	376	29083	2393456	2397839	2418156	2422566	2449395	2200000	2449395	0	3466	4383	20317	spaced
ptg000001c	1574661	1651013	IR	361	.	1612602	0.361	0.991	389	90925	1574661	1575570	1650109	1651013	2449395	1550000	1800000	173	1047	904	74539	spaced
ptg000001c	686761	760106	IR	355	.	723289	0.355	0.456	345	73683	686761	715252	731615	760121	2449395	650000	900000	345	1223	28491	16363	spaced
