#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	5913347	5916181	IR	997	.	5914760	0.997	0.983	286	16659	5913347	5914605	5914923	5916187	40390157	5700000	5950000	286	3579	1258	318	immediate
SUPER_Z	40255153	40257809	IR	975	.	40256481	0.975	0.999	237	81956	40255153	40256279	40256683	40257809	40390157	40100000	40350000	237	2607	1126	404	immediate
SUPER_Z	34559797	34561935	IR	965	.	34560866	0.965	0.986	154	2255	34559797	34560680	34561052	34561935	40390157	34350000	34600000	154	3514	883	372	immediate
SUPER_Z	900929	906391	IR	942	.	903660	0.942	1.000	563	200374	900929	903307	904013	906391	40390157	800000	1050000	563	1727	2378	706	immediate
SUPER_Z	14063569	14065797	IR	937	.	14064683	0.937	0.999	190	2388	14063569	14064462	14064904	14065797	40390157	13950000	14200000	190	1911	893	442	immediate
SUPER_Z	1143601	1145799	IR	937	.	1144700	0.937	0.999	181	2388	1143601	1144468	1144932	1145799	40390157	900000	1150000	181	4078	867	464	immediate
SUPER_Z	37977607	37979837	IR	937	.	37978722	0.937	0.997	181	2388	37977607	37978536	37978908	37979837	40390157	37750000	38000000	181	3811	929	372	immediate
SUPER_Z	24010506	24012577	IR	902	.	24011542	0.902	0.988	159	2318	24010506	24011367	24011717	24012577	40390157	23800000	24050000	159	3525	860	350	immediate
SUPER_Z	37118064	37121428	IR	896	.	37119504	0.896	0.950	105	142026	37118064	37119216	37120276	37121428	40390157	36950000	37200000	105	2828	1152	1060	immediate
SUPER_Z	26929016	26932428	IR	893	.	26930722	0.893	0.964	200	3787	26929016	26930432	26931012	26932428	40390157	26700000	26950000	200	3845	1416	580	immediate
SUPER_Z	17418614	17420160	IR	888	.	17419387	0.888	0.992	134	99015	17418614	17419280	17419494	17420160	40390157	17300000	17550000	134	1989	666	214	immediate
SUPER_Z	19600397	19602047	IR	887	.	19601222	0.887	0.985	124	25640	19600397	19601115	19601329	19602047	40390157	19500000	19750000	124	1686	718	214	immediate
SUPER_Z	39738985	39740597	IR	886	.	39739791	0.886	0.990	123	80077	39738985	39739684	39739898	39740597	40390157	39650000	39900000	123	1496	699	214	immediate
SUPER_Z	10058376	10061286	IR	879	.	10059831	0.879	0.999	258	3156	10058376	10059532	10060130	10061286	40390157	9850000	10100000	258	3497	1156	598	immediate
SUPER_Z	32887383	32889010	IR	868	.	32888196	0.868	0.986	106	160189	32887383	32887939	32888454	32889012	40390157	32750000	33000000	106	2303	556	515	immediate
SUPER_Z	4131173	4132795	IR	868	.	4131984	0.868	0.979	98	11312	4131173	4131886	4132082	4132795	40390157	3900000	4150000	98	3866	713	196	immediate
SUPER_Z	8561403	8566644	IR	838	.	8564026	0.838	0.989	409	5728	8561403	8563567	8564485	8566644	40390157	8400000	8650000	409	2733	2159	918	immediate
SUPER_Z	31534561	31537123	IR	810	.	31536084	0.810	0.971	84	2532	31534561	31535312	31536372	31537123	40390157	31300000	31550000	0	3930	751	1060	immediate
SUPER_Z	6711793	6769915	IR	787	.	6740854	0.787	0.394	123	58324	6711793	6740747	6740961	6769926	40390157	6550000	6800000	123	3180	28954	214	immediate
SUPER_Z	35146994	35150269	IR	785	.	35148851	0.785	0.979	131	38517	35146994	35147813	35149450	35150269	40390157	34950000	35200000	130	3310	819	1637	immediate
SUPER_Z	27214747	27216452	IR	778	.	27215600	0.778	0.986	145	151103	27214747	27215484	27215716	27216452	40390157	27050000	27300000	145	2759	736	232	immediate
SUPER_Z	30748988	30775562	IR	773	.	30762275	0.773	0.430	151	26956	30748988	30762115	30762435	30775660	40390157	30650000	30900000	190	1871	13127	320	immediate
SUPER_Z	35238281	35240202	IR	772	.	35239240	0.772	0.986	125	2049	35238281	35238854	35239629	35240204	40390157	35150000	35400000	126	1487	573	775	immediate
SUPER_Z	14721503	14723536	IR	772	.	14722519	0.772	0.973	106	2190	14721503	14722139	14722906	14723536	40390157	14500000	14750000	106	3708	630	767	immediate
SUPER_Z	21739784	21741291	IR	761	.	21740539	0.761	0.983	111	15360	21739784	21740380	21740698	21741291	40390157	21650000	21900000	111	1508	593	318	immediate
SUPER_Z	5313282	5315611	IR	758	.	5314628	0.758	0.943	54	2348	5313282	5313961	5314932	5315611	40390157	5250000	5500000	54	1073	679	971	immediate
SUPER_Z	29475104	29476618	IR	755	.	29475861	0.755	0.977	74	48308	29475104	29475632	29476090	29476618	40390157	29300000	29550000	74	2930	528	458	immediate
SUPER_Z	9157285	9158895	IR	750	.	9158090	0.750	0.978	87	2777	9157285	9157840	9158340	9158897	40390157	9000000	9250000	87	2634	555	500	immediate
SUPER_Z	33614518	33828053	IR	745	.	33721285	0.745	0.381	196	213864	33614518	33721012	33721559	33828114	40390157	33600000	33850000	196	2021	106494	547	immediate
