#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	50680728	50759815	IR	958	.	50720301	0.958	0.403	184	97592	50680728	50719935	50720667	50759815	115983657	50600000	50850000	184	2004	39148	732	immediate
SUPER_1	63607871	63609995	IR	958	.	63608933	0.958	0.968	104	2391	63607871	63608783	63609083	63609995	115983657	63400000	63650000	104	3482	912	300	immediate
SUPER_1	108439439	108441557	IR	956	.	108440498	0.956	0.962	107	2343	108439439	108440334	108440662	108441557	115983657	108200000	108450000	107	4008	895	328	immediate
SUPER_1	40429843	40431950	IR	955	.	40430887	0.955	0.912	96	2428	40429843	40430703	40431090	40431959	115983657	40300000	40550000	96	2181	860	387	immediate
SUPER_1	64989014	64991180	IR	925	.	64990097	0.925	0.961	91	2345	64989014	64989808	64990386	64991180	115983657	64800000	65050000	91	3168	794	578	immediate
SUPER_1	50764590	50766736	IR	912	.	50765663	0.912	0.973	113	2345	50764590	50765405	50765921	50766736	115983657	50750000	51000000	113	260	815	516	immediate
SUPER_1	113036005	113142670	IR	900	.	113089680	0.900	0.395	240	55424	113036005	113089311	113089364	113142771	115983657	112950000	113200000	0	2322	53306	53	immediate
SUPER_1	3884438	3887002	IR	899	.	3885720	0.899	0.979	130	2862	3884438	3885356	3886084	3887002	115983657	3650000	3900000	130	3928	918	728	immediate
SUPER_1	2064291	2066327	IR	885	.	2065316	0.885	0.967	125	2329	2064291	2065027	2065605	2066327	115983657	1850000	2100000	125	3588	722	578	immediate
SUPER_1	96346115	96348248	IR	877	.	96347181	0.877	0.953	116	2349	96346115	96346999	96347364	96348259	115983657	96100000	96350000	116	4119	884	365	immediate
SUPER_1	57285041	57287186	IR	861	.	57286114	0.861	0.964	112	2345	57285041	57285952	57286275	57287187	115983657	57050000	57300000	112	3935	911	323	immediate
SUPER_1	18832518	18970458	IR	857	.	18901488	0.857	0.538	223	158775	18832518	18901191	18901785	18970495	115983657	18750000	19000000	223	2524	68673	594	immediate
