#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	26667663	26670327	IR	754	.	26668995	0.754	0.970	134	3580	26667663	26668495	26669495	26670327	37068231	26450000	26700000	134	3649	832	1000	immediate
SUPER_1	18322228	18324838	IR	418	.	18323533	0.418	0.945	34	2610	18322228	18322668	18324398	18324838	37068231	18100000	18350000	34	3725	440	1730	immediate
SUPER_1	12071685	12153649	IR	406	.	12112590	0.406	0.814	22	82486	12071685	12073472	12151862	12153668	37068231	12000000	12250000	22	1877	1787	78390	spaced
SUPER_1	28675483	28678038	IR	405	.	28676761	0.405	0.850	39	2636	28675483	28675927	28677595	28678038	37068231	28450000	28700000	39	3779	443	1668	immediate
SUPER_1	13709227	13716251	IR	390	.	13712296	0.390	0.886	50	6999	13709227	13710124	13715354	13716257	37068231	13650000	13900000	0	1045	897	5230	spaced
SUPER_1	4748130	4764885	IR	382	.	4756929	0.382	0.959	203	16740	4748130	4749940	4763075	4764889	37068231	4550000	4800000	0	3441	1810	13135	spaced
SUPER_1	3257813	3309460	IR	380	.	3283377	0.380	0.923	45	51608	3257813	3258656	3308617	3309461	37068231	3100000	3350000	0	3060	843	49961	spaced
SUPER_1	13487987	13518403	IR	377	.	13503337	0.377	0.998	232	30689	13487987	13489095	13517295	13518403	37068231	13300000	13550000	232	3386	1108	28200	spaced
SUPER_1	15932513	15934676	IR	376	.	15933600	0.376	0.852	46	2196	15932513	15933379	15933855	15934676	37068231	15750000	16000000	46	3059	821	476	immediate
SUPER_1	34952528	35059210	IR	375	.	35005440	0.375	0.895	138	106751	34952528	34955074	35056664	35059298	37068231	34950000	35200000	0	931	2546	101590	wide
SUPER_1	16017622	16158807	IR	375	.	16088587	0.375	0.885	97	141244	16017622	16019798	16156631	16158890	37068231	16000000	16250000	0	1470	2176	136833	wide
SUPER_1	23730878	23733501	IR	372	.	23732190	0.372	0.988	88	2758	23730878	23731303	23733077	23733501	37068231	23500000	23750000	88	3869	424	1774	immediate
SUPER_1	18184424	18187735	IR	371	.	18186083	0.371	0.812	40	3331	18184424	18185364	18186889	18187735	37068231	18000000	18250000	41	3101	846	1525	immediate
SUPER_1	31938906	32052510	IR	368	.	31996178	0.368	0.846	69	113628	31938906	31941863	32049553	32052553	37068231	31850000	32100000	0	2428	2957	107690	wide
SUPER_1	31820829	31933650	IR	366	.	31877098	0.366	0.816	44	113157	31820829	31823101	31931378	31933667	37068231	31750000	32000000	44	2120	2272	108277	wide
SUPER_1	25785534	25910935	IR	365	.	25848334	0.365	0.939	64	125802	25785534	25786355	25910115	25910935	37068231	25700000	25950000	64	2470	820	123760	wide
SUPER_1	9090751	9279053	IR	365	.	9184560	0.365	0.667	25	188258	9090751	9090817	9279009	9279053	37068231	9050000	9300000	0	2248	44	188192	wide
SUPER_1	16979071	17083419	IR	363	.	17031718	0.363	0.900	87	104231	16979071	16981406	17081096	17083419	37068231	16850000	17100000	0	3020	2323	99690	spaced
SUPER_1	7075750	7192072	IR	363	.	7134313	0.363	0.924	57	116310	7075750	7076732	7191090	7192083	37068231	6950000	7200000	0	3065	982	114358	wide
SUPER_1	3535542	3626276	IR	363	.	3581237	0.363	0.931	23	90682	3535542	3535596	3626222	3626280	37068231	3450000	3700000	0	2181	54	90626	spaced
SUPER_1	18910494	19014345	IR	362	.	18962909	0.362	0.856	24	103828	18910494	18911155	19013684	19014349	37068231	18800000	19050000	0	2706	661	102529	wide
SUPER_1	18426484	18612784	IR	360	.	18519814	0.360	0.912	29	186287	18426484	18427165	18612108	18612784	37068231	18400000	18650000	29	1993	676	184943	wide
SUPER_1	22118670	22204288	IR	357	.	22161965	0.357	0.897	133	85630	22118670	22122178	22200780	22204318	37068231	22000000	22250000	0	2691	3508	78602	spaced
SUPER_1	30035769	30102377	IR	357	.	30068675	0.357	0.828	132	66590	30035769	30043664	30094559	30102377	37068231	30000000	30250000	0	1151	7818	50895	spaced
SUPER_1	4677951	4693614	IR	357	.	4685975	0.357	0.902	37	15686	4677951	4678794	4692773	4693614	37068231	4450000	4700000	37	3929	841	13979	spaced
SUPER_1	33918137	34039754	IR	356	.	33978918	0.356	0.866	61	121949	33918137	33920322	34037569	34039769	37068231	33800000	34050000	61	2982	2185	117247	wide
SUPER_1	8614979	8626909	IR	355	.	8620634	0.355	0.835	55	11820	8614979	8616308	8625598	8626909	37068231	8400000	8650000	0	3682	1311	9290	spaced
SUPER_1	5365372	5371128	IR	354	.	5368062	0.354	0.998	122	5849	5365372	5365909	5370591	5371128	37068231	5150000	5400000	122	3637	537	4682	spaced
SUPER_1	13779310	13984828	IR	354	.	13882157	0.354	0.874	115	206461	13779310	13784939	13979199	13984889	37068231	13750000	14000000	115	2201	5629	194260	wide
SUPER_1	35564348	35567805	IR	353	.	35566189	0.353	0.829	76	3689	35564348	35564716	35567437	35567875	37068231	35350000	35600000	76	3601	368	2721	spaced
SUPER_1	4970905	5188488	IR	353	.	5079410	0.353	0.899	33	217564	4970905	4971689	5187704	5188488	37068231	4950000	5200000	0	2161	784	216015	wide
