#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	34167823	34171087	IR	894	.	34169455	0.894	0.997	262	3727	34167823	34169103	34169807	34171087	35309585	33921879	34171879	262	4126	1280	704	immediate
SUPER_1	2974407	2982397	IR	881	.	2978403	0.881	0.997	741	8722	2974407	2977862	2978944	2982397	35309585	2750000	3000000	741	3806	3453	1082	immediate
SUPER_1	6046496	6049942	IR	825	.	6047919	0.825	0.887	63	3465	6046496	6047724	6048714	6049989	35309585	6000000	6250000	0	803	1228	990	immediate
SUPER_1	872831	878720	IR	811	.	875504	0.811	0.819	95	5794	872831	875181	876370	878735	35309585	650000	900000	0	3762	2350	1189	immediate
SUPER_1	31422922	31433073	IR	725	.	31428399	0.725	0.900	417	10137	31422922	31426618	31429377	31433103	35309585	31221879	31471879	0	3435	3696	2759	spaced
SUPER_1	3124239	3126201	IR	722	.	3125220	0.722	0.989	91	2046	3124239	3124772	3125668	3126201	35309585	3000000	3250000	91	2086	533	896	immediate
SUPER_1	8346661	8348609	IR	710	.	8347635	0.710	0.989	95	2054	8346661	8347183	8348087	8348609	35309585	8289043	8539043	95	976	522	904	immediate
SUPER_1	14233793	14235834	IR	693	.	14234817	0.693	0.976	149	2389	14233793	14234614	14235013	14235841	35309585	14021879	14271879	149	3548	821	399	immediate
SUPER_1	11350667	11355289	IR	675	.	11352978	0.675	0.996	348	5036	11350667	11352353	11353603	11355289	35309585	11139043	11389043	348	3565	1686	1250	immediate
SUPER_1	33500252	33504578	IR	672	.	33502355	0.672	0.929	119	4571	33500252	33501915	33502915	33504586	35309585	33271879	33521879	119	3842	1663	1000	immediate
SUPER_1	14072897	14074784	IR	669	.	14073845	0.669	0.960	119	2014	14072897	14073588	14074093	14074793	35309585	14021879	14271879	119	865	691	505	immediate
SUPER_1	16517989	16520635	IR	627	.	16519312	0.627	0.969	170	2865	16517989	16518717	16519907	16520656	35309585	16271879	16521879	170	4123	728	1190	immediate
SUPER_1	34828789	34830871	IR	619	.	34829830	0.619	0.985	111	2188	34828789	34829469	34830195	34830871	35309585	34671879	34921879	111	2632	676	726	immediate
SUPER_1	25620879	25622545	IR	615	.	25621712	0.615	0.995	74	93906	25620879	25621248	25622176	25622545	35309585	25521879	25771879	74	1663	369	928	immediate
SUPER_1	34808828	34810806	IR	615	.	34809848	0.615	0.886	73	2089	34808828	34809640	34809994	34810868	35309585	34621879	34871879	73	3132	812	354	immediate
SUPER_1	24106051	24108279	IR	576	.	24107165	0.576	0.986	134	2376	24106051	24106766	24107564	24108283	35309585	23871879	24121879	134	3921	715	798	immediate
SUPER_1	15637050	15639798	IR	545	.	15638424	0.545	0.966	125	2968	15637050	15637958	15638893	15639798	35309585	15471879	15721879	125	2775	905	935	immediate
SUPER_1	30475349	30477625	IR	530	.	30476487	0.530	0.943	79	2386	30475349	30475947	30477027	30477639	35309585	30321879	30571879	79	2576	598	1080	immediate
SUPER_1	13385614	13387514	IR	525	.	13386562	0.525	0.960	76	167422	13385614	13386228	13386900	13387514	35309585	13239043	13489043	76	2458	614	672	immediate
SUPER_1	31266042	31266982	IR	515	.	31266512	0.515	1.000	50	21391	31266042	31266269	31266755	31266982	35309585	31171879	31421879	50	1577	227	486	immediate
SUPER_1	22502999	22505285	IR	505	.	22504164	0.505	0.862	66	2398	22502999	22503857	22504427	22505343	35309585	22471879	22721879	66	537	858	570	immediate
SUPER_1	22776745	22779133	IR	504	.	22777939	0.504	1.000	107	2472	22776745	22777225	22778653	22779133	35309585	22571879	22821879	107	3434	480	1428	immediate
SUPER_1	4926420	4928599	IR	499	.	4927532	0.499	0.920	95	2359	4926420	4927038	4927981	4928644	35309585	4750000	5000000	95	2958	618	943	immediate
SUPER_1	2117909	2120227	IR	495	.	2119068	0.495	0.984	53	2351	2117909	2118276	2119860	2120228	35309585	2000000	2250000	53	1984	367	1584	immediate
SUPER_1	14795915	14798191	IR	494	.	14797053	0.494	0.974	49	2356	14795915	14796261	14797845	14798195	35309585	14571879	14821879	49	3752	346	1584	immediate
SUPER_1	9094726	9097038	IR	493	.	9095882	0.493	0.981	51	2348	9094726	9095103	9096661	9097038	35309585	8889043	9139043	51	3447	377	1558	immediate
SUPER_1	24285684	24287967	IR	492	.	24286826	0.492	0.991	61	2349	24285684	24286003	24287649	24287967	35309585	24071879	24321879	61	3582	318	1646	immediate
SUPER_1	34879247	34941236	IR	489	.	34910646	0.489	0.473	80	54291	34879247	34889987	34930496	34941299	35309585	34721879	34971879	0	3139	10740	40509	spaced
SUPER_1	3196992	3199268	IR	485	.	3198130	0.485	0.983	57	2345	3196992	3197286	3198974	3199271	35309585	3150000	3400000	57	802	294	1688	immediate
SUPER_1	29935808	29938058	IR	476	.	29936933	0.476	0.966	52	2273	29935808	29936311	29937557	29938058	35309585	29721879	29971879	52	3584	501	1246	immediate
SUPER_1	32885159	32889131	IR	474	.	32887145	0.474	0.969	167	10801	32885159	32886300	32887990	32889137	35309585	32671879	32921879	167	3587	1141	1690	immediate
SUPER_1	30436839	30438957	IR	466	.	30437899	0.466	0.975	71	2162	30436839	30437326	30438472	30438957	35309585	30221879	30471879	71	3600	485	1146	immediate
SUPER_1	10432490	10435368	IR	451	.	10433929	0.451	0.991	119	2988	10432490	10433151	10434707	10435368	35309585	10189043	10439043	119	4081	661	1556	immediate
SUPER_1	23362588	23364884	IR	448	.	23363668	0.448	0.966	49	2424	23362588	23362909	23364570	23364884	35309585	23221879	23471879	49	2364	314	1661	immediate
SUPER_1	15004827	15007419	IR	441	.	15006123	0.441	0.919	54	2625	15004827	15005407	15006839	15007441	35309585	14821879	15071879	54	3070	580	1432	immediate
SUPER_1	15505787	15508103	IR	437	.	15506945	0.437	0.988	58	2356	15505787	15506121	15507769	15508103	35309585	15271879	15521879	58	3917	334	1648	immediate
SUPER_1	6229993	6431466	IR	431	.	6331174	0.431	0.963	63	201448	6229993	6230658	6430801	6431470	35309585	6200000	6450000	0	2178	665	200143	wide
SUPER_1	34136112	34138398	IR	426	.	34137255	0.426	0.990	57	2352	34136112	34136409	34138101	34138398	35309585	33921879	34171879	57	3589	297	1692	immediate
SUPER_1	6557133	6559470	IR	411	.	6558303	0.411	0.983	65	2389	6557133	6557547	6559059	6559470	35309585	6350000	6600000	65	3471	411	1512	immediate
SUPER_1	5212713	5220414	IR	407	.	5216236	0.407	0.980	170	7678	5212713	5213970	5219161	5220414	35309585	5000000	5250000	0	3609	1253	5191	spaced
SUPER_1	2744591	2747979	IR	406	.	2746286	0.406	0.987	240	3838	2744591	2745815	2746758	2747979	35309585	2500000	2750000	240	4104	1221	943	immediate
SUPER_1	28296055	28299276	IR	399	.	28297666	0.399	0.966	78	3280	28296055	28296739	28298593	28299276	35309585	28071879	28321879	78	3762	683	1854	immediate
SUPER_1	19004291	19007225	IR	393	.	19005758	0.393	1.000	130	3055	19004291	19004850	19006666	19007225	35309585	18771879	19021879	130	3897	559	1816	immediate
SUPER_1	34514854	34517212	IR	389	.	34516020	0.389	0.686	26	2175	34514854	34515621	34516445	34517325	35309585	34371879	34621879	26	2402	767	824	immediate
SUPER_1	4905826	4908123	IR	382	.	4907001	0.382	0.861	139	2466	4905826	4906757	4907192	4908176	35309585	4700000	4950000	139	3449	931	435	immediate
SUPER_1	26238141	26355760	IR	382	.	26296581	0.382	0.951	34	117590	26238141	26238549	26355353	26355760	35309585	26121879	26371879	0	2917	407	116804	wide
SUPER_1	18542456	18545646	IR	381	.	18543946	0.381	0.915	22	3179	18542456	18542769	18545340	18545646	35309585	18321879	18571879	22	3702	306	2571	spaced
SUPER_1	16797970	16977008	IR	377	.	16887837	0.377	0.951	88	179024	16797970	16798957	16976021	16977012	35309585	16771879	17021879	0	1926	987	177064	wide
SUPER_1	32616068	32620234	IR	377	.	32618127	0.377	0.688	67	4292	32616068	32617779	32618523	32620301	35309585	32371879	32621879	67	4104	1711	744	immediate
SUPER_1	22771530	22775427	IR	375	.	22773526	0.375	0.908	198	4083	22771530	22772655	22774397	22775427	35309585	22671879	22921879	198	1693	1030	1742	immediate
SUPER_1	1590930	1696108	IR	374	.	1644011	0.374	0.949	183	105157	1590930	1592544	1694535	1696108	35309585	1450000	1700000	0	3225	1573	101991	wide
