#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	13717152	13726966	IR	998	.	13722059	0.998	1.000	978	53879	13717152	13721507	13722611	13726966	33741088	13650000	13900000	978	1200	4355	1104	immediate
SUPER_1	11271815	11273641	IR	981	.	11272728	0.981	0.994	170	109420	11271815	11272621	11272835	11273641	33741088	11150000	11400000	170	2045	806	214	immediate
SUPER_1	12758500	12760408	IR	954	.	12759454	0.954	0.994	159	2036	12758500	12759308	12759600	12760408	33741088	12550000	12800000	159	3490	808	292	immediate
SUPER_1	17695713	17697455	IR	941	.	17696584	0.941	1.000	163	42021	17695713	17696468	17696700	17697455	33741088	17500000	17750000	163	3276	755	232	immediate
SUPER_1	12461275	12462875	IR	925	.	12461909	0.925	0.981	146	118746	12461275	12461897	12462253	12462883	33741088	12300000	12550000	146	2701	622	356	immediate
SUPER_1	13554693	13556207	IR	842	.	13555450	0.842	1.000	153	136109	13554693	13555347	13555553	13556207	33741088	13450000	13700000	154	1757	654	206	immediate
SUPER_1	15073882	15075980	IR	717	.	15074931	0.717	0.974	130	2334	15073882	15074711	15075151	15075981	33741088	14850000	15100000	130	3748	829	440	immediate
SUPER_1	9719560	9863523	IR	637	.	9791722	0.637	1.000	73	72595	9719560	9719577	9863506	9863523	33741088	9650000	9900000	1	2358	17	143929	wide
SUPER_1	8760990	8763667	IR	619	.	8762019	0.619	0.999	139	2660	8760990	8761787	8762870	8763667	33741088	8550000	8800000	0	3538	797	1083	immediate
SUPER_1	13637292	13647972	IR	564	.	13642632	0.564	0.482	120	10817	13637292	13642551	13642713	13648001	33741088	13400000	13650000	120	4043	5259	162	immediate
SUPER_1	17335591	17431341	IR	507	.	17383491	0.507	0.386	26	221158	17335591	17383105	17383827	17431372	33741088	17250000	17500000	28	2224	47514	722	immediate
SUPER_1	32570163	32711081	IR	490	.	32640674	0.490	0.387	58	159686	32570163	32639128	32642116	32711129	33741088	32500000	32750000	58	2343	68965	2988	spaced
SUPER_1	19741245	19743243	IR	481	.	19742244	0.481	1.000	53	2030	19741245	19741504	19742984	19743243	33741088	19500000	19750000	53	4037	259	1480	immediate
SUPER_1	22366822	22367436	IR	479	.	22367151	0.479	0.861	59	133050	22366822	22367095	22367163	22367480	33741088	22200000	22450000	63	2785	273	68	immediate
SUPER_1	2281795	2283906	IR	476	.	2283018	0.476	0.892	41	2165	2281795	2282072	2283638	2283906	33741088	2100000	2350000	109	3047	268	1566	immediate
SUPER_1	7470508	7474080	IR	474	.	7472294	0.474	1.000	214	3774	7470508	7471472	7473116	7474080	33741088	7250000	7500000	214	3704	964	1644	immediate
SUPER_1	21851792	21854169	IR	472	.	21852981	0.472	0.995	89	63760	21851792	21852213	21853749	21854169	33741088	21700000	21950000	89	2549	420	1536	immediate
SUPER_1	26617364	26626128	IR	471	.	26621745	0.471	0.579	145	148954	26617364	26621309	26622183	26626139	33741088	26450000	26700000	145	2862	3945	874	immediate
SUPER_1	4079116	4081492	IR	471	.	4080304	0.471	0.973	53	2438	4079116	4079557	4081051	4081493	33741088	3900000	4150000	53	3004	441	1494	immediate
SUPER_1	279746	282092	IR	470	.	280919	0.470	0.998	89	2447	279746	280151	281687	282092	33741088	50000	300000	89	3848	405	1536	immediate
SUPER_1	2761963	2923081	IR	460	.	2842563	0.460	0.385	46	161217	2761963	2842139	2842988	2923081	33741088	2700000	2950000	46	2375	80093	849	immediate
