#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	198998629	199001033	IR	616	.	198999834	0.616	0.898	74	2546	198998629	198999467	199000200	199001033	207631701	198769409	199019409	74	3840	833	733	immediate
SUPER_1	107741092	107743572	IR	602	.	107742332	0.602	0.950	57	2521	107741092	107741691	107742973	107743572	207631701	107524118	107774118	57	3636	599	1282	immediate
SUPER_1	57998438	58135511	IR	438	.	58067349	0.438	0.383	30	136978	57998438	58039923	58094086	58135511	207631701	57909080	58159080	0	2631	41425	54163	spaced
SUPER_1	196576610	196577124	IR	436	.	196576795	0.436	0.980	31	99352	196576610	196576711	196577023	196577124	207631701	196419409	196669409	183	2624	101	312	immediate
SUPER_1	164752548	164760508	IR	428	.	164756895	0.428	0.959	115	7943	164752548	164753564	164759509	164760508	207631701	164604921	164854921	0	2526	999	5945	spaced
SUPER_1	103183	225067	IR	418	.	164098	0.418	0.994	213	122065	103183	104251	223999	225067	207631701	0	250000	213	2735	1068	119748	wide
SUPER_1	156948663	157012574	IR	397	.	156980334	0.397	0.671	65	63878	156948663	156948891	157012421	157012574	207631701	156794421	157044421	0	3103	153	63530	spaced
SUPER_1	133929362	133932561	IR	389	.	133930952	0.389	0.909	108	3961	133929362	133930183	133931740	133932564	207631701	133805633	134055633	108	2088	821	1557	immediate
SUPER_1	87511361	87512932	IR	388	.	87512154	0.388	0.828	57	58311	87511361	87511458	87512835	87512951	207631701	87380288	87630288	1064	2197	97	1377	immediate
SUPER_1	85012190	85014243	IR	383	.	85013161	0.383	0.794	51	2018	85012190	85012313	85014120	85014275	207631701	84977123	85227123	639	601	123	1807	immediate
SUPER_1	98096137	98098659	IR	365	.	98097315	0.365	0.968	52	2466	98096137	98096261	98098539	98098659	207631701	97877577	98127577	805	3663	120	2278	spaced
SUPER_1	50695623	50871697	IR	362	.	50783156	0.362	0.881	35	176015	50695623	50695741	50871593	50871697	207631701	50640830	50890830	0	2380	104	175852	wide
SUPER_1	48307366	48350491	IR	359	.	48328965	0.359	0.997	251	138610	48307366	48308458	48349401	48350491	207631701	48172372	48422372	251	2609	1090	40943	spaced
SUPER_1	46376011	46487232	IR	358	.	46431914	0.358	0.896	31	111178	46376011	46376054	46487189	46487237	207631701	46263351	46513351	0	2804	43	111135	wide
SUPER_1	46767878	46785018	IR	356	.	46776206	0.356	0.841	33	55170	46767878	46767922	46784981	46785018	207631701	46613351	46863351	85	2718	37	17059	spaced
SUPER_1	49776029	49904438	IR	354	.	49840382	0.354	0.935	61	128344	49776029	49776130	49904337	49904445	207631701	49672372	49922372	1274	2797	101	128207	wide
SUPER_1	139700163	139800853	IR	354	.	139750049	0.354	0.399	22	100704	139700163	139745031	139755985	139800886	207631701	139590163	139840163	0	2672	44868	10954	spaced
SUPER_1	36355587	36371726	IR	354	.	36363819	0.354	0.854	21	16103	36355587	36355622	36371691	36371732	207631701	36151186	36401186	128	3541	35	16069	spaced
SUPER_1	52528956	52656176	IR	353	.	52592746	0.353	0.905	26	127158	52528956	52529030	52656109	52656176	207631701	52490830	52740830	332	1695	67	127079	wide
SUPER_1	179362169	179377666	IR	351	.	179369427	0.351	0.746	48	15407	179362169	179362263	179377572	179377698	207631701	179178348	179428348	0	3192	94	15309	spaced
SUPER_1	991131	1123098	IR	351	.	1056741	0.351	0.918	40	131943	991131	991407	1122822	1123101	207631701	950000	1200000	0	1785	276	131415	wide
SUPER_1	37375853	37458732	IR	351	.	37417675	0.351	0.375	37	42621	37375853	37416199	37418386	37458733	207631701	37250017	37500017	0	2787	40346	2187	spaced
SUPER_1	124838463	124985774	IR	351	.	124911647	0.351	0.963	27	147261	124838463	124838789	124985448	124985774	207631701	124769313	125019313	0	2379	326	146659	wide
SUPER_1	74475017	74505394	IR	350	.	74490186	0.350	0.976	159	57487	74475017	74476128	74504283	74505395	207631701	74284750	74534750	159	3424	1111	28155	spaced
SUPER_1	108138733	108301500	IR	349	.	108220445	0.349	0.955	37	162749	108138733	108139287	108300946	108301500	207631701	108074118	108324118	0	2433	554	161659	wide
SUPER_1	46159112	46312341	IR	349	.	46235500	0.349	0.934	30	153168	46159112	46159169	46312284	46312345	207631701	46063351	46313351	280	2872	57	153115	wide
SUPER_1	33927466	33999971	IR	349	.	33963347	0.349	0.385	21	72448	33927466	33933786	33993715	33999971	207631701	33886343	34050986	0	1289	6256	59929	spaced
SUPER_1	150410244	150423476	IR	349	.	150416832	0.349	0.953	20	13192	150410244	150410287	150423435	150423476	207631701	150347226	150597226	204	1160	41	13148	spaced
SUPER_1	13081201	13217075	IR	348	.	13148757	0.348	0.378	39	73700	13081201	13143474	13154802	13217093	207631701	12992659	13234197	0	2607	62273	11328	spaced
