#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_X	31895478	31905300	IR	814	.	31900389	0.814	1.000	932	10752	31895478	31899611	31901167	31905300	33495590	31676318	31926318	932	3734	4133	1556	immediate
SUPER_X	5052052	5056680	IR	763	.	5054367	0.763	0.983	275	5169	5052052	5053832	5054902	5056680	33495590	4837749	5087749	275	3610	1778	1070	immediate
SUPER_X	16502209	16506538	IR	661	.	16504374	0.661	0.992	299	5253	16502209	16503768	16504980	16506538	33495590	16342174	16592174	299	2703	1558	1212	immediate
SUPER_X	28979472	28983140	IR	648	.	28981306	0.648	0.968	160	3808	28979472	28980788	28981824	28983141	33495590	28742867	28992867	160	3973	1316	1036	immediate
SUPER_X	6068125	6071908	IR	558	.	6070016	0.558	0.987	308	4077	6068125	6069709	6070324	6071908	33495590	5837749	6087749	308	3870	1584	615	immediate
SUPER_X	28711899	28714743	IR	543	.	28713321	0.543	0.956	77	3086	28711899	28712596	28714046	28714744	33495590	28492867	28742867	77	3674	697	1450	immediate
SUPER_X	31285647	31288019	IR	437	.	31286833	0.437	0.995	83	2627	31285647	31286028	31287638	31288019	33495590	31133045	31383045	83	2562	381	1610	immediate
SUPER_X	31840512	31842816	IR	430	.	31841664	0.430	0.991	65	2334	31840512	31840848	31842480	31842816	33495590	31626318	31876318	65	3588	336	1632	immediate
SUPER_X	21402868	21405720	IR	393	.	21404294	0.393	0.994	111	3055	21402868	21403413	21405175	21405720	33495590	21373629	21623629	111	510	545	1762	immediate
SUPER_X	27696133	27727362	IR	389	.	27711441	0.389	0.838	34	31167	27696133	27696195	27727300	27727374	33495590	27542867	27792867	0	2814	62	31105	spaced
SUPER_X	26826216	26935551	IR	387	.	26881079	0.387	0.826	22	109293	26826216	26826254	26935513	26935559	33495590	26742867	26992867	136	2300	38	109259	wide
SUPER_X	32564499	32569643	IR	380	.	32567082	0.380	0.992	286	6629	32564499	32565844	32568303	32569643	33495590	32518694	32599003	286	806	1340	2459	spaced
SUPER_X	29937811	29939820	IR	373	.	29938815	0.373	0.885	21	2234	29937811	29938322	29939309	29939820	33495590	29765177	30015177	21	2893	511	987	immediate
SUPER_X	656044	662529	IR	358	.	658859	0.358	0.603	47	6427	656044	656144	662471	662529	33495590	500000	750000	0	2654	58	6327	spaced
SUPER_X	32855188	32857307	IR	348	.	32856449	0.348	0.966	43	2089	32855188	32855246	32857251	32857307	33495590	32842010	33092010	692	237	56	2005	spaced
SUPER_X	22875164	23018172	IR	347	.	22946880	0.347	0.929	37	142956	22875164	22875216	23018120	23018176	33495590	22773629	23023629	469	2883	52	142904	wide
SUPER_X	32791269	32794820	IR	346	.	32793489	0.346	0.966	29	3517	32791269	32791327	32794764	32794820	33495590	32711792	32841810	0	1354	56	3437	spaced
SUPER_X	19856158	19920485	IR	345	.	19888433	0.345	0.926	34	64277	19856158	19856208	19920435	19920489	33495590	19775706	20025706	484	1876	50	64227	spaced
SUPER_X	23465520	23470288	IR	345	.	23467417	0.345	0.703	31	4722	23465520	23465594	23470236	23470288	33495590	23223629	23473629	0	4071	52	4642	spaced
SUPER_X	20439543	20610877	IR	345	.	20525480	0.345	0.571	26	171292	20439543	20439585	20610835	20610909	33495590	20375706	20625706	0	2491	42	171250	wide
SUPER_X	19047386	19190287	IR	344	.	19118448	0.344	0.400	31	142861	19047386	19047470	19190247	19190287	33495590	19025706	19275706	0	1552	40	142777	wide
