#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	23388285	23391614	IR	898	.	23390364	0.898	0.847	54	2983	23388285	23389531	23390397	23391614	29550984	23350000	23600000	0	665	1217	866	immediate
SUPER_1	9487181	9489603	IR	789	.	9488392	0.789	0.995	181	79520	9487181	9487986	9488798	9489603	29550984	9350000	9600000	181	2306	805	812	immediate
SUPER_1	22776201	22780010	IR	779	.	22778141	0.779	0.872	72	4047	22776201	22777736	22778542	22780010	29550984	22600000	22850000	124	2968	1468	806	immediate
SUPER_1	3841301	3868850	IR	712	.	3855075	0.712	0.998	2686	83654	3841301	3853267	3856892	3868850	29550984	3650000	3900000	2686	3417	11958	3625	spaced
SUPER_1	17837140	17839719	IR	711	.	17838080	0.711	0.933	81	2551	17837140	17838280	17838579	17839727	29550984	17700000	17950000	0	2307	1140	299	immediate
SUPER_1	7538656	7540457	IR	699	.	7539553	0.699	0.955	76	76290	7538656	7539143	7539971	7540457	29550984	7350000	7600000	76	3159	486	828	immediate
SUPER_1	27743931	27746329	IR	697	.	27745109	0.697	0.853	50	2588	27743931	27744826	27745434	27746399	29550984	27650000	27900000	76	1585	895	608	immediate
SUPER_1	5303152	5305520	IR	687	.	5304186	0.687	0.814	41	2594	5303152	5304002	5304670	5305620	29550984	5300000	5550000	64	72	850	668	immediate
SUPER_1	25326241	25329160	IR	686	.	25327795	0.686	0.868	42	2994	25326241	25327331	25328104	25329160	29550984	25200000	25450000	63	2128	1056	773	immediate
SUPER_1	9815843	9818255	IR	669	.	9817049	0.669	1.000	141	183435	9815843	9816477	9817621	9818255	29550984	9700000	9950000	141	1950	634	1144	immediate
SUPER_1	329189	331994	IR	663	.	330243	0.663	0.924	59	2668	329189	330536	330647	331997	29550984	100000	350000	0	3843	1347	111	immediate
SUPER_1	15791860	15794184	IR	653	.	15793373	0.653	0.917	85	2305	15791860	15792780	15793264	15794186	29550984	15600000	15850000	0	3216	920	484	immediate
SUPER_1	28185829	28189053	IR	653	.	28187299	0.653	0.897	85	3991	28185829	28187158	28187724	28189073	29550984	27950000	28200000	85	3957	1329	566	immediate
SUPER_1	27599398	27601499	IR	650	.	27600699	0.650	0.926	49	2078	27599398	27600356	27600543	27601499	29550984	27400000	27650000	0	3340	956	187	immediate
SUPER_1	3567303	3570667	IR	641	.	3568621	0.641	0.963	133	3336	3567303	3568382	3569588	3570667	29550984	3350000	3600000	0	3649	1079	1206	immediate
SUPER_1	8887302	8891173	IR	614	.	8889281	0.614	0.843	56	4094	8887302	8888918	8889557	8891236	29550984	8800000	9050000	80	1487	1616	639	immediate
SUPER_1	16314813	16378096	IR	613	.	16346848	0.613	0.382	52	63261	16314813	16345516	16347447	16378096	29550984	16150000	16400000	0	3274	30649	1931	immediate
SUPER_1	26967942	26970490	IR	612	.	26969379	0.612	0.960	103	2624	26967942	26968496	26969936	26970508	29550984	26750000	27000000	103	3653	554	1440	immediate
SUPER_1	18956364	18958087	IR	592	.	18957375	0.592	0.954	49	54399	18956364	18956929	18957522	18958087	29550984	18800000	19050000	49	2620	565	593	immediate
SUPER_1	2995473	2997832	IR	589	.	2996653	0.589	0.967	80	2458	2995473	2996106	2997200	2997832	29550984	2800000	3050000	80	3277	632	1094	immediate
SUPER_1	18327358	18329711	IR	588	.	18328535	0.588	0.966	81	2441	18327358	18327997	18329073	18329711	29550984	18100000	18350000	81	3808	638	1076	immediate
SUPER_1	808412	810769	IR	588	.	809591	0.588	0.968	79	2445	808412	809044	810138	810769	29550984	650000	900000	79	2659	631	1094	immediate
SUPER_1	20068628	20070984	IR	587	.	20069806	0.587	0.967	77	2454	20068628	20069268	20070344	20070985	29550984	19850000	20100000	77	3663	640	1076	immediate
SUPER_1	18479152	18482578	IR	582	.	18480865	0.582	0.996	204	3653	18479152	18480186	18481544	18482578	29550984	18250000	18500000	204	3847	1034	1358	immediate
