#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	6250254	6254991	IR	992	.	6252465	0.992	1.000	451	5206	6250254	6252226	6253019	6254991	15498830	6250000	6500000	451	43	1972	793	immediate
SUPER_1	15190259	15192324	IR	924	.	15191141	0.924	0.999	195	2213	15190259	15191123	15191460	15192324	15498830	14950000	15200000	195	4021	864	337	immediate
SUPER_1	6231340	6233940	IR	776	.	6232640	0.776	1.000	198	2764	6231340	6232227	6233053	6233940	15498830	6000000	6250000	198	3877	887	826	immediate
SUPER_1	7445940	7447954	IR	768	.	7446947	0.768	0.968	106	2192	7445940	7446584	7447310	7447965	15498830	7200000	7450000	106	4115	644	726	immediate
SUPER_1	9197606	9200063	IR	690	.	9198835	0.690	0.999	144	2574	9197606	9198283	9199387	9200063	15498830	9000000	9250000	144	3313	676	1104	immediate
SUPER_1	3746710	3751364	IR	668	.	3749044	0.668	0.976	301	4916	3746710	3748436	3749652	3751364	15498830	3550000	3800000	310	3317	1712	1216	immediate
SUPER_1	8990869	8992807	IR	648	.	8991838	0.648	0.995	73	100679	8990869	8991256	8992420	8992807	15498830	8800000	9050000	73	3197	387	1164	immediate
SUPER_1	3759016	3928095	IR	629	.	3843864	0.629	0.394	96	169005	3759016	3842800	3844314	3928095	15498830	3700000	3950000	0	2392	83781	1514	immediate
SUPER_1	12939252	12943680	IR	599	.	12941466	0.599	0.999	352	4854	12939252	12940725	12942207	12943680	15498830	12700000	12950000	352	4024	1473	1482	immediate
SUPER_1	1821126	1821868	IR	439	.	1821497	0.439	1.000	39	75723	1821126	1821302	1821692	1821868	15498830	1700000	1950000	39	2024	176	390	immediate
SUPER_1	13250933	13251784	IR	401	.	13251358	0.401	0.922	36	101304	13250933	13251087	13251630	13251795	15498830	13150000	13400000	36	1689	154	543	immediate
SUPER_1	14563667	14705676	IR	400	.	14635057	0.400	0.385	30	141837	14563667	14633984	14635359	14705701	15498830	14500000	14750000	0	2244	70317	1375	immediate
SUPER_1	6403432	6554609	IR	400	.	6478797	0.400	0.897	26	151211	6403432	6403571	6554470	6554609	15498830	6350000	6600000	26	2150	139	150899	wide
SUPER_1	7527219	7636986	IR	368	.	7581629	0.368	0.902	36	109748	7527219	7527667	7636568	7636986	15498830	7450000	7700000	0	2201	418	108901	wide
SUPER_1	948156	976331	IR	365	.	962151	0.365	0.452	55	28321	948156	951376	973111	976401	15498830	750000	1000000	55	3537	3220	21735	spaced
SUPER_1	2062543	2162945	IR	360	.	2112512	0.360	0.975	25	100391	2062543	2062783	2162705	2162945	15498830	2050000	2300000	25	1045	240	99922	spaced
SUPER_1	8813692	8869536	IR	359	.	8841618	0.359	0.393	24	55856	8813692	8841079	8842157	8869536	15498830	8650000	8900000	24	3193	27379	1078	immediate
SUPER_1	5497214	5616842	IR	352	.	5557064	0.352	0.971	21	119629	5497214	5497352	5616704	5616842	15498830	5400000	5650000	21	2616	138	119352	wide
SUPER_1	14725419	14791639	IR	346	.	14758169	0.346	0.933	23	66211	14725419	14725601	14791457	14791651	15498830	14600000	14850000	0	2642	182	65856	spaced
SUPER_1	3420539	3565809	IR	343	.	3492976	0.343	0.396	27	145301	3420539	3475828	3510520	3565836	15498830	3350000	3600000	27	2386	55289	34692	spaced
SUPER_1	558227	784773	IR	341	.	671854	0.341	0.960	86	226523	558227	558932	784083	784773	15498830	550000	800000	0	2024	690	225151	wide
SUPER_1	2336675	2522630	IR	341	.	2429957	0.341	1.000	35	185937	2336675	2336889	2522416	2522630	15498830	2300000	2550000	0	2160	214	185527	wide
SUPER_1	13341336	13489316	IR	340	.	13415117	0.340	0.983	55	148016	13341336	13341685	13488967	13489316	15498830	13250000	13500000	55	2755	349	147282	wide
SUPER_1	8498119	8605346	IR	340	.	8551224	0.340	0.774	20	107274	8498119	8498449	8605016	8605413	15498830	8450000	8700000	0	1695	330	106567	wide
SUPER_1	9821660	9913019	IR	339	.	9867742	0.339	0.852	51	91394	9821660	9822140	9912539	9913072	15498830	9750000	10000000	0	1955	480	90399	spaced
SUPER_1	1295102	1381044	IR	338	.	1337632	0.338	0.853	32	85922	1295102	1295594	1380566	1381044	15498830	1200000	1450000	0	2301	478	84972	spaced
SUPER_1	11077643	11275968	IR	338	.	11176622	0.338	0.993	27	198336	11077643	11077781	11275830	11275968	15498830	11050000	11300000	27	2113	138	198049	wide
SUPER_1	12055159	12099262	IR	337	.	12076790	0.337	0.788	35	44075	12055159	12055504	12098969	12099262	15498830	11900000	12150000	0	2953	293	43465	spaced
SUPER_1	9666519	9777388	IR	337	.	9722410	0.337	0.980	25	110849	9666519	9666764	9777143	9777388	15498830	9600000	9850000	0	2032	245	110379	wide
SUPER_1	7721233	7778431	IR	336	.	7750082	0.336	0.475	312	57177	7721233	7735883	7763781	7778433	15498830	7550000	7800000	0	3330	14650	27898	spaced
