#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	80785944	80789374	IR	953	.	80787664	0.953	0.986	304	3739	80785944	80787482	80787846	80789374	153338251	80650000	80900000	304	2294	1528	364	immediate
SUPER_1	49899016	49902568	IR	872	.	49900792	0.872	0.994	270	3791	49899016	49900454	49901130	49902568	153338251	49700000	49950000	270	3346	1438	676	immediate
SUPER_1	751744	758412	IR	843	.	755117	0.843	0.948	381	7270	751744	754704	755530	758412	153338251	650000	900000	395	1751	2882	826	immediate
SUPER_1	53319902	53325111	IR	784	.	53322513	0.784	0.947	211	6276	53319902	53322331	53322682	53325121	153338251	53200000	53450000	229	2041	2429	351	immediate
SUPER_1	4957549	4960158	IR	750	.	4958850	0.750	0.922	76	2764	4957549	4958457	4959250	4960165	153338251	4950000	5200000	76	147	908	793	immediate
SUPER_1	9852905	9860493	IR	729	.	9856699	0.729	0.981	551	8332	9852905	9856171	9857227	9860493	153338251	9650000	9900000	551	3444	3266	1056	immediate
SUPER_1	24845492	24856586	IR	723	.	24851034	0.723	0.991	1076	12480	24845492	24850380	24851698	24856594	153338251	24650000	24900000	1076	3350	4888	1318	immediate
SUPER_1	7275902	7280790	IR	722	.	7278346	0.722	0.957	303	5304	7275902	7277766	7278926	7280819	153338251	7050000	7300000	352	3805	1864	1160	immediate
SUPER_1	107801533	107802178	IR	721	.	107801842	0.721	0.956	28	2001	107801533	107801805	107801906	107802180	153338251	107600000	107850000	28	3364	272	101	immediate
SUPER_1	4122178	4128041	IR	672	.	4125110	0.672	0.969	337	6311	4122178	4124766	4125454	4128041	153338251	3900000	4150000	337	3751	2587	688	immediate
SUPER_1	32697590	32699986	IR	665	.	32698788	0.665	0.954	68	2515	32697590	32698461	32699116	32699986	153338251	32550000	32800000	68	2479	870	655	immediate
SUPER_1	2758499	2760807	IR	658	.	2759654	0.658	0.998	195	2532	2758499	2759364	2759942	2760809	153338251	2550000	2800000	195	3494	865	578	immediate
SUPER_1	55193829	55203751	IR	656	.	55198790	0.656	0.924	275	12378	55193829	55197602	55199978	55203801	153338251	55100000	55350000	275	1646	3773	2376	spaced
