#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	38026038	38027955	IR	656	.	38026755	0.656	0.939	42	2276	38026038	38026397	38027596	38027955	77012514	38017612	38267612	27	156	359	1199	immediate
SUPER_1	75523612	75527178	IR	576	.	75525410	0.576	0.921	109	4145	75523612	75524871	75525919	75527208	77012514	75302476	75552476	123	3715	1259	1048	immediate
SUPER_1	54703821	54744191	IR	570	.	54724291	0.570	0.989	20	40345	54703821	54704000	54744012	54744191	77012514	54525527	54775527	0	3307	179	40012	spaced
SUPER_1	44581013	44714949	IR	563	.	44648412	0.563	0.864	96	131664	44581013	44609680	44686282	44714957	77012514	44523276	44771212	0	2078	28667	76602	spaced
SUPER_1	44049899	44053783	IR	553	.	44051841	0.553	0.950	108	4052	44049899	44050910	44052772	44053784	77012514	44001517	44251517	108	838	1011	1862	immediate
SUPER_1	2713642	2728976	IR	545	.	2721761	0.545	0.801	22	15332	2713642	2714038	2728580	2729027	77012514	2696847	2730845	0	407	396	14542	spaced
SUPER_1	30105899	30134256	IR	524	.	30119582	0.524	0.833	64	28335	30105899	30106805	30133362	30134256	77012514	29940463	30182918	0	2993	894	26557	spaced
SUPER_1	12815095	12816491	IR	521	.	12815790	0.521	0.000	26	9429	12815095	12815412	12816174	12818761	77012514	12632930	12882930	26	3047	317	762	immediate
SUPER_1	12810691	12812087	IR	511	.	12811389	0.511	0.954	24	10771	12810691	12810997	12811781	12812087	77012514	12632930	12882930	24	2974	306	784	immediate
SUPER_1	4956403	4989739	IR	511	.	4973171	0.511	0.982	23	33334	4956403	4956567	4989575	4989739	77012514	4902587	5152587	23	1174	164	33008	spaced
SUPER_1	2827490	2829844	IR	505	.	2828667	0.505	0.985	78	2430	2827490	2827951	2829383	2829844	77012514	2826015	3028873	78	44	461	1432	immediate
SUPER_1	10926863	10930495	IR	498	.	10928824	0.498	0.977	25	3699	10926863	10927083	10930275	10930495	77012514	10689930	10939930	25	3979	220	3192	spaced
SUPER_1	24219039	24317895	IR	497	.	24268994	0.497	0.376	52	76382	24219039	24242422	24294618	24317895	77012514	24070873	24320873	0	3293	23277	52196	spaced
SUPER_1	3206232	3259520	IR	482	.	3233312	0.482	0.637	1696	53271	3206232	3231541	3234215	3259520	77012514	3200659	3357283	0	536	25305	2674	spaced
SUPER_1	55305324	55307622	IR	482	.	55306473	0.482	0.991	72	2432	55305324	55305746	55307200	55307622	77012514	55092390	55342390	72	3567	422	1454	immediate
SUPER_1	71810606	71852898	IR	478	.	71831839	0.478	0.836	23	42289	71810606	71811176	71852363	71852898	77012514	71617465	71867465	23	3571	535	41187	spaced
SUPER_1	19829488	19847998	IR	477	.	19838249	0.477	0.588	103	18479	19829488	19834748	19842761	19847998	77012514	19802988	20052988	0	595	5237	8013	spaced
SUPER_1	44302512	44304598	IR	470	.	44303555	0.470	0.994	62	2132	44302512	44302829	44304281	44304598	77012514	44101517	44351517	62	3367	317	1452	immediate
SUPER_1	3788588	3881659	IR	464	.	3835422	0.464	0.951	38	93049	3788588	3789097	3881157	3881659	77012514	3787428	4037428	0	794	502	92060	spaced
SUPER_1	6006715	6010003	IR	463	.	6008544	0.463	0.759	60	3385	6006715	6008016	6008702	6010081	77012514	5959384	6096617	60	816	1301	686	immediate
SUPER_1	65911898	65944142	IR	455	.	65927566	0.455	0.571	78	32179	65911898	65916971	65939079	65944142	77012514	65864425	66114425	0	1059	5063	22108	spaced
SUPER_1	20918072	20921654	IR	448	.	20919864	0.448	0.916	76	3635	20918072	20919317	20920409	20921657	77012514	20874152	21102416	76	761	1245	1092	immediate
SUPER_1	53292076	53299749	IR	447	.	53296143	0.447	0.826	25	7659	53292076	53292692	53299173	53299749	77012514	53066208	53316208	25	3828	576	6481	spaced
SUPER_1	72550890	72581754	IR	445	.	72566759	0.445	0.965	21	30842	72550890	72551119	72581525	72581754	77012514	72458974	72708974	0	1788	229	30406	spaced
SUPER_1	56182919	56183903	IR	434	.	56183411	0.434	0.963	55	51986	56182919	56183353	56183477	56183903	77012514	56099097	56305897	55	1405	426	124	immediate
SUPER_1	65406908	65462890	IR	432	.	65435377	0.432	0.975	21	55967	65406908	65407065	65462733	65462893	77012514	65369309	65521334	0	1093	157	55668	spaced
SUPER_1	75598590	75602642	IR	427	.	75600209	0.427	0.677	33	4002	75598590	75599866	75601366	75602704	77012514	75552476	75802476	0	802	1276	1500	immediate
SUPER_1	2153475	2285036	IR	427	.	2218749	0.427	0.922	22	131539	2153475	2154042	2284475	2285036	77012514	2046411	2296411	0	2880	561	130433	wide
SUPER_1	31242442	31282293	IR	426	.	31262361	0.426	0.876	20	39848	31242442	31243110	31281641	31282293	77012514	31059245	31309245	20	3385	652	38531	spaced
SUPER_1	13075424	13079384	IR	421	.	13077404	0.421	0.951	198	4178	13075424	13076492	13078316	13079425	77012514	12985231	13235231	198	1536	1068	1824	immediate
SUPER_1	63081911	63252406	IR	420	.	63166820	0.420	0.944	70	170476	63081911	63082868	63251453	63252406	77012514	63028017	63273468	0	2318	953	168585	wide
SUPER_1	5622292	5771081	IR	419	.	5696680	0.419	0.923	43	148850	5622292	5622858	5770515	5771083	77012514	5534904	5784904	43	2696	566	147657	wide
SUPER_1	70963552	70965743	IR	413	.	70964172	0.413	0.615	47	2176	70963552	70964528	70964767	70965748	77012514	70866740	70973409	0	1631	976	239	immediate
SUPER_1	46484535	46659081	IR	413	.	46572055	0.413	0.994	21	174526	46484535	46484703	46658913	46659081	77012514	46457161	46692714	0	1910	168	174210	wide
SUPER_1	4617364	4662982	IR	411	.	4640084	0.411	0.824	31	45716	4617364	4618327	4662019	4662988	77012514	4559792	4809792	34	1339	963	43692	spaced
SUPER_1	15175013	15209652	IR	410	.	15192023	0.410	0.976	178	34633	15175013	15176185	15208480	15209667	77012514	15165920	15415920	0	440	1172	32295	spaced
SUPER_1	73020110	73137334	IR	408	.	73078836	0.408	1.000	30	117235	73020110	73020275	73137169	73137334	77012514	73002401	73138809	30	1271	165	116894	wide
SUPER_1	6706021	6710062	IR	404	.	6708042	0.404	0.973	188	4638	6706021	6707451	6708633	6710062	77012514	6541386	6791386	188	2777	1429	1182	immediate
SUPER_1	67397929	67400081	IR	395	.	67399005	0.395	1.000	43	2174	67397929	67398154	67399856	67400081	77012514	67276118	67526118	43	2047	225	1702	immediate
SUPER_1	36259953	36281134	IR	394	.	36270951	0.394	0.886	25	21161	36259953	36260610	36280491	36281134	77012514	36131536	36324404	0	2316	643	19881	spaced
SUPER_1	40503184	40701188	IR	391	.	40601730	0.391	0.718	20	197982	40503184	40503668	40700764	40701188	77012514	40477829	40727829	0	2072	424	197096	wide
SUPER_1	57473542	57604815	IR	390	.	57539198	0.390	0.919	23	131305	57473542	57473947	57604410	57604817	77012514	57464583	57674648	23	1243	405	130463	wide
SUPER_1	72668261	72770972	IR	387	.	72720109	0.387	0.413	180	102708	72668261	72687339	72751894	72771045	77012514	72558974	72808974	0	2677	19078	64555	spaced
SUPER_1	21634267	21783366	IR	387	.	21709290	0.387	0.926	38	149073	21634267	21635014	21782619	21783391	77012514	21552616	21802616	0	2603	747	147605	wide
SUPER_1	38723306	38949598	IR	385	.	38836569	0.385	0.898	62	226512	38723306	38723837	38949095	38949598	77012514	38717612	38967612	73	1980	503	225258	wide
SUPER_1	10401474	10404238	IR	382	.	10403185	0.382	0.817	73	2746	10401474	10402731	10403030	10404238	77012514	10389930	10639930	0	215	1208	299	immediate
SUPER_1	49907724	49932572	IR	382	.	49919822	0.382	0.932	63	24796	49907724	49908653	49931653	49932572	77012514	49691656	49941656	0	3808	919	23000	spaced
SUPER_1	45209225	45353800	IR	379	.	45281638	0.379	0.932	43	144693	45209225	45209815	45353219	45353800	77012514	45131185	45381185	43	2505	581	143404	wide
SUPER_1	9642030	9691595	IR	370	.	9666547	0.370	0.978	43	49547	9642030	9642390	9691235	9691595	77012514	9469573	9719573	0	3287	360	48845	spaced
SUPER_1	13449196	13453744	IR	369	.	13451599	0.369	0.607	20	4479	13449196	13449630	13453334	13453744	77012514	13269514	13519514	54	3032	410	3704	spaced
SUPER_1	48646757	48801405	IR	366	.	48723598	0.366	0.934	32	154629	48646757	48647194	48800979	48801405	77012514	48587044	48837044	0	2283	426	153785	wide
