#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	19383249	19387835	IR	915	.	19385720	0.915	0.935	154	5264	19383249	19385151	19385933	19387835	20439234	19150000	19400000	154	3925	1902	782	immediate
SUPER_1	2970338	2976669	IR	832	.	2973507	0.832	0.941	221	7262	2970338	2973093	2973921	2976669	20439234	2750000	3000000	221	3724	2748	828	immediate
SUPER_1	7090846	7093764	IR	794	.	7092305	0.794	0.993	192	3159	7090846	7091853	7092757	7093765	20439234	6850000	7100000	192	4038	1007	904	immediate
SUPER_1	14957545	14964793	IR	743	.	14961665	0.743	0.732	114	7230	14957545	14960478	14961962	14964793	20439234	14800000	15050000	0	2686	2831	1484	immediate
SUPER_1	7324417	7329720	IR	562	.	7327246	0.562	0.961	249	6009	7324417	7326490	7327647	7329720	20439234	7100000	7350000	249	3784	2073	1157	immediate
SUPER_1	8650700	8653617	IR	541	.	8652174	0.541	0.956	184	3186	8650700	8651914	8652434	8653617	20439234	8450000	8700000	184	3369	1183	520	immediate
SUPER_1	1890766	1894216	IR	453	.	1892491	0.453	0.991	182	3714	1890766	1891627	1893355	1894216	20439234	1650000	1900000	182	4041	861	1728	immediate
SUPER_1	10745353	10747701	IR	452	.	10746527	0.452	1.000	70	2443	10745353	10745694	10747360	10747701	20439234	10500000	10750000	70	4108	341	1666	immediate
SUPER_1	12922740	12925086	IR	441	.	12923913	0.441	0.997	69	2421	12922740	12923091	12924735	12925086	20439234	12700000	12950000	69	3731	351	1644	immediate
SUPER_1	17526783	17662620	IR	409	.	17594699	0.409	0.382	97	136122	17526783	17594402	17595001	17662689	20439234	17500000	17750000	97	1578	67619	599	immediate
SUPER_1	4082261	4086149	IR	387	.	4084205	0.387	0.990	198	4060	4082261	4083293	4085117	4086150	20439234	3850000	4100000	198	3903	1032	1824	immediate
SUPER_1	15063270	15068267	IR	373	.	15065299	0.373	0.988	245	4973	15063270	15064723	15066815	15068267	20439234	14900000	15150000	0	2762	1452	2092	spaced
SUPER_1	9145933	9147208	IR	372	.	9146570	0.372	0.954	39	188426	9145933	9146300	9146845	9147208	20439234	9000000	9250000	39	2442	363	545	immediate
SUPER_1	6154957	6157607	IR	359	.	6156286	0.359	0.941	42	3096	6154957	6155348	6157224	6157607	20439234	6000000	6250000	42	2604	383	1876	immediate
SUPER_1	1767738	1770066	IR	354	.	1768902	0.354	0.931	49	2384	1767738	1768054	1769750	1770085	20439234	1700000	1950000	49	1148	316	1696	immediate
SUPER_1	6247916	6266857	IR	351	.	6257156	0.351	0.731	22	18909	6247916	6247968	6266819	6266857	20439234	6050000	6300000	122	3456	38	18851	spaced
SUPER_1	8930256	8939986	IR	349	.	8935019	0.349	0.879	55	9851	8930256	8930778	8939464	8940033	20439234	8700000	8950000	60	3918	522	8686	spaced
SUPER_1	18639597	18643622	IR	347	.	18641458	0.347	0.953	126	4136	18639597	18640208	18643036	18643622	20439234	18400000	18650000	126	4026	586	2828	spaced
