#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	40942569	40949248	IR	866	.	40945906	0.866	0.968	471	7455	40942569	40945353	40946464	40949273	53057739	40700000	40950000	476	4098	2784	1111	immediate
SUPER_1	41215163	41218172	IR	783	.	41216675	0.783	0.912	50	3795	41215163	41216576	41216773	41218172	53057739	41050000	41300000	50	2777	1399	197	immediate
SUPER_1	1208575	1216205	IR	729	.	1212390	0.729	0.992	615	8232	1208575	1211727	1213053	1216211	53057739	1000000	1250000	615	3539	3152	1326	immediate
SUPER_1	44529681	44533359	IR	724	.	44531538	0.724	0.884	73	82790	44529681	44531190	44531886	44533359	53057739	44450000	44700000	73	1358	1473	696	immediate
SUPER_1	22273575	22275834	IR	656	.	22274896	0.656	0.983	160	2416	22273575	22274496	22274913	22275834	53057739	22100000	22350000	160	2911	921	417	immediate
SUPER_1	19560305	19561518	IR	578	.	19560912	0.578	0.949	38	111423	19560305	19560792	19561032	19561518	53057739	19500000	19750000	39	1015	486	240	immediate
SUPER_1	6615557	6618119	IR	572	.	6616837	0.572	0.964	145	2801	6615557	6616734	6616942	6618123	53057739	6500000	6750000	146	1947	1177	208	immediate
SUPER_1	40971454	40975990	IR	565	.	40973722	0.565	0.951	159	4955	40971454	40973206	40974238	40975993	53057739	40950000	41200000	159	395	1752	1032	immediate
SUPER_1	48957276	48959977	IR	550	.	48958627	0.550	0.912	46	3083	48957276	48958022	48959234	48959977	53057739	48800000	49050000	46	2643	743	1212	immediate
SUPER_1	16035426	16038385	IR	541	.	16036912	0.541	0.874	51	3143	16035426	16036536	16037328	16038385	53057739	15800000	16050000	51	3948	1057	792	immediate
SUPER_1	802701	807161	IR	534	.	804931	0.534	0.927	173	5465	802701	804580	805282	807204	53057739	600000	850000	173	3415	1879	702	immediate
SUPER_1	1097088	1104977	IR	516	.	1101246	0.516	0.953	226	8769	1097088	1098634	1103431	1105009	53057739	900000	1150000	227	3350	1546	4797	spaced
SUPER_1	42529575	42532196	IR	512	.	42530891	0.512	0.869	33	2679	42529575	42530231	42531551	42532196	53057739	42500000	42750000	33	514	645	1320	immediate
