#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	172774822	172779716	IR	663	.	172777268	0.663	0.980	336	5260	172774822	172776594	172777952	172779716	218074708	172550000	172800000	336	3787	1764	1358	immediate
SUPER_1	138706496	138753177	IR	539	.	138730218	0.539	0.854	171	44966	138706496	138712639	138747137	138753177	218074708	138550000	138800000	0	2997	6040	34498	spaced
SUPER_1	139992963	140097661	IR	536	.	140044992	0.536	0.910	67	102139	139992963	140010229	140080441	140097661	218074708	139950000	140200000	0	1588	17220	70212	spaced
SUPER_1	139653778	139849931	IR	528	.	139751811	0.528	0.871	132	203408	139653778	139724295	139779414	139849992	218074708	139650000	139900000	132	1697	70517	55119	spaced
SUPER_1	139373937	139509009	IR	523	.	139441321	0.523	0.627	338	182299	139373937	139406719	139476227	139509016	218074708	139300000	139550000	345	2357	32782	69508	spaced
SUPER_1	139260438	139272491	IR	516	.	139266013	0.516	0.615	24	11984	139260438	139261902	139271027	139272491	218074708	139050000	139300000	0	3607	1464	9125	spaced
SUPER_1	195006875	195007788	IR	443	.	195007460	0.443	0.688	34	10875	195006875	195006928	195007735	195007812	218074708	194800000	195050000	398	3455	53	807	immediate
SUPER_1	93041748	93044104	IR	425	.	93042706	0.425	0.892	138	2399	93041748	93042182	93043688	93044104	218074708	92850000	93100000	1063	3215	416	1506	immediate
SUPER_1	119414	242714	IR	420	.	180756	0.420	0.996	330	123274	119414	121383	240745	242714	218074708	0	250000	0	3017	1969	119362	wide
SUPER_1	50618319	50652828	IR	407	.	50635105	0.407	0.982	88	34488	50618319	50619077	50652070	50652828	218074708	50500000	50750000	0	2259	758	32993	spaced
SUPER_1	41074362	41076068	IR	402	.	41075225	0.402	1.000	26	29293	41074362	41074443	41075987	41076068	218074708	40950000	41200000	325	2086	81	1544	immediate
SUPER_1	20590202	20592262	IR	401	.	20591232	0.401	0.960	23	2055	20590202	20590378	20592086	20592262	218074708	20350000	20600000	23	4020	176	1708	immediate
SUPER_1	130514588	130517296	IR	389	.	130515942	0.389	0.994	88	2790	130514588	130515052	130516832	130517296	218074708	130300000	130550000	88	3598	464	1780	immediate
SUPER_1	107572881	107576819	IR	388	.	107575312	0.388	0.873	46	3814	107572881	107573478	107576240	107576819	218074708	107350000	107600000	0	3747	579	2762	spaced
SUPER_1	43128253	43129281	IR	383	.	43128782	0.383	0.946	44	45443	43128253	43128358	43129176	43129287	218074708	43050000	43300000	483	1312	105	818	immediate
SUPER_1	18928335	18931430	IR	376	.	18929887	0.376	0.981	155	3239	18928335	18929209	18930565	18931430	218074708	18700000	18950000	155	3831	865	1356	immediate
SUPER_1	43532731	43613256	IR	375	.	43572716	0.375	0.955	44	80500	43532731	43532836	43613151	43613261	218074708	43400000	43650000	0	2883	105	80315	spaced
