#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	30062754	30064645	IR	928	.	30063697	0.928	0.961	126	17886	30062754	30063524	30063875	30064649	45457050	29900000	30150000	126	2728	770	351	immediate
SUPER_1	30785182	30789868	IR	917	.	30787615	0.917	0.967	222	5018	30785182	30786988	30788062	30789871	45457050	30550000	30800000	222	3958	1806	1074	immediate
SUPER_1	31765431	31767572	IR	865	.	31766444	0.865	0.944	108	2360	31765431	31766373	31766637	31767572	45457050	31550000	31800000	108	3608	935	264	immediate
SUPER_1	30872161	30964306	IR	807	.	30918459	0.807	0.424	152	92660	30872161	30917661	30918861	30964306	45457050	30800000	31050000	150	1970	45445	1200	immediate
SUPER_1	43653905	43657165	IR	791	.	43655536	0.791	0.966	148	3586	43653905	43655146	43655926	43657165	45457050	43450000	43700000	148	3425	1239	780	immediate
SUPER_1	38269031	38271277	IR	730	.	38270154	0.730	1.000	141	41799	38269031	38269687	38270621	38271277	45457050	38200000	38450000	144	1169	656	934	immediate
SUPER_1	8735653	8756812	IR	722	.	8746076	0.722	0.964	109	21260	8735653	8736604	8755862	8756812	45457050	8700000	8950000	109	770	950	19258	spaced
SUPER_1	12925157	12926219	IR	721	.	12925688	0.721	0.993	87	71705	12925157	12925601	12925775	12926219	45457050	12850000	13100000	87	1261	444	174	immediate
SUPER_1	4849747	4852499	IR	720	.	4851125	0.720	0.975	128	3128	4849747	4850662	4851588	4852499	45457050	4650000	4900000	128	3351	911	926	immediate
SUPER_1	42619484	42622603	IR	696	.	42620902	0.696	0.970	164	3229	42619484	42620423	42621675	42622603	45457050	42450000	42700000	164	2850	928	1252	immediate
SUPER_1	4751086	4752150	IR	692	.	4751618	0.692	0.987	85	56037	4751086	4751539	4751697	4752150	45457050	4600000	4850000	85	2526	453	158	immediate
SUPER_1	158415	322532	IR	691	.	240358	0.691	0.424	209	164536	158415	199240	281707	322575	45457050	100000	350000	209	2341	40825	82467	spaced
SUPER_1	23515824	23519808	IR	689	.	23517669	0.689	0.961	170	4110	23515824	23517162	23518470	23519808	45457050	23300000	23550000	170	3630	1338	1308	immediate
SUPER_1	34582311	34587557	IR	683	.	34585041	0.683	0.918	115	5399	34582311	34583276	34586637	34587557	45457050	34350000	34600000	115	3915	920	3361	spaced
SUPER_1	32783330	32785298	IR	641	.	32784314	0.641	0.993	82	2076	32783330	32783740	32784888	32785298	45457050	32750000	33000000	82	571	410	1148	immediate
SUPER_1	20788279	20791102	IR	638	.	20789602	0.638	0.965	88	3043	20788279	20788927	20790456	20791102	45457050	20550000	20800000	88	3994	646	1529	immediate
SUPER_1	34101285	34103958	IR	625	.	34102622	0.625	0.928	105	2882	34101285	34102474	34102769	34103991	45457050	33950000	34200000	105	2543	1189	295	immediate
