#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	41391844	41398592	IR	921	.	41395218	0.921	0.962	381	7581	41391844	41394606	41395830	41398598	69152562	41150000	41400000	381	4086	2762	1224	immediate
SUPER_1	36597979	36601547	IR	736	.	36599766	0.736	0.887	74	3898	36597979	36599525	36600001	36601607	69152562	36400000	36650000	74	3329	1546	476	immediate
SUPER_1	51225756	51227706	IR	568	.	51226731	0.568	0.979	44	2053	51225756	51226091	51227371	51227706	69152562	51000000	51250000	44	3778	335	1280	immediate
SUPER_1	65531247	65542583	IR	565	.	65536920	0.565	0.933	297	12524	65531247	65535921	65537919	65542583	69152562	65300000	65550000	298	3948	4664	1998	immediate
SUPER_1	40747648	40751277	IR	541	.	40749664	0.541	0.841	34	3616	40747648	40749062	40749864	40751277	69152562	40550000	40800000	36	3324	1413	802	immediate
SUPER_1	55095253	55097427	IR	523	.	55096340	0.523	0.884	24	2161	55095253	55095824	55096881	55097427	69152562	55000000	55250000	24	1605	546	1057	immediate
SUPER_1	20628809	20633479	IR	509	.	20631144	0.509	0.965	174	5231	20628809	20630262	20632026	20633483	69152562	20400000	20650000	174	3852	1453	1764	immediate
SUPER_1	7366784	7371754	IR	500	.	7369269	0.500	0.938	139	5969	7366784	7369043	7369495	7371754	69152562	7150000	7400000	139	3654	2259	452	immediate
SUPER_1	23661315	23664472	IR	484	.	23663100	0.484	0.904	34	3431	23661315	23662024	23663773	23664472	69152562	23600000	23850000	34	1048	699	1749	immediate
SUPER_1	1411510	1413814	IR	480	.	1412662	0.480	0.924	22	2367	1411510	1411863	1413461	1413814	69152562	1200000	1450000	22	3544	353	1598	immediate
SUPER_1	835202	915064	IR	477	.	875542	0.477	0.878	119	79842	835202	841221	909063	915064	69152562	700000	950000	0	2918	6001	67842	spaced
SUPER_1	52186095	52196265	IR	473	.	52191180	0.473	0.859	74	10952	52186095	52190057	52192303	52196272	69152562	52000000	52250000	74	3186	3962	2246	spaced
SUPER_1	39741225	39744518	IR	469	.	39742875	0.469	0.894	76	3428	39741225	39742104	39743689	39744518	69152562	39500000	39750000	76	4047	829	1585	immediate
SUPER_1	45374166	45379018	IR	468	.	45376592	0.468	0.902	55	4940	45374166	45375789	45377395	45379018	69152562	45150000	45400000	55	3776	1623	1606	immediate
SUPER_1	32344611	32350036	IR	463	.	32347626	0.463	0.821	31	5450	32344611	32346437	32348210	32350084	69152562	32150000	32400000	0	3288	1826	1773	immediate
