#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	6084619	6087977	IR	908	.	6086298	0.908	0.999	310	3709	6084619	6086008	6086588	6087977	12814766	5850000	6100000	321	3938	1389	580	immediate
SUPER_1	11041409	11044189	IR	809	.	11042329	0.809	0.958	70	2751	11041409	11042343	11043255	11044189	12814766	10800000	11050000	0	4046	934	912	immediate
SUPER_1	6092670	6097596	IR	652	.	6095147	0.652	0.753	166	5430	6092670	6094649	6095617	6097690	12814766	5900000	6150000	224	3252	1979	968	immediate
SUPER_1	5335913	5337645	IR	628	.	5336754	0.628	0.826	121	2083	5335913	5336612	5336957	5337645	12814766	5200000	5450000	277	2279	688	345	immediate
SUPER_1	8777250	8787245	IR	588	.	8782251	0.588	0.812	143	13258	8777250	8779775	8784730	8787245	12814766	8600000	8850000	261	3037	2515	4955	spaced
SUPER_1	7156682	7158740	IR	516	.	7157711	0.516	0.990	60	2059	7156682	7156986	7158436	7158743	12814766	7000000	7250000	63	2628	304	1450	immediate
SUPER_1	7708263	7709441	IR	448	.	7708852	0.448	0.994	35	20137	7708263	7708434	7709270	7709441	12814766	7550000	7800000	35	2647	171	836	immediate
SUPER_1	9626642	9768346	IR	421	.	9697933	0.421	0.973	47	141674	9626642	9627123	9767865	9768349	12814766	9550000	9800000	0	2458	481	140742	wide
SUPER_1	12235693	12267834	IR	388	.	12252043	0.388	0.439	36	32170	12235693	12241242	12262285	12267882	12814766	12050000	12300000	0	3362	5549	21043	spaced
SUPER_1	6922333	6924877	IR	380	.	6923872	0.380	0.982	116	2502	6922333	6923111	6924100	6924877	12814766	6700000	6950000	0	3726	777	989	immediate
SUPER_1	1749595	1752078	IR	379	.	1750618	0.379	0.966	78	2599	1749595	1750271	1751402	1752079	12814766	1550000	1800000	78	3347	676	1131	immediate
SUPER_1	415867	625846	IR	351	.	521295	0.351	0.983	23	209942	415867	416041	625672	625846	12814766	400000	650000	0	2014	174	209631	wide
SUPER_1	802746	967484	IR	349	.	884756	0.349	0.946	47	164735	802746	803041	967189	967501	12814766	750000	1000000	0	2251	295	164148	wide
SUPER_1	5531087	5533672	IR	349	.	5532384	0.349	0.809	26	2582	5531087	5531452	5533320	5533672	12814766	5500000	5750000	26	539	352	1868	immediate
SUPER_1	2791676	2862649	IR	345	.	2827042	0.345	0.971	40	71017	2791676	2791988	2862338	2862649	12814766	2650000	2900000	40	2952	311	70350	spaced
SUPER_1	4868990	5099182	IR	344	.	4984384	0.344	0.388	20	230176	4868990	4982558	4985614	5099212	12814766	4850000	5100000	0	2234	113568	3056	spaced
SUPER_1	11898215	12094489	IR	343	.	11995854	0.343	0.396	43	196242	11898215	11947168	12045609	12094489	12814766	11850000	12100000	0	2439	48880	98441	spaced
