#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_Z	1739077	1744451	IR	968	.	1741764	0.968	1.000	532	5910	1739077	1741439	1742089	1744451	27469003	1500000	1750000	532	4029	2362	650	immediate
SUPER_Z	23346935	23348953	IR	849	.	23347944	0.849	1.000	153	2170	23346935	23347648	23348240	23348953	27469003	23100000	23350000	153	4132	713	592	immediate
SUPER_Z	13861035	13863721	IR	810	.	13862378	0.810	0.979	143	3078	13861035	13862069	13862687	13863721	27469003	13650000	13900000	143	3539	1034	618	immediate
SUPER_Z	1162816	1165306	IR	749	.	1164061	0.749	0.995	156	2790	1162816	1163620	1164502	1165306	27469003	950000	1200000	159	3567	804	882	immediate
SUPER_Z	11912492	11914388	IR	712	.	11913440	0.712	0.992	92	2013	11912492	11912984	11913896	11914388	27469003	11700000	11950000	92	3557	492	912	immediate
SUPER_Z	23427036	23429094	IR	706	.	23428065	0.706	1.000	114	2177	23427036	23427585	23428545	23429094	27469003	23200000	23450000	114	3800	549	960	immediate
SUPER_Z	26362756	26371206	IR	703	.	26366981	0.703	1.000	790	9301	26362756	26366105	26367857	26371206	27469003	26150000	26400000	792	3616	3349	1752	immediate
SUPER_Z	23361589	23362879	IR	685	.	23362234	0.685	0.988	67	209181	23361589	23362016	23362452	23362879	27469003	23250000	23500000	67	1870	427	436	immediate
SUPER_Z	15936019	15937773	IR	613	.	15936896	0.613	0.697	48	2096	15936019	15936714	15937078	15937773	27469003	15700000	15950000	48	3948	695	364	immediate
SUPER_Z	11145763	11147413	IR	588	.	11146588	0.588	0.976	52	78046	11145763	11146135	11147041	11147413	27469003	10950000	11200000	52	3276	372	906	immediate
SUPER_Z	8346668	8350072	IR	575	.	8348370	0.575	0.987	249	3661	8346668	8347875	8348877	8350072	27469003	8150000	8400000	249	3306	1195	1002	immediate
SUPER_Z	13451851	13454021	IR	574	.	13452773	0.574	0.923	30	2197	13451851	13452255	13453622	13454021	27469003	13400000	13650000	30	882	399	1367	immediate
SUPER_Z	8471948	8474454	IR	564	.	8473214	0.564	0.901	90	2582	8471948	8472557	8473871	8474454	27469003	8350000	8600000	90	2053	583	1314	immediate
SUPER_Z	10678367	10680939	IR	561	.	10679653	0.561	1.000	123	2685	10678367	10678930	10680376	10680939	27469003	10450000	10700000	123	3827	563	1446	immediate
SUPER_Z	1141274	1143840	IR	560	.	1142557	0.560	1.000	117	2668	1141274	1141825	1143289	1143840	27469003	900000	1150000	117	4042	551	1464	immediate
SUPER_Z	23865895	23868451	IR	559	.	23867171	0.559	0.979	116	2685	23865895	23866452	23867894	23868454	27469003	23650000	23900000	116	3619	557	1442	immediate
SUPER_Z	6050082	6278657	IR	554	.	6164396	0.554	0.390	59	228684	6050082	6164307	6164485	6278657	27469003	6050000	6300000	59	1906	114172	178	immediate
SUPER_Z	11355313	11357257	IR	551	.	11356285	0.551	0.966	69	2046	11355313	11355842	11356729	11357257	27469003	11150000	11400000	69	3437	528	887	immediate
SUPER_Z	15562000	15564271	IR	549	.	15563134	0.549	0.978	96	2356	15562000	15562445	15563826	15564275	27469003	15550000	15800000	96	218	445	1381	immediate
SUPER_Z	7936903	7939529	IR	544	.	7938216	0.544	0.996	111	21475	7936903	7937463	7938969	7939529	27469003	7800000	8050000	111	2303	560	1506	immediate
SUPER_Z	22379766	22382294	IR	539	.	22381030	0.539	1.000	112	2640	22379766	22380299	22381761	22382294	27469003	22150000	22400000	112	3850	533	1462	immediate
SUPER_Z	5887451	5890023	IR	538	.	5888737	0.538	1.000	120	2685	5887451	5888005	5889469	5890023	27469003	5650000	5900000	120	3978	554	1464	immediate
SUPER_Z	24446162	24498898	IR	537	.	24472646	0.537	0.921	90	53012	24446162	24446717	24498383	24498898	27469003	24300000	24550000	93	2875	515	51666	spaced
SUPER_Z	26803791	26808484	IR	522	.	26806044	0.522	0.937	55	4733	26803791	26804168	26808123	26808484	27469003	26600000	26850000	55	3435	361	3955	spaced
SUPER_Z	23077377	23079703	IR	519	.	23078540	0.519	0.990	65	27188	23077377	23077762	23079318	23079703	27469003	23000000	23250000	65	1308	385	1556	immediate
SUPER_Z	12497693	12618220	IR	518	.	12557835	0.518	0.861	141	120982	12497693	12500041	12615872	12618299	27469003	12450000	12700000	141	1799	2348	115831	wide
SUPER_Z	20290775	20292943	IR	516	.	20291859	0.516	0.995	67	2221	20290775	20291145	20292573	20292943	27469003	20150000	20400000	67	2364	370	1428	immediate
SUPER_Z	9079772	9081794	IR	503	.	9080783	0.503	0.970	35	2027	9079772	9080142	9081424	9081794	27469003	8900000	9150000	35	3012	370	1282	immediate
SUPER_Z	24778827	24785083	IR	502	.	24781472	0.502	0.935	32	6236	24778827	24779330	24784580	24785084	27469003	24550000	24800000	0	3865	503	5250	spaced
SUPER_Z	1386237	1388162	IR	500	.	1387202	0.500	0.970	133	54515	1386237	1386980	1387427	1388162	27469003	1200000	1450000	133	3119	735	447	immediate
SUPER_Z	7173823	7176287	IR	499	.	7175055	0.499	0.987	78	2565	7173823	7174286	7175824	7176287	27469003	7150000	7400000	78	417	463	1538	immediate
SUPER_Z	22647881	22655451	IR	486	.	22651666	0.486	1.000	621	8262	22647881	22650614	22652718	22655451	27469003	22450000	22700000	621	3360	2733	2104	spaced
SUPER_Z	20465128	20468628	IR	485	.	20466878	0.485	0.731	95	3649	20465128	20466460	20467296	20468713	27469003	20300000	20550000	95	2781	1332	836	immediate
SUPER_Z	9568555	9569507	IR	485	.	9569031	0.485	0.991	38	5152	9568555	9568783	9569279	9569507	27469003	9400000	9650000	38	2817	228	496	immediate
SUPER_Z	5670367	5672406	IR	482	.	5671389	0.482	0.979	149	2194	5670367	5671228	5671545	5672412	27469003	5450000	5700000	149	3689	861	317	immediate
SUPER_Z	23201014	23203716	IR	478	.	23202365	0.478	0.985	95	22735	23201014	23201599	23203131	23203716	27469003	23100000	23350000	95	1705	585	1532	immediate
SUPER_Z	11709414	11711407	IR	477	.	11710426	0.477	0.921	58	2097	11709414	11710062	11710791	11711407	27469003	11550000	11800000	58	2673	616	729	immediate
SUPER_Z	8155219	8159002	IR	474	.	8157542	0.474	0.990	93	3766	8155219	8155791	8158430	8159006	27469003	7950000	8200000	0	3451	572	2639	spaced
SUPER_Z	3004735	3005489	IR	465	.	3005112	0.465	1.000	45	22053	3004735	3004962	3005262	3005489	27469003	2900000	3150000	45	1751	227	300	immediate
SUPER_Z	26754577	26779489	IR	464	.	26767033	0.464	0.397	63	24961	26754577	26766480	26767586	26779489	27469003	26550000	26800000	63	3617	11903	1106	immediate
SUPER_Z	11066772	11068986	IR	463	.	11067879	0.463	0.973	34	2220	11066772	11067066	11068692	11068987	27469003	11000000	11250000	34	1131	294	1626	immediate
SUPER_Z	19284249	19286243	IR	463	.	19285246	0.463	0.978	34	2175	19284249	19284478	19286014	19286243	27469003	19150000	19400000	34	2253	229	1536	immediate
