#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	5747525	5749526	IR	632	.	5748539	0.632	0.898	49	2074	5747525	5748284	5748767	5749553	7562543	5550000	5800000	49	3308	759	483	immediate
SUPER_1	1614505	1616587	IR	584	.	1615546	0.584	0.989	73	2419	1614505	1614876	1616216	1616587	7562543	1400000	1650000	73	3592	371	1340	immediate
SUPER_1	7149141	7242771	IR	491	.	7195493	0.491	0.946	499	93613	7149141	7156643	7235269	7242772	7562543	7000000	7250000	0	3265	7502	78626	spaced
SUPER_1	2068628	2070544	IR	460	.	2069586	0.460	0.941	22	2267	2068628	2068930	2070242	2070545	7562543	1850000	2100000	22	3659	302	1312	immediate
SUPER_1	3741038	3934398	IR	393	.	3838120	0.393	0.374	120	193333	3741038	3836686	3838796	3934398	7562543	3700000	3950000	0	2295	95602	2110	spaced
SUPER_1	3180296	3189016	IR	368	.	3184653	0.368	0.832	38	8900	3180296	3182683	3186629	3189019	7562543	2950000	3200000	38	3910	2387	3946	spaced
SUPER_1	1181907	1192349	IR	358	.	1187153	0.358	0.995	451	10958	1181907	1184109	1190147	1192349	7562543	1000000	1250000	451	3118	2202	6038	spaced
SUPER_1	6802430	6809090	IR	337	.	6805771	0.337	0.923	139	7107	6802430	6804369	6807173	6809090	7562543	6600000	6850000	139	3429	1917	2804	spaced
SUPER_1	2129454	2312748	IR	333	.	2221449	0.333	0.919	74	183275	2129454	2130807	2311395	2312748	7562543	2100000	2350000	0	2018	1353	180588	wide
SUPER_1	233487	246907	IR	333	.	239887	0.333	0.924	66	13374	233487	234776	245618	246914	7562543	0	250000	0	4003	1289	10842	spaced
SUPER_1	5955705	6065119	IR	328	.	6010873	0.328	0.820	58	109392	5955705	5957796	6063028	6065160	7562543	5850000	6100000	0	2673	2091	105232	wide
