#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	51623046	51627170	IR	930	.	51625108	0.930	0.966	209	4316	51623046	51624703	51625513	51627174	151499509	51400000	51650000	209	3751	1657	810	immediate
SUPER_1	107461799	107463989	IR	908	.	107462894	0.908	0.983	142	2510	107461799	107462621	107463167	107463989	151499509	107250000	107500000	142	3548	822	546	immediate
SUPER_1	20066832	20074554	IR	893	.	20070932	0.893	0.961	262	7691	20066832	20069453	20071933	20074555	151499509	19850000	20100000	0	3678	2621	2480	spaced
SUPER_1	55060800	55079603	IR	891	.	55070226	0.891	0.989	1728	20909	55060800	55069163	55071289	55079603	151499509	54950000	55200000	1752	2003	8314	2126	spaced
SUPER_1	150568789	150571059	IR	781	.	150569924	0.781	0.898	46	2321	150568789	150569816	150570033	150571059	151499509	150450000	150700000	46	1998	1026	217	immediate
SUPER_1	75004236	75183657	IR	751	.	75093708	0.751	0.890	45	179572	75004236	75005658	75182235	75183658	151499509	74950000	75200000	45	2398	1422	176577	wide
SUPER_1	49379072	49572976	IR	741	.	49475548	0.741	0.988	159	193879	49379072	49380221	49571827	49572976	151499509	49350000	49600000	0	2100	1149	191606	wide
SUPER_1	38358408	38360617	IR	728	.	38359513	0.728	0.880	31	2308	38358408	38359384	38359642	38360617	151499509	38250000	38500000	31	1825	975	258	immediate
SUPER_1	24751729	24753547	IR	713	.	24752638	0.713	0.986	91	2177	24751729	24752240	24753036	24753547	151499509	24550000	24800000	91	3377	511	796	immediate
SUPER_1	78175063	78179846	IR	667	.	78177455	0.667	0.864	57	6107	78175063	78177107	78177802	78179849	151499509	78000000	78250000	57	2957	2044	695	immediate
SUPER_1	27948155	27951347	IR	653	.	27949751	0.653	0.863	80	3585	27948155	27949309	27950193	27951426	151499509	27750000	28000000	81	3329	1154	884	immediate
SUPER_1	94371186	94374880	IR	645	.	94373034	0.645	0.851	69	3873	94371186	94372693	94373375	94374880	151499509	94350000	94600000	74	383	1505	682	immediate
SUPER_1	117842830	117847838	IR	628	.	117845335	0.628	0.916	110	5580	117842830	117844936	117845732	117847842	151499509	117700000	117950000	115	2422	2106	796	immediate
SUPER_1	70645127	70647117	IR	625	.	70646122	0.625	0.978	67	2023	70645127	70645583	70646661	70647117	151499509	70400000	70650000	67	4101	456	1078	immediate
SUPER_1	58348487	58361061	IR	538	.	58354835	0.538	0.953	136	12672	58348487	58349763	58359785	58361062	151499509	58150000	58400000	136	3412	1276	10022	spaced
SUPER_1	147836500	147847673	IR	529	.	147842104	0.529	0.964	615	19784	147836500	147841160	147843048	147847673	151499509	147650000	147900000	641	3201	4625	1888	immediate
SUPER_1	37463802	37465934	IR	528	.	37464868	0.528	0.915	21	2191	37463802	37464190	37465546	37465934	151499509	37250000	37500000	21	3580	388	1356	immediate
SUPER_1	92535500	92539009	IR	525	.	92537302	0.525	0.865	74	3835	92535500	92536823	92537781	92539009	151499509	92300000	92550000	74	3954	1228	958	immediate
SUPER_1	87345842	87349226	IR	521	.	87347534	0.521	0.841	20	3433	87345842	87346829	87348239	87349263	151499509	87250000	87500000	28	1625	987	1410	immediate
SUPER_1	97558017	97561392	IR	520	.	97559703	0.520	0.861	41	3593	97558017	97559244	97560195	97561392	151499509	97450000	97700000	50	1828	1197	951	immediate
SUPER_1	82606345	82731442	IR	514	.	82668904	0.514	0.647	83	125200	82606345	82610697	82727107	82731442	151499509	82500000	82750000	84	2814	4335	116410	wide
SUPER_1	93882968	93889274	IR	500	.	93886121	0.500	0.984	426	6971	93882968	93885269	93886973	93889285	151499509	93650000	93900000	426	3935	2301	1704	immediate
SUPER_1	62851267	62867836	IR	497	.	62859553	0.497	0.915	434	18308	62851267	62857882	62861224	62867836	151499509	62750000	63000000	434	1825	6612	3342	spaced
SUPER_1	67874099	67878960	IR	476	.	67876513	0.476	0.880	27	4870	67874099	67875282	67877778	67878960	151499509	67700000	67950000	27	2942	1182	2496	spaced
SUPER_1	104636320	104640323	IR	474	.	104638321	0.474	0.949	128	4463	104636320	104637606	104639037	104640323	151499509	104400000	104650000	128	3971	1286	1431	immediate
SUPER_1	126429145	126432535	IR	473	.	126430843	0.473	0.852	24	3726	126429145	126430585	126431095	126432544	151499509	126200000	126450000	24	3847	1440	510	immediate
SUPER_1	45586098	45732577	IR	470	.	45659480	0.470	0.816	70	147037	45586098	45589945	45728747	45732577	151499509	45500000	45750000	79	2655	3830	138802	wide
SUPER_1	141402259	141404872	IR	462	.	141403597	0.462	0.887	67	2645	141402259	141403345	141403849	141404872	151499509	141250000	141500000	70	2559	1023	504	immediate
SUPER_1	85005013	85008419	IR	450	.	85006716	0.450	0.895	65	3662	85005013	85005860	85007572	85008445	151499509	84900000	85150000	68	1778	847	1712	immediate
SUPER_1	64825282	64827411	IR	448	.	64826578	0.448	0.952	68	28917	64825282	64825324	64827369	64827411	151499509	64800000	65050000	3	438	42	2045	spaced
SUPER_1	96838161	96993111	IR	448	.	96916128	0.448	0.904	57	154848	96838161	96840026	96991246	96993111	151499509	96750000	97000000	0	2760	1865	151220	wide
SUPER_1	78947523	78951470	IR	443	.	78949497	0.443	0.934	140	197989	78947523	78949048	78949945	78951475	151499509	78850000	79100000	141	1658	1525	897	immediate
SUPER_1	51456309	51458674	IR	441	.	51457491	0.441	0.976	98	2472	51456309	51457002	51457982	51458674	151499509	51350000	51600000	98	1791	692	980	immediate
SUPER_1	32576051	32578397	IR	441	.	32577224	0.441	0.490	25	2463	32576051	32576959	32577489	32578434	151499509	32450000	32700000	38	2120	908	530	immediate
SUPER_1	55831580	55835028	IR	439	.	55833304	0.439	0.921	34	3826	55831580	55832123	55834485	55835030	151499509	55700000	55950000	34	2221	543	2362	spaced
SUPER_1	99297538	99439157	IR	438	.	99368032	0.438	0.973	217	141598	99297538	99299477	99437218	99439157	151499509	99200000	99450000	0	2805	1939	137741	wide
SUPER_1	107593435	107596032	IR	432	.	107594733	0.432	0.862	42	2664	107593435	107594151	107595316	107596080	151499509	107450000	107700000	60	2412	716	1165	immediate
SUPER_1	112250225	112471797	IR	428	.	112361488	0.428	0.735	52	221586	112250225	112255263	112466759	112471837	151499509	112250000	112500000	0	1850	5038	211496	wide
SUPER_1	88562888	88567403	IR	407	.	88565147	0.407	0.898	42	4602	88562888	88564269	88566025	88567403	151499509	88350000	88600000	42	3585	1378	1756	immediate
SUPER_1	105489638	105493393	IR	405	.	105491526	0.405	0.864	40	3760	105489638	105491353	105491700	105493393	151499509	105250000	105500000	40	4025	1693	347	immediate
SUPER_1	26079895	26081975	IR	405	.	26080935	0.405	0.912	38	2229	26079895	26080562	26081308	26081986	151499509	25850000	26100000	38	3848	667	746	immediate
SUPER_1	129700736	129718645	IR	404	.	129709793	0.404	0.856	67	19104	129700736	129702948	129716433	129718714	151499509	129550000	129800000	67	2661	2212	13485	spaced
SUPER_1	24006746	24016527	IR	402	.	24011642	0.402	0.910	261	11961	24006746	24010466	24012814	24016527	151499509	23800000	24050000	261	3527	3713	2348	spaced
SUPER_1	82145832	82148759	IR	401	.	82147296	0.401	0.779	81	3085	82145832	82147179	82147412	82148841	151499509	82100000	82350000	81	788	1347	233	immediate
SUPER_1	109885243	110030174	IR	400	.	109957293	0.400	0.869	153	144910	109885243	109891514	110023950	110030174	151499509	109800000	110050000	0	2628	6224	132436	wide
SUPER_1	125029984	125033632	IR	399	.	125031804	0.399	0.944	176	4212	125029984	125031086	125032530	125033653	151499509	124800000	125050000	176	3863	1102	1444	immediate
SUPER_1	118128871	118235922	IR	397	.	118181944	0.397	0.433	308	107106	118128871	118177792	118187001	118235996	151499509	118100000	118350000	0	1373	48921	9209	spaced
SUPER_1	34896876	34901258	IR	394	.	34899070	0.394	0.938	103	4581	34896876	34897938	34900198	34901258	151499509	34850000	35100000	103	817	1060	2260	spaced
SUPER_1	8940822	8988771	IR	394	.	8965287	0.394	0.904	90	47927	8940822	8942748	8986887	8988771	151499509	8800000	9050000	0	2746	1884	44139	spaced
SUPER_1	46868154	46888915	IR	391	.	46878997	0.391	0.935	256	20739	46868154	46872301	46884770	46888915	151499509	46650000	46900000	0	3808	4145	12469	spaced
SUPER_1	9970112	9978630	IR	391	.	9974272	0.391	0.865	68	8597	9970112	9972359	9976392	9978630	151499509	9750000	10000000	68	3739	2238	4033	spaced
SUPER_1	72009988	72013263	IR	389	.	72011569	0.389	0.878	38	3740	72009988	72010741	72012510	72013269	151499509	72000000	72250000	47	193	753	1769	immediate
SUPER_1	40548080	40624305	IR	387	.	40586103	0.387	0.921	82	76706	40548080	40549520	40622865	40624309	151499509	40400000	40650000	82	3103	1440	73345	spaced
SUPER_1	101037540	101040200	IR	387	.	101038871	0.387	0.853	28	2650	101037540	101038798	101038943	101040200	151499509	100800000	101050000	28	3981	1257	145	immediate
SUPER_1	91244628	91316258	IR	384	.	91280654	0.384	0.868	165	194725	91244628	91245068	91315818	91316258	151499509	91150000	91400000	24	2173	440	70750	spaced
SUPER_1	28679610	28700780	IR	383	.	28690278	0.383	0.765	119	21627	28679610	28686773	28693698	28700780	151499509	28600000	28850000	124	1503	7082	6925	spaced
SUPER_1	88317284	88329662	IR	383	.	88323311	0.383	0.896	83	12899	88317284	88319222	88327724	88329682	151499509	88100000	88350000	83	3724	1938	8502	spaced
SUPER_1	77822446	77826402	IR	380	.	77824403	0.380	0.923	61	4176	77822446	77823413	77825435	77826402	151499509	77650000	77900000	61	2906	967	2022	spaced
SUPER_1	81749802	81829484	IR	379	.	81790099	0.379	0.844	30	79663	81749802	81750720	81828587	81829484	151499509	81600000	81850000	0	3160	897	77867	spaced
SUPER_1	61334987	61339572	IR	379	.	61337280	0.379	0.797	22	5057	61334987	61336636	61337923	61339657	151499509	61300000	61550000	23	621	1649	1287	immediate
SUPER_1	81133877	81189224	IR	374	.	81161684	0.374	0.897	190	55867	81133877	81138500	81184625	81189224	151499509	80950000	81200000	192	3525	4599	46125	spaced
SUPER_1	107764919	107804506	IR	374	.	107785176	0.374	0.846	162	39547	107764919	107773537	107795939	107804506	151499509	107600000	107850000	0	3078	8567	22402	spaced
SUPER_1	96563055	96778813	IR	373	.	96670529	0.373	0.419	159	215736	96563055	96597888	96744006	96778813	151499509	96550000	96800000	0	2015	34807	146118	wide
SUPER_1	51347770	51352275	IR	367	.	51350023	0.367	0.949	112	5207	51347770	51349079	51350966	51352276	151499509	51200000	51450000	112	2500	1309	1887	immediate
SUPER_1	89540138	89610738	IR	367	.	89575659	0.367	0.894	68	70896	89540138	89541825	89609051	89610739	151499509	89400000	89650000	68	2923	1687	67226	spaced
SUPER_1	149553458	149561526	IR	363	.	149557723	0.363	0.887	24	9537	149553458	149553960	149561024	149561530	151499509	149400000	149650000	14	2624	502	7064	spaced
SUPER_1	106431252	106623117	IR	362	.	106527328	0.362	0.398	77	192324	106431252	106479670	106574699	106623154	151499509	106400000	106650000	77	2119	48418	95029	spaced
SUPER_1	94466758	94473941	IR	361	.	94470313	0.361	0.823	28	7925	94466758	94468880	94471819	94473951	151499509	94450000	94700000	28	339	2122	2939	spaced
SUPER_1	36068824	36071831	IR	361	.	36070350	0.361	0.832	24	3168	36068824	36070067	36070621	36071831	151499509	35950000	36200000	26	2005	1210	554	immediate
SUPER_1	79052631	79098170	IR	360	.	79075851	0.360	0.888	56	45530	79052631	79054800	79096001	79098179	151499509	79000000	79250000	0	1256	2169	41201	spaced
SUPER_1	43795405	43800762	IR	359	.	43797954	0.359	0.868	58	93813	43795405	43797180	43798987	43800782	151499509	43750000	44000000	61	801	1775	1807	immediate
SUPER_1	70431914	70484900	IR	359	.	70458832	0.359	0.872	52	52945	70431914	70433149	70483689	70484900	151499509	70400000	70650000	0	973	1211	50540	spaced
