#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
HAP2_SUPER_1	25980329	25983679	IR	986	.	25982013	0.986	0.982	293	3662	25980329	25981826	25982200	25983679	47929805	25750000	26000000	293	3866	1479	374	immediate
HAP2_SUPER_1	33358830	33370499	IR	977	.	33364669	0.977	0.952	654	13531	33358830	33364096	33365242	33370499	47929805	33150000	33400000	654	3577	5257	1146	immediate
HAP2_SUPER_1	28137020	28139400	IR	968	.	28138210	0.968	1.000	237	2608	28137020	28138017	28138403	28139400	47929805	27900000	28150000	237	3970	997	386	immediate
HAP2_SUPER_1	35003353	35152680	IR	915	.	35077683	0.915	0.866	136	149308	35003353	35008766	35147359	35152680	47929805	35000000	35250000	0	1300	5321	138593	wide
HAP2_SUPER_1	20785643	20787827	IR	893	.	20786736	0.893	0.976	104	2376	20785643	20786398	20787074	20787827	47929805	20600000	20850000	104	3112	753	676	immediate
HAP2_SUPER_1	12983329	12986115	IR	772	.	12984722	0.772	0.863	81	2910	12983329	12984325	12985119	12986178	47929805	12850000	13100000	81	2245	996	794	immediate
HAP2_SUPER_1	26731507	26737046	IR	745	.	26734278	0.745	0.990	422	6284	26731507	26733708	26734848	26737046	47929805	26500000	26750000	422	3904	2198	1140	immediate
HAP2_SUPER_1	37714705	37717223	IR	709	.	37715965	0.709	0.964	141	2882	37714705	37715745	37716186	37717223	47929805	37500000	37750000	141	3599	1037	441	immediate
HAP2_SUPER_1	37189901	37192191	IR	676	.	37191046	0.676	0.941	53	2408	37189901	37190569	37191523	37192196	47929805	36950000	37200000	53	4017	668	954	immediate
HAP2_SUPER_1	29758144	29783784	IR	671	.	29770462	0.671	0.896	365	25550	29758144	29768195	29773733	29783787	47929805	29550000	29800000	0	3682	10051	5538	spaced
HAP2_SUPER_1	38640248	38644169	IR	666	.	38642218	0.666	0.910	152	4540	38640248	38641946	38642490	38644169	47929805	38400000	38650000	152	4036	1679	544	immediate
HAP2_SUPER_1	11067549	11069826	IR	655	.	11068688	0.655	0.981	130	2413	11067549	11068348	11069028	11069826	47929805	10900000	11150000	130	2811	798	680	immediate
HAP2_SUPER_1	19889619	19990444	IR	639	.	19940055	0.639	0.394	114	101706	19889619	19939606	19940504	19990444	47929805	19750000	20000000	114	3167	49940	898	immediate
HAP2_SUPER_1	17928171	17931017	IR	631	.	17929594	0.631	0.973	129	2961	17928171	17929176	17930012	17931018	47929805	17700000	17950000	129	3826	1005	836	immediate
HAP2_SUPER_1	38134906	38140114	IR	609	.	38137510	0.609	0.990	392	5847	38134906	38137102	38137918	38140117	47929805	37900000	38150000	392	3958	2196	816	immediate
HAP2_SUPER_1	35344382	35346398	IR	590	.	35345390	0.590	0.941	27	2037	35344382	35344740	35346040	35346398	47929805	35200000	35450000	27	2423	358	1300	immediate
HAP2_SUPER_1	28730349	28732601	IR	586	.	28731478	0.586	0.954	53	2365	28730349	28730867	28732089	28732601	47929805	28650000	28900000	53	1357	512	1222	immediate
HAP2_SUPER_1	47417822	47420104	IR	585	.	47418963	0.585	0.992	172	2582	47417822	47418712	47419214	47420104	47929805	47200000	47450000	172	3649	890	502	immediate
HAP2_SUPER_1	25428848	25430859	IR	569	.	25429854	0.569	0.927	35	2033	25428848	25429433	25430274	25430860	47929805	25200000	25450000	35	3830	585	841	immediate
HAP2_SUPER_1	16966463	16970516	IR	565	.	16968498	0.565	0.917	144	4408	16966463	16968188	16968816	16970516	47929805	16750000	17000000	146	3641	1700	628	immediate
HAP2_SUPER_1	23716790	23719466	IR	551	.	23718128	0.551	0.918	62	2731	23716790	23717826	23718430	23719487	47929805	23500000	23750000	62	3635	1036	604	immediate
HAP2_SUPER_1	44050914	44052792	IR	540	.	44051853	0.540	0.907	73	2059	44050914	44051480	44052226	44052836	47929805	43850000	44100000	73	3364	566	746	immediate
HAP2_SUPER_1	8147604	8149875	IR	539	.	8148657	0.539	0.791	29	2342	8147604	8148203	8149301	8149875	47929805	7950000	8200000	29	3312	574	1098	immediate
HAP2_SUPER_1	9020379	9022729	IR	528	.	9021562	0.528	0.916	62	2670	9020379	9021301	9021825	9022729	47929805	8800000	9050000	62	3692	904	524	immediate
HAP2_SUPER_1	3155469	3159193	IR	524	.	3157530	0.524	0.833	20	3686	3155469	3155517	3159153	3159193	47929805	2950000	3200000	89	3455	40	3636	spaced
HAP2_SUPER_1	33118226	33120329	IR	523	.	33119278	0.523	0.939	67	2200	33118226	33118999	33119556	33120346	47929805	32900000	33150000	67	3654	773	557	immediate
HAP2_SUPER_1	27296778	27299490	IR	521	.	27298134	0.521	0.990	191	2930	27296778	27297879	27298391	27299490	47929805	27050000	27300000	191	4135	1099	512	immediate
HAP2_SUPER_1	35943717	35945929	IR	521	.	35944841	0.521	0.884	64	2461	35943717	35944629	35945053	35945929	47929805	35800000	36050000	64	2413	876	424	immediate
HAP2_SUPER_1	42102400	42104287	IR	517	.	42103343	0.517	0.939	122	2001	42102400	42103184	42103503	42104318	47929805	41950000	42200000	122	2555	784	319	immediate
HAP2_SUPER_1	39034435	39036754	IR	507	.	39035229	0.507	0.924	43	2288	39034435	39035163	39036036	39036754	47929805	39000000	39250000	0	593	718	873	immediate
HAP2_SUPER_1	40184554	40187288	IR	501	.	40186187	0.501	0.872	32	2705	40184554	40185596	40186265	40187288	47929805	40000000	40250000	0	3098	1023	669	immediate
HAP2_SUPER_1	41092857	41094972	IR	494	.	41093915	0.494	0.971	129	2272	41092857	41093770	41094059	41094976	47929805	40850000	41100000	129	4065	913	289	immediate
HAP2_SUPER_1	44570085	44572462	IR	494	.	44571371	0.494	0.913	62	2585	44570085	44571045	44571518	44572462	47929805	44350000	44600000	62	3687	944	473	immediate
HAP2_SUPER_1	8856602	8858262	IR	490	.	8857461	0.490	0.913	123	88735	8856602	8857343	8857521	8858319	47929805	8750000	9000000	127	1790	741	178	immediate
HAP2_SUPER_1	5717140	5719009	IR	488	.	5718075	0.488	0.983	101	2025	5717140	5717841	5718311	5719009	47929805	5500000	5750000	101	3634	698	470	immediate
HAP2_SUPER_1	2413018	2415342	IR	485	.	2414275	0.485	0.906	24	2590	2413018	2413777	2414583	2415342	47929805	2200000	2450000	24	3569	759	806	immediate
HAP2_SUPER_1	19789417	19791404	IR	482	.	19790241	0.482	0.956	51	2107	19789417	19789989	19790837	19791404	47929805	19550000	19800000	51	4006	567	848	immediate
HAP2_SUPER_1	5110616	5112921	IR	479	.	5111769	0.479	0.951	65	2345	5110616	5111484	5112053	5112923	47929805	4900000	5150000	65	3529	868	569	immediate
