#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
contig_2	774015	784083	IR	812	.	779049	0.812	1.000	989	11200	774015	778307	779791	784083	1345805	550000	800000	989	3817	4292	1484	immediate
contig_2	1054848	1247475	IR	345	.	1151585	0.345	0.559	345	192595	1054848	1064688	1237644	1247475	1345805	1000000	1250000	0	2519	9831	172956	wide
contig_2	806410	902027	IR	339	.	854124	0.339	0.415	268	133128	806410	832961	875476	902043	1345805	700000	950000	268	2570	26551	42515	spaced
contig_2	417215	545600	IR	331	.	481665	0.331	0.492	298	128370	417215	427084	535731	545610	1345805	300000	550000	0	3023	9869	108647	wide
contig_2	171026	254843	IR	327	.	212448	0.327	1.000	170	83799	171026	172007	253862	254843	1345805	150000	400000	0	1048	981	81855	spaced
contig_2	907186	962621	IR	323	.	934995	0.323	0.421	291	55770	907186	931096	938711	962697	1345805	800000	1050000	291	2248	23910	7615	spaced
contig_2	670883	771444	IR	321	.	720896	0.321	0.409	285	100535	670883	720094	722270	771444	1345805	600000	850000	0	2019	49174	2176	spaced
contig_2	58471	115649	IR	319	.	86682	0.319	0.999	241	57154	58471	59813	114307	115650	1345805	50000	300000	0	617	1342	54494	spaced
contig_2	331508	402859	IR	316	.	367583	0.316	0.435	294	71321	331508	351422	382945	402860	1345805	200000	450000	0	2786	19914	31523	spaced
contig_2	621965	638888	IR	316	.	629967	0.316	0.571	166	16894	621965	627217	633637	638888	1345805	450000	700000	0	3006	5251	6420	spaced
