#contig	start	end	name	score	strand	break_pos	identity_est	tir_ident	matches	span	la0	la1	ra0	ra1	contig_len	win_start	win_end	kept_pts	bin	arm_len	spacer	ir_class
SUPER_1	16454299	16457115	IR	967	.	16455859	0.967	1.000	55	2859	16454299	16454552	16456862	16457115	36229551	16300000	16550000	55	2594	253	2310	spaced
SUPER_1	15777589	15782785	IR	789	.	15780187	0.789	0.981	371	5681	15777589	15779727	15780647	15782791	36229551	15550000	15800000	371	3836	2138	920	immediate
SUPER_1	23532195	23534317	IR	782	.	23533256	0.782	0.985	114	2264	23532195	23532860	23533652	23534317	36229551	23300000	23550000	114	3887	665	792	immediate
SUPER_1	4820921	4821396	IR	779	.	4821040	0.779	0.750	22	22288	4820921	4820987	4821330	4821418	36229551	4700000	4950000	150	2019	66	343	immediate
SUPER_1	18410554	18412594	IR	765	.	18411574	0.765	0.989	155	2212	18410554	18411364	18411784	18412595	36229551	18200000	18450000	155	3526	810	420	immediate
SUPER_1	16413964	16415940	IR	761	.	16414952	0.761	0.988	100	100416	16413964	16414551	16415353	16415940	36229551	16300000	16550000	100	1915	587	802	immediate
SUPER_1	18114442	18116688	IR	755	.	18115565	0.755	1.000	150	2394	18114442	18115084	18116046	18116688	36229551	17900000	18150000	150	3592	642	962	immediate
SUPER_1	9896458	9898658	IR	750	.	9897558	0.750	0.991	122	2310	9896458	9897118	9897998	9898658	36229551	9650000	9900000	122	4125	660	880	immediate
SUPER_1	18580030	18585848	IR	747	.	18582939	0.747	0.999	555	6503	18580030	18582438	18583440	18585848	36229551	18350000	18600000	555	3882	2408	1002	immediate
SUPER_1	7462544	7464680	IR	719	.	7463617	0.719	0.979	122	107930	7462544	7463200	7464034	7464680	36229551	7350000	7600000	122	1893	646	834	immediate
SUPER_1	32384414	32387498	IR	678	.	32385717	0.678	0.887	51	4135	32384414	32385694	32386218	32387502	36229551	32150000	32400000	51	3932	1280	524	immediate
SUPER_1	12151710	12154146	IR	668	.	12152928	0.668	0.981	87	2545	12151710	12152340	12153516	12154146	36229551	12000000	12250000	87	2548	630	1176	immediate
SUPER_1	33032788	33036631	IR	652	.	33034725	0.652	0.852	66	3986	33032788	33034434	33035028	33036631	36229551	32800000	33050000	66	3911	1603	594	immediate
SUPER_1	16896497	16898937	IR	599	.	16897717	0.599	0.981	91	2532	16896497	16897080	16898354	16898937	36229551	16650000	16900000	91	4128	583	1274	immediate
SUPER_1	3358552	3362469	IR	593	.	3360511	0.593	0.999	262	3972	3358552	3359786	3361236	3362469	36229551	3150000	3400000	294	3508	1233	1450	immediate
SUPER_1	1705001	1926241	IR	579	.	1815621	0.579	0.378	142	221431	1705001	1814928	1816314	1926252	36229551	1700000	1950000	142	1926	109927	1386	immediate
SUPER_1	12755046	12757677	IR	579	.	12756362	0.579	0.973	78	2736	12755046	12755666	12757058	12757677	36229551	12550000	12800000	78	3439	619	1392	immediate
SUPER_1	34978147	34982464	IR	573	.	34980381	0.573	0.899	126	4414	34978147	34979943	34980668	34982464	36229551	34750000	35000000	126	3838	1796	725	immediate
SUPER_1	3508816	3510942	IR	572	.	3509876	0.572	0.850	66	2164	3508816	3509416	3510403	3510942	36229551	3300000	3550000	66	3497	539	987	immediate
SUPER_1	36024660	36026714	IR	548	.	36025702	0.548	0.840	85	2164	36024660	36025564	36025810	36026742	36229551	35800000	36050000	85	3761	904	246	immediate
SUPER_1	23143045	23145251	IR	533	.	23144148	0.533	0.979	64	2249	23143045	23143517	23144779	23145251	36229551	22900000	23150000	64	4068	472	1262	immediate
SUPER_1	15739715	15741850	IR	506	.	15740787	0.506	0.927	114	2342	15739715	15740584	15740981	15741881	36229551	15550000	15800000	118	3179	869	397	immediate
SUPER_1	34650002	34878356	IR	502	.	34763714	0.502	0.943	65	228328	34650002	34650962	34877413	34878356	36229551	34650000	34900000	0	1902	943	226451	wide
SUPER_1	19063631	19066868	IR	494	.	19065121	0.494	0.968	54	3265	19063631	19064030	19066469	19066868	36229551	18900000	19150000	54	2754	399	2439	spaced
SUPER_1	3230687	3231851	IR	491	.	3231269	0.491	0.980	53	94026	3230687	3231034	3231504	3231852	36229551	3100000	3350000	53	2187	347	470	immediate
SUPER_1	26406677	26409084	IR	469	.	26407881	0.469	0.931	30	2455	26406677	26407298	26408470	26409084	36229551	26400000	26650000	30	131	614	1172	immediate
